year,value,variable,country,unit,source_note
1969,62228.899999999994,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1970,73345.0,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1971,80701.4,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1972,92394.3,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1973,112498.20000000001,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1974,134243.8,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1975,148327.2,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1976,166573.3,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1977,185621.9,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1978,204404.2,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1979,221546.6,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1980,240175.90000000002,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1981,257962.90000000002,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1982,270600.6,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1983,281767.0,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1984,300542.9,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1985,320418.7,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1986,335457.2,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1987,349759.6,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1988,373973.2,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1989,399998.3,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1990,430039.9,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1991,458299.0,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1992,471020.7,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1993,475381.1,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1994,479260.1,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1995,483220.2,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1996,500309.69999999995,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1997,509645.3,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1998,498499.4,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
1999,495144.5,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
2000,490518.2,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
2001,120141.3,jp_nominal_gde_level,jp,billion_yen,ESRI 68SNA 名目GDE CY(原系列季度加总) 1955-2000; parent=raw esri_gdp_68sna/gaku_mg01168_1.csv; H3 trade_balance/GDP 归一因子
