date,policy_regime_id,call_unc_boj_m,usdjpy_m,m2_yoy,m2_ref_avg_yoy,m2_old_avg_yoy,mb_yoy,boj_assets,tankan_mfg_di,tankan_nonmfg_di,m2_yoy_canonical
1995-01-31,RATE_BASED_PRE_ZIRP,,98.40,,,2.905,4,,-14,-16,2.905
1995-02-28,RATE_BASED_PRE_ZIRP,,96.75,,,3.100,4.8,,-14,-16,3.100
1995-03-31,RATE_BASED_PRE_ZIRP,,89.53,,,3.555,3.9,,-14,-16,3.555
1995-04-30,RATE_BASED_PRE_ZIRP,,84.04,,,3.526,4.1,,-7,-20,3.526
1995-05-31,RATE_BASED_PRE_ZIRP,,83.00,,,3.080,4.4,,-7,-20,3.080
1995-06-30,RATE_BASED_PRE_ZIRP,,84.70,,,3.073,3.8,,-7,-20,3.073
1995-07-31,RATE_BASED_PRE_ZIRP,,88.18,,,3.126,4.7,,-4,-15,3.126
1995-08-31,RATE_BASED_PRE_ZIRP,,98.95,,,2.712,4.1,,-4,-15,2.712
1995-09-30,RATE_BASED_PRE_ZIRP,,99.10,,,2.662,4.3,,-4,-15,2.662
1995-10-31,RATE_BASED_PRE_ZIRP,,101.65,,,2.579,4.6,,-8,-18,2.579
1995-11-30,RATE_BASED_PRE_ZIRP,,101.46,,,2.430,6.2,,-8,-18,2.430
1995-12-31,RATE_BASED_PRE_ZIRP,,103.28,,,3.313,7.6,,-6,-15,3.313
1996-01-31,RATE_BASED_PRE_ZIRP,,107.29,,,3.174,6.1,,-6,-15,3.174
1996-02-29,RATE_BASED_PRE_ZIRP,,104.47,,,3.109,7.7,,-6,-15,3.109
1996-03-31,RATE_BASED_PRE_ZIRP,,107.00,,,2.776,9.1,,-6,-15,2.776
1996-04-30,RATE_BASED_PRE_ZIRP,,104.52,,,3.013,8.7,,-4,-12,3.013
1996-05-31,RATE_BASED_PRE_ZIRP,,107.65,,,2.808,8.9,,-4,-12,2.808
1996-06-30,RATE_BASED_PRE_ZIRP,,109.48,,,3.221,8.6,,-4,-12,3.221
1996-07-31,RATE_BASED_PRE_ZIRP,,108.08,,,3.726,9.7,,5,0,3.726
1996-08-31,RATE_BASED_PRE_ZIRP,,108.70,,,3.659,8.4,,5,0,3.659
1996-09-30,RATE_BASED_PRE_ZIRP,,110.85,,,3.707,8.1,,5,0,3.707
1996-10-31,RATE_BASED_PRE_ZIRP,,113.97,,,3.408,7.9,,0,-1,3.408
1996-11-30,RATE_BASED_PRE_ZIRP,,113.88,,,3.643,7.2,,0,-1,3.643
1996-12-31,RATE_BASED_PRE_ZIRP,,115.88,,,3.126,7.3,,4,1,3.126
1997-01-31,RATE_BASED_PRE_ZIRP,,121.55,,,2.897,7.3,,4,1,2.897
1997-02-28,RATE_BASED_PRE_ZIRP,,120.80,,,3.015,7.7,,4,1,3.015
1997-03-31,RATE_BASED_PRE_ZIRP,,123.90,,,2.882,6.9,,4,1,2.882
1997-04-30,RATE_BASED_PRE_ZIRP,,126.81,,,2.678,7.6,,12,-2,2.678
1997-05-31,RATE_BASED_PRE_ZIRP,,116.40,,,3.197,6.7,,12,-2,3.197
1997-06-30,RATE_BASED_PRE_ZIRP,,114.67,,,3.081,6.8,,12,-2,3.081
1997-07-31,RATE_BASED_PRE_ZIRP,,118.33,,,2.864,7.4,,13,-8,2.864
1997-08-31,RATE_BASED_PRE_ZIRP,,120.65,,,3.031,7.1,,13,-8,3.031
1997-09-30,RATE_BASED_PRE_ZIRP,,121.00,,,3.209,7.5,,13,-8,3.209
1997-10-31,RATE_BASED_PRE_ZIRP,,120.68,,,2.943,7.3,,8,-17,2.943
1997-11-30,RATE_BASED_PRE_ZIRP,,127.74,,,2.880,7.2,,8,-17,2.880
1997-12-31,RATE_BASED_PRE_ZIRP,,130.05,,,3.161,9.4,,-4,-25,3.161
1998-01-31,RATE_BASED_PRE_ZIRP,0.48,127.10,,,3.779,9.9,,-4,-25,3.779
1998-02-28,RATE_BASED_PRE_ZIRP,0.47,126.12,,,4.454,9.2,,-4,-25,4.454
1998-03-31,RATE_BASED_PRE_ZIRP,0.39,132.16,,,5.003,10.1,,-4,-25,5.003
1998-04-30,RATE_BASED_PRE_ZIRP,0.44,132.05,,,4.515,9,,-23,-36,4.515
1998-05-31,RATE_BASED_PRE_ZIRP,0.47,138.50,,,3.631,9.3,800652,-23,-36,3.631
1998-06-30,RATE_BASED_PRE_ZIRP,0.35,141.92,,,3.926,9.6,771888,-23,-36,3.926
1998-07-31,RATE_BASED_PRE_ZIRP,0.41,142.51,,,3.434,9.4,753964,-35,-33,3.434
1998-08-31,RATE_BASED_PRE_ZIRP,0.39,142.55,,,3.545,8.3,724375,-35,-33,3.545
1998-09-30,RATE_BASED_PRE_ZIRP,0.25,133.90,,,3.808,9,763742,-35,-33,3.808
1998-10-31,RATE_BASED_PRE_ZIRP,0.33,116.45,,,3.799,9.2,783667,-45,-39,3.799
1998-11-30,RATE_BASED_PRE_ZIRP,0.23,123.24,,,3.874,9.8,775368,-45,-39,3.874
1998-12-31,RATE_BASED_PRE_ZIRP,0.32,114.88,,,4.320,6.9,883012,-51,-41,4.320
1999-01-31,RATE_BASED_PRE_ZIRP,0.24,116.00,,,3.905,4,912382,-51,-41,3.905
1999-02-28,ZIRP_1,0.1,118.70,,,3.572,3.7,797188,-51,-41,3.572
1999-03-31,ZIRP_1,0.04,120.10,,,3.433,4.9,755897,-51,-41,3.433
1999-04-30,ZIRP_1,0.03,119.26,,,3.692,6.2,797450,-47,-34,3.692
1999-05-31,ZIRP_1,0.03,120.88,,3.940,,7,791152,-47,-34,3.940
1999-06-30,ZIRP_1,0.03,120.81,,4.087,,7.7,744742,-47,-34,4.087
1999-07-31,ZIRP_1,0.03,114.70,,4.332,,6.4,734211,-37,-28,4.332
1999-08-31,ZIRP_1,0.03,111.13,,3.961,,7.9,686329,-37,-28,3.961
1999-09-30,ZIRP_1,0.03,106.80,,3.475,,7.3,680224,-37,-28,3.475
1999-10-31,ZIRP_1,0.02,104.29,,3.283,,7.4,688207,-22,-23,3.283
1999-11-30,ZIRP_1,0.02,102.43,,3.578,,6.9,680064,-22,-23,3.578
1999-12-31,ZIRP_1,0.05,102.33,,2.891,,7.4,841508,-17,-19,2.891
2000-01-31,ZIRP_1,0.02,107.15,,2.642,,14.2,1113478,-17,-19,2.642
2000-02-29,ZIRP_1,0.28,109.17,,2.594,,22.8,905251,-17,-19,2.594
2000-03-31,ZIRP_1,0.02,105.53,,2.095,,9.4,941085,-17,-19,2.095
2000-04-30,ZIRP_1,0.02,107.98,,1.934,,10.9,1062017,-9,-16,1.934
2000-05-31,ZIRP_1,0.02,106.44,,2.892,,11.7,797289,-9,-16,2.892
2000-06-30,ZIRP_1,0.02,105.09,,2.198,,7.6,838507,-9,-16,2.198
2000-07-31,ZIRP_1,0.02,109.63,,1.915,,6.4,837194,3,-12,1.915
2000-08-31,RATE_TRANSITION,0.25,106.47,,1.971,,5.8,807840,3,-12,1.971
