date,nikkei225_close,fwd36m_state,fwd36m_loss,fwd36m_mdd,fwd36m_exec,fwd60m_state,fwd60m_loss,fwd60m_mdd,fwd60m_exec,fwd120m_state,fwd120m_loss,fwd120m_mdd,fwd120m_exec
2012-04-27,9520.89,105.02,0,-20.36,108.75,101.63,0,-28.35,105.29,181.99,0,-31.80,187.11
2012-05-31,8542.73,140.71,0,-20.36,143.63,130.03,0,-28.35,132.82,219.33,0,-31.80,223.21
2012-06-29,9006.78,124.67,0,-20.36,124.75,122.43,0,-28.35,122.51,193.04,0,-31.80,193.14
2012-07-31,8695.06,136.75,0,-20.36,138.20,129.16,0,-28.35,130.57,219.74,0,-31.80,221.71
2012-08-31,8839.91,113.70,0,-20.36,115.06,122.24,0,-28.35,123.66,217.78,0,-31.80,219.81
2012-09-28,8870.16,96.03,0,-20.36,97.67,129.49,0,-28.35,131.41,192.41,0,-31.80,194.86
2012-10-31,8928.29,113.74,0,-20.36,113.29,146.54,0,-28.35,146.03,208.99,0,-31.80,208.35
2012-11-30,9446.01,109.06,0,-20.36,108.79,140.58,0,-28.35,140.27,196.09,0,-31.80,195.71
2012-12-28,10395.18,83.10,0,-20.36,78.08,119.00,0,-28.35,112.99,151.02,0,-31.80,144.15
2013-01-31,11138.66,57.27,0,-23.24,56.53,107.37,0,-28.35,106.39,145.34,0,-31.80,144.18
2013-02-28,11559.36,38.65,0,-28.35,38.09,90.91,0,-28.35,90.14,137.43,0,-31.80,136.47
2013-03-29,12397.91,35.17,0,-28.35,38.10,73.05,0,-28.35,76.80,126.18,0,-31.80,131.08
2013-04-30,13860.86,20.24,0,-28.35,20.77,62.10,0,-28.35,62.82,108.19,0,-31.80,109.11
2013-05-31,13774.54,25.12,0,-28.35,29.96,61.18,0,-28.35,67.41,124.24,0,-31.80,132.91
2013-06-28,13677.32,13.88,0,-28.35,12.44,63.08,0,-28.35,61.01,142.66,0,-31.80,139.59
2013-07-31,13668.32,21.22,0,-28.35,18.30,65.01,0,-28.35,61.03,142.69,0,-31.80,136.85
2013-08-30,13388.86,26.13,0,-28.35,24.42,70.78,0,-28.35,68.46,143.63,0,-31.80,140.33
