country,variable,baseline_norm_start,baseline_norm_end,residB_norm_start,residB_norm_end,same_support
jp,birth_rate,1990,2025,1990,2024,True
jp,cpi_yoy,1990,2025,1990,2025,True
jp,export_yoy,1990,2025,1990,2024,True
jp,iip_yoy,1990,2025,1990,2025,True
jp,investment_gdp,1990,2025,1990,2023,True
jp,m2_yoy,1990,2025,1990,2025,True
jp,real_gdp_yoy,1990,2025,1990,2025,True
jp,reer,1990,2025,1994,2025,True
jp,wage_yoy,1990,2025,1990,2025,True
cn,birth_rate,2000,2025,1990,2025,True
cn,cpi_yoy,2000,2025,1990,2025,True
cn,export_yoy,2000,2025,1990,2025,True
cn,iip_yoy,2000,2025,1999,2025,True
cn,investment_gdp,2000,2025,1990,2024,True
cn,m2_yoy,2000,2025,1991,2025,True
cn,real_gdp_yoy,2000,2025,2000,2025,True
cn,reer,2000,2025,1994,2025,True
cn,wage_yoy,2000,2025,2001,2025,True
