flavor,channel,D_CN,n_J90_group,n_J00_group,n_J90_valid,n_J00_valid,feasible,status
Baseline,cpi_yoy,0.0112,8,3,8,3,True,OK
Baseline,m2_yoy,0.3685,7,3,7,3,True,OK
Baseline,investment_gdp,0.7534,7,4,7,3,True,OK
ResidA,cpi_yoy,,8,2,8,2,False,INFEASIBLE_GROUP_N<3
ResidA,m2_yoy,,6,2,6,2,False,INFEASIBLE_GROUP_N<3
ResidA,investment_gdp,,8,2,8,1,False,INFEASIBLE_GROUP_N<3
ResidB,cpi_yoy,-0.6926,6,5,6,5,True,OK
ResidB,m2_yoy,,2,9,2,9,False,INFEASIBLE_GROUP_N<3
ResidB,investment_gdp,-0.9824,3,7,3,6,True,OK
BaselineB90,cpi_yoy,0.0112,8,3,8,3,True,OK
BaselineB90,m2_yoy,0.3545,8,3,8,3,True,OK
BaselineB90,investment_gdp,0.7534,7,4,7,3,True,OK
ResidT_diag,cpi_yoy,,1,4,1,4,False,INFEASIBLE_GROUP_N<3
ResidT_diag,m2_yoy,,2,4,2,4,False,INFEASIBLE_GROUP_N<3
ResidT_diag,investment_gdp,,0,5,0,5,False,INFEASIBLE_GROUP_N<3
