cn_year,pair_type,regime,jp_year,module,S_m,valid_pairs,eligible_pairs,coverage_ratio,module_pass,n_alive,S_total,method_id,calibration_id,coverage_rule_id,metric_id,status
2003,J90_best,J90,1991,INFLATION,-1.7216,1,1,1.0,True,5,-1.5407,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2003,J90_best,J90,1991,MONEY_CREDIT,-1.194,1,1,1.0,True,5,-1.5407,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2003,J90_best,J90,1991,EXTERNAL,-2.4672,1,2,0.5,True,5,-1.5407,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2003,J90_best,J90,1991,DEMOGRAPHY_LABOR,-0.9525,2,2,1.0,True,5,-1.5407,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2004,assigned,J90,1991,GROWTH,-0.9828,3,3,1.0,True,5,-0.9569,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2004,assigned,J90,1991,INFLATION,-0.0995,1,1,1.0,True,5,-0.9569,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2004,assigned,J90,1991,MONEY_CREDIT,-0.228,1,1,1.0,True,5,-0.9569,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2004,assigned,J90,1991,EXTERNAL,-2.5374,1,2,0.5,True,5,-0.9569,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2004,assigned,J90,1991,DEMOGRAPHY_LABOR,-0.937,2,2,1.0,True,5,-0.9569,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2005,assigned,OTHER,1984,GROWTH,-0.4605,3,3,1.0,True,5,-0.8999,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2005,assigned,OTHER,1984,INFLATION,-0.7678,1,1,1.0,True,5,-0.8999,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2005,assigned,OTHER,1984,MONEY_CREDIT,-0.6555,1,1,1.0,True,5,-0.8999,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2005,assigned,OTHER,1984,EXTERNAL,-0.6469,1,2,0.5,True,5,-0.8999,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2005,assigned,OTHER,1984,DEMOGRAPHY_LABOR,-1.9686,2,2,1.0,True,5,-0.8999,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2005,J90_best,J90,1991,GROWTH,-1.4027,3,3,1.0,True,5,-1.2662,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2005,J90_best,J90,1991,INFLATION,-1.3169,1,1,1.0,True,5,-1.2662,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2005,J90_best,J90,1991,MONEY_CREDIT,-0.7992,1,1,1.0,True,5,-1.2662,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2005,J90_best,J90,1991,EXTERNAL,-1.9275,1,2,0.5,True,5,-1.2662,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2005,J90_best,J90,1991,DEMOGRAPHY_LABOR,-0.8846,2,2,1.0,True,5,-1.2662,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2006,assigned,OTHER,1984,GROWTH,-0.6805,3,3,1.0,True,5,-0.8818,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2006,assigned,OTHER,1984,INFLATION,-0.9701,1,1,1.0,True,5,-0.8818,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
