module,cf,n_flip_13_25,n_years,flip_share,max_flip
INFLATION,CF_A,5,13,0.385,5
DEMOGRAPHY_LABOR,CF_A,2,13,0.154,5
EXTERNAL,CF_A,2,13,0.154,5
MONEY_CREDIT,CF_A,2,13,0.154,5
GROWTH,CF_A,1,13,0.077,5
