date,period,value,value_raw,unit,freq,source,provider,source_type,definition_regime,note,value_available_date,vintage_type,release_rule_status,vintage_evidence,historical_realtime_eligible,post_vad_eligible,source_validity_eligible
1968-12-31,1968,131.31,131.31,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1969-12-31,1969,179.3,179.3,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1970-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1970-12-31,1970,148.35,148.35,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1971-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1971-12-31,1971,199.45,199.45,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1972-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1972-12-31,1972,401.7,401.7,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1973-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1973-12-31,1973,306.44,306.44,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1974-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1974-12-31,1974,278.34,278.34,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1975-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1975-12-31,1975,323.43,323.43,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1976-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1976-12-31,1976,383.88,383.88,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1977-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1977-12-31,1977,364.08,364.08,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1978-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1978-12-31,1978,449.55,449.55,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1979-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1979-12-31,1979,459.61,459.61,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1980-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1980-12-31,1980,494.1,494.1,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1981-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1981-12-31,1981,570.31,570.31,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1982-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1982-12-31,1982,593.72,593.72,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1983-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1983-12-31,1983,731.82,731.82,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1984-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1984-12-31,1984,913.37,913.37,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1985-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1985-12-31,1985,1049.4,1049.4,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1986-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1986-12-31,1986,1556.37,1556.37,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1987-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1987-12-31,1987,1725.83,1725.83,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1988-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1988-12-31,1988,2357.03,2357.03,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1989-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1989-12-31,1989,2881.37,2881.37,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1990-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1990-12-31,1990,1733.83,1733.83,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1991-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1991-12-31,1991,1714.68,1714.68,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1992-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1992-12-31,1992,1307.66,1307.66,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1993-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1993-12-31,1993,1439.31,1439.31,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1994-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1994-12-31,1994,1559.09,1559.09,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1995-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1995-12-31,1995,1577.7,1577.7,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1996-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1996-12-31,1996,1470.94,1470.94,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1997-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1997-12-31,1997,1175.03,1175.03,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1998-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1998-12-31,1998,1086.99,1086.99,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1999-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1999-12-31,1999,1722.2,1722.2,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2000-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
2000-12-31,2000,1283.67,1283.67,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2001-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
2001-12-31,2001,1032.14,1032.14,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2002-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
2002-12-31,2002,843.29,843.29,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2003-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
2003-12-31,2003,1043.69,1043.69,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2004-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
2004-12-31,2004,1149.63,1149.63,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2005-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
2005-12-31,2005,1649.76,1649.76,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2006-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
2006-12-31,2006,1681.07,1681.07,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2007-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
2007-12-31,2007,1475.68,1475.68,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2008-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
2008-12-31,2008,859.24,859.24,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2009-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
2009-12-31,2009,907.59,907.59,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2010-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
2010-12-31,2010,898.8,898.8,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2011-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
2011-12-31,2011,728.61,728.61,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2012-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
2012-12-31,2012,859.8,859.8,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2013-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
2013-12-31,2013,1302.29,1302.29,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2014-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
2014-12-31,2014,1407.51,1407.51,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2015-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
2015-12-31,2015,1547.3,1547.3,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2016-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
2016-12-31,2016,1518.61,1518.61,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2017-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
2017-12-31,2017,1817.56,1817.56,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2018-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
2018-12-31,2018,1494.09,1494.09,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2019-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
2019-12-31,2019,1721.36,1721.36,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2020-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
2020-12-31,2020,1804.68,1804.68,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2021-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
2021-12-31,2021,1992.33,1992.33,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2022-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
2022-12-31,2022,1891.71,1891.71,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2023-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
2023-12-31,2023,2366.39,2366.39,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2024-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
2024-12-31,2024,2784.92,2784.92,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2025-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
2025-12-31,2025,3408.97,3408.97,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2026-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
