date,time,BASE,BASE_SAME,BASE_SEQUENTIAL,BASE_ACCUMULATE
2026-07-01,2026年07月份,-8,84.31,-117.78,5569
2026-06-01,2026年06月份,45,-79.07,164.71,5577
2026-05-01,2026年05月份,17,-72.13,106.44,5532
2026-04-01,2026年04月份,-264,-1000,-13100,5515
2026-03-01,2026年03月份,-2,-106.45,-102.5,5779
2026-02-01,2026年02月份,80,463.64,-68.13,5781
2026-01-01,2026年01月份,251,439.19,1095.24,5701
2025-12-01,2025年12月份,21,122.58,117.95,5450
2025-11-01,2025年11月份,-117,41.5,-5950,5429
2025-10-01,2025年10月份,2,101.43,-92.59,5546
2025-09-01,2025年09月份,27,131.76,165.85,5544
2025-08-01,2025年08月份,-41,61.68,19.61,5517
2025-07-01,2025年07月份,-51,77.33,-123.72,5558
2025-06-01,2025年06月份,215,226.47,252.46,5609
2025-05-01,2025年05月份,61,191.04,354.17,5394
2025-04-01,2025年04月份,-24,87.63,-177.42,5333
2025-03-01,2025年03月份,31,-59.74,240.91,5357
2025-02-01,2025年02月份,-22,56.86,70.27,5326
2025-01-01,2025年01月份,-74,-165.49,20.43,5348
2024-12-01,2024年12月份,-93,26.77,53.5,5422
2024-11-01,2024年11月份,-200,-119.78,-42.86,5515
2024-10-01,2024年10月份,-140,-86.67,-64.71,5715
2024-09-01,2024年09月份,-85,-157.58,20.56,5855
2024-08-01,2024年08月份,-107,14.4,52.44,5940
2024-07-01,2024年07月份,-225,-97.37,-32.35,6047
2024-06-01,2024年06月份,-170,-97.67,-153.73,6272
2024-05-01,2024年05月份,-67,58.13,65.46,6442
2024-04-01,2024年04月份,-194,8.49,-351.95,6509
2024-03-01,2024年03月份,77,-57.46,250.98,6703
2024-02-01,2024年02月份,-51,23.88,-145.13,6626
2024-01-01,2024年01月份,113,-9.6,188.98,6677
2023-12-01,2023年12月份,-127,62.87,-39.56,6564
2023-11-01,2023年11月份,-91,55.61,-21.33,6691
2023-10-01,2023年10月份,-75,71.59,-127.27,6782
2023-09-01,2023年09月份,-33,69.72,73.6,6857
2023-08-01,2023年08月份,-125,63.98,-9.65,6890
2023-07-01,2023年07月份,-114,63.34,-32.56,7015
2023-06-01,2023年06月份,-86,50.29,46.25,7129
2023-05-01,2023年05月份,-160,-39.13,24.53,7215
2023-04-01,2023年04月份,-212,2.75,-217.13,7375
2023-03-01,2023年03月份,181,244.8,370.15,7587
2023-02-01,2023年02月份,-67,-126.91,-153.6,7406
2023-01-01,2023年01月份,125,-30.17,136.55,7473
2022-12-01,2022年12月份,-342,5.26,-66.83,7348
2022-11-01,2022年11月份,-205,-279.63,22.35,7690
2022-10-01,2022年10月份,-264,-303.08,-142.2,7895
2022-09-01,2022年09月份,-109,-581.25,68.59,8159
2022-08-01,2022年08月份,-347,-2378.57,-11.58,8268
2022-07-01,2022年07月份,-311,-972.41,-79.77,8615
2022-06-01,2022年06月份,-173,-269.61,-50.43,8926
2022-05-01,2022年05月份,-115,-182.73,47.25,9099
2022-04-01,2022年04月份,-218,-435.38,-74.4,9214
2022-03-01,2022年03月份,-125,-794.44,-150.2,9432
2022-02-01,2022年02月份,249,822.22,39.11,9557
2022-01-01,2022年01月份,179,-60.22,149.58,9308
2021-12-01,2021年12月份,-361,3.99,-568.52,9129
2021-11-01,2021年11月份,-54,70.65,-141.54,9490
2021-10-01,2021年10月份,130,-45.38,912.5,9544
2021-09-01,2021年09月份,-16,52.94,-14.29,9414
2021-08-01,2021年08月份,-14,-107.25,51.72,9430
2021-07-01,2021年07月份,-29,-115.1,-128.43,9444
2021-06-01,2021年06月份,102,-33.77,-26.62,9473
2021-05-01,2021年05月份,139,-12.03,113.85,9371
2021-04-01,2021年04月份,65,-68.6,261.11,9232
2021-03-01,2021年03月份,18,154.55,-33.33,9167
2021-02-01,2021年02月份,27,-86.43,-94,9149
2021-01-01,2021年01月份,450,405.62,219.68,9122
2020-12-01,2020年12月份,-376,-388.31,-104.35,8672
2020-11-01,2020年11月份,-184,-360,-177.31,9048
2020-10-01,2020年10月份,238,2263.64,800,9232
2020-09-01,2020年09月份,-34,35.85,-117.62,8994
2020-08-01,2020年08月份,193,1478.57,0.52,9028
2020-07-01,2020年07月份,192,256.1,24.68,8835
2020-06-01,2020年06月份,154,294.94,-2.53,8643
2020-05-01,2020年05月份,158,154.84,-23.67,8489
2020-04-01,2020年04月份,207,200.49,727.27,8331
2020-03-01,2020年03月份,-33,-153.23,-116.58,8124
2020-02-01,2020年02月份,199,729.17,123.6,8157
2020-01-01,2020年01月份,89,-76.33,215.58,7958
2019-12-01,2019年12月份,-77,30,-92.5,7869
2019-11-01,2019年11月份,-40,77.4,-263.64,7946
2019-10-01,2019年10月份,-11,-123.91,79.25,7986
2019-09-01,2019年09月份,-53,69.01,-278.57,7997
2019-08-01,2019年08月份,-14,77.42,88.62,8050
2019-07-01,2019年07月份,-123,3.15,-55.7,8064
2019-06-01,2019年06月份,-79,47.68,-227.42,8187
2019-05-01,2019年05月份,62,237.78,130.1,8266
2019-04-01,2019年04月份,-206,-602.44,-432.26,8204
2019-03-01,2019年03月份,62,127.8,158.33,8410
2019-02-01,2019年02月份,24,-68,-93.62,8348
2019-01-01,2019年01月份,376,-20.51,441.82,8324
2018-12-01,2018年12月份,-110,-334.04,37.85,7948
2018-11-01,2018年11月份,-177,-270.19,-484.78,8058
2018-10-01,2018年10月份,46,-29.23,126.9,8235
2018-09-01,2018年09月份,-171,-4.27,-175.81,8189
2018-08-01,2018年08月份,-62,-19.23,51.18,8360
2018-07-01,2018年07月份,-127,-344.23,15.89,8422
2018-06-01,2018年06月份,-151,-219.84,-235.56,8549
2018-05-01,2018年05月份,-45,59.82,-209.76,8700
2018-04-01,2018年04月份,41,174.55,118.39,8745
2018-03-01,2018年03月份,-223,-443.08,-397.33,8704
2018-02-01,2018年02月份,75,-62.31,-84.14,8927
2018-01-01,2018年01月份,473,92.28,906.38,8852
2017-12-01,2017年12月份,47,128.31,-54.81,8379
2017-11-01,2017年11月份,104,420,60,8332
2017-10-01,2017年10月份,65,258.54,139.63,8228
2017-09-01,2017年09月份,-164,-215.38,-215.38,8163
2017-08-01,2017年08月份,-52,-117.45,-200,8327
2017-07-01,2017年07月份,52,200,-58.73,8379
2017-06-01,2017年06月份,126,152,212.5,8327
2017-05-01,2017年05月份,-112,37.78,-103.64,8201
2017-04-01,2017年04月份,-55,48.6,-184.62,8313
2017-03-01,2017年03月份,65,181.25,-67.34,8368
2017-02-01,2017年02月份,199,397.01,-19.11,8303
2017-01-01,2017年01月份,246,461.76,248.19,8104
2016-12-01,2016年12月份,-166,-59.84,-930,7858
2016-11-01,2016年11月份,20,107.62,148.78,8024
2016-10-01,2016年10月份,-41,76.37,21.15,8004
2016-09-01,2016年09月份,-52,89.7,-117.45,8045
2016-08-01,2016年08月份,298,1561.36,673.08,8097
2016-07-01,2016年07月份,-52,-133.01,-204,7799
2016-06-01,2016年06月份,50,251.04,127.78,7851
2016-05-01,2016年05月份,-180,-9054.62,-68.22,7801
2016-04-01,2016年04月份,-107,-304.21,-33.75,7981
2016-03-01,2016年03月份,-80,-174.14,-19.4,8088
2016-02-01,2016年02月份,-67,13.8,1.47,8168
2016-01-01,2016年01月份,-68,-108.89,34.52,8235
2015-12-01,2015年12月份,-103.85,-217.72,60.43,8303
2015-11-01,2015年11月份,-262.42,-6018.01,-51.25,8406.85
2015-10-01,2015年10月份,-173.5,-48.89,65.64,8669.27
2015-09-01,2015年09月份,-504.99,-513.67,-2376.44,8842.77
2015-08-01,2015年08月份,-20.39,37.65,-112.95,9347.77
2015-07-01,2015年07月份,157.5,675.21,1005.8,9368.16
2015-06-01,2015年06月份,14.24,-75.42,824.41,9210.65
2015-05-01,2015年05月份,-1.97,92.52,-103.75,9196.41
2015-04-01,2015年04月份,52.4,73.84,-51.44,9198.38
2015-03-01,2015年03月份,107.9,-51.41,238.83,9145.98
2015-02-01,2015年02月份,-77.72,-136.5,-110.16,9038.08
2015-01-01,2015年01月份,765.11,194.1,767.32,9115.8
2014-12-01,2014年12月份,88.22,6.06,2156.66,8350.69
2014-11-01,2014年11月份,-4.29,-121.64,96.32,8262.48
2014-10-01,2014年10月份,-116.53,-1448.07,-41.6,8266.77
2014-09-01,2014年09月份,-82.29,-156.91,-151.61,8383.29
2014-08-01,2014年08月份,-32.71,43.93,-19.44,8465.59
2014-07-01,2014年07月份,-27.38,85.39,-147.26,8498.29
2014-06-01,2014年06月份,57.94,168.53,320.32,8525.67
2014-05-01,2014年05月份,-26.3,-145.66,-187.25,8467.74
2014-04-01,2014年04月份,30.14,-77.77,-86.43,8494.03
2014-03-01,2014年03月份,222.06,-7.68,4.28,8463.89
2014-02-01,2014年02月份,212.94,16.48,-18.15,8241.83
2014-01-01,2014年01月份,260.16,-8.57,212.79,8028.89
2013-12-01,2013年12月份,83.17,-64.79,319.69,7768.73
2013-11-01,2013年11月份,19.82,-88.06,129.26,7685.56
2013-10-01,2013年10月份,8.64,-95.77,-94.02,7665.74
2013-09-01,2013年09月份,144.6,-48.03,347.88,7657.1
2013-08-01,2013年08月份,-58.33,-149.76,68.87,7512.5
2013-07-01,2013年07月份,-187.4,-1800.93,-968.56,7570.83
2013-06-01,2013年06月份,21.58,-86.9,-62.53,7758.24
2013-05-01,2013年05月份,57.59,20.27,-57.54,7736.66
2013-04-01,2013年04月份,135.61,791.24,-43.62,7679.07
2013-03-01,2013年03月份,240.54,59.78,31.57,7543.46
2013-02-01,2013年02月份,182.82,118.93,-35.75,7302.92
2013-01-01,2013年01月份,284.53,1166.97,20.46,7120.1
2012-12-01,2012年12月份,236.2,212.58,42.34,6835.57
2012-11-01,2012年11月份,165.94,2059.05,-18.8,6599.37
2012-10-01,2012年10月份,204.35,212.75,-26.56,6433.43
2012-09-01,2012年09月份,278.23,73.28,137.32,6229.08
2012-08-01,2012年08月份,117.24,100,964.11,5950.85
2012-07-01,2012年07月份,11.02,729.26,-93.31,5833.61
2012-06-01,2012年06月份,164.65,335.09,243.87,5822.59
2012-05-01,2012年05月份,47.88,-63.06,214.68,5657.94
2012-04-01,2012年04月份,15.22,-79.82,-89.89,5610.06
2012-03-01,2012年03月份,150.55,72.77,80.28,5594.84
2012-02-01,2012年02月份,83.51,58.32,413.14,5444.29
2012-01-01,2012年01月份,-26.67,-126.36,-135.29,5360.79
2011-12-01,2011年12月份,75.56,-53.93,883.14,5387.45
2011-11-01,2011年11月份,7.69,-90.92,-88.24,5311.89
2011-10-01,2011年10月份,65.34,11.02,-59.31,5304.21
2011-09-01,2011年09月份,160.57,19.59,173.91,5238.87
2011-08-01,2011年08月份,58.62,85.43,4312.22,5078.3
2011-07-01,2011年07月份,1.33,102.36,-96.49,5019.68
2011-06-01,2011年06月份,37.84,1306.05,-70.8,5018.35
2011-05-01,2011年05月份,129.62,1031.18,71.93,4980.51
2011-04-01,2011年04月份,75.39,45.68,-13.48,4850.89
2011-03-01,2011年03月份,87.14,-10.21,65.21,4775.5
2011-02-01,2011年02月份,52.74,-45.77,-47.86,4688.36
2011-01-01,2011年01月份,101.15,8.13,-38.32,4635.62
2010-12-01,2010年12月份,164.01,398.95,93.79,4534.47
2010-11-01,2010年11月份,84.63,-48.9,43.8,4370.46
2010-10-01,2010年10月份,58.85,-63.87,-56.17,4285.83
2010-09-01,2010年09月份,134.27,-24.11,324.72,4226.97
2010-08-01,2010年08月份,31.61,-83.57,156.18,4092.71
2010-07-01,2010年07月份,-56.27,-151.11,-1693.29,4061.09
2010-06-01,2010年06月份,-3.14,-100.84,77.46,4117.36
2010-05-01,2010年05月份,-13.92,-109.01,-126.9,4120.5
2010-04-01,2010年04月份,51.75,-31.5,-46.67,4134.42
2010-03-01,2010年03月份,97.04,127.69,-0.23,4082.67
2010-02-01,2010年02月份,97.26,331.04,3.97,3985.63
2010-01-01,2010年01月份,93.55,209.71,184.6,3888.37
2009-12-01,2009年12月份,32.87,170.04,-80.15,3794.82
2009-11-01,2009年11月份,165.61,265.74,1.67,3761.95
2009-10-01,2009年10月份,162.9,249.93,-7.93,3596.34
2009-09-01,2009年09月份,176.93,804.9,-8.05,3433.44
2009-08-01,2009年08月份,192.41,747.85,74.77,3256.51
2009-07-01,2009年07月份,110.1,1833.81,-70.41,3064.1
2009-06-01,2009年06月份,372.03,2553.56,140.85,2954
2009-05-01,2009年05月份,154.47,414.21,104.47,2581.97
2009-04-01,2009年04月份,75.54,253.84,77.25,2427.51
2009-03-01,2009年03月份,42.62,-58.87,201.24,2351.96
2009-02-01,2009年02月份,-42.1,-119.4,50.63,2309.34
2009-01-01,2009年01月份,-85.27,-150.37,-81.7,2351.44
2008-12-01,2008年12月份,-46.93,-623.77,53.03,2436.71
2008-11-01,2008年11月份,-99.92,-241.35,8.03,2483.64
2008-10-01,2008年10月份,-108.65,-277.94,-332.87,2583.56
2008-09-01,2008年09月份,-25.1,-129.18,15.49,2692.21
2008-08-01,2008年08月份,-29.7,-138.48,-367.72,2717.31
2008-07-01,2008年07月份,-6.35,-115.22,-145.29,2747.01
2008-06-01,2008年06月份,14.02,-84.35,-53.33,2753.36
2008-05-01,2008年05月份,30.04,-13.15,40.7,2739.34
2008-04-01,2008年04月份,21.35,39.82,-79.4,2709.3
2008-03-01,2008年03月份,103.62,279.28,-52.25,2687.95
2008-02-01,2008年02月份,217.02,754.75,28.2,2584.33
2008-01-01,2008年01月份,169.28,4508.33,1789.29,2367.31
