月份,指标,值,url
2022-04,原材料库存指数,46.5,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901453.html
2022-04,新订单指数,42.6,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901453.html
2022-04,生产指数,44.4,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901453.html
2022-04,综合PMI产出指数,42.7,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901453.html
2022-04,非制造业商务活动指数,41.9,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901453.html
2022-05,从业人员指数,47.6,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901479.html
2022-05,供应商配送时间指数,44.1,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901479.html
2022-05,制造业PMI,49.6,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901479.html
2022-05,原材料库存指数,47.9,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901479.html
2022-05,新订单指数,48.2,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901479.html
2022-05,生产指数,49.7,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901479.html
2022-05,综合PMI产出指数,48.4,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901479.html
2022-05,非制造业商务活动指数,47.8,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901479.html
2022-06,从业人员指数,48.7,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901501.html
2022-06,供应商配送时间指数,51.3,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901501.html
2022-06,制造业PMI,50.2,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901501.html
2022-06,原材料库存指数,48.1,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901501.html
2022-06,新订单指数,50.4,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901501.html
2022-06,生产指数,52.8,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901501.html
2022-06,综合PMI产出指数,54.1,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901501.html
2022-06,非制造业商务活动指数,54.7,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901501.html
2022-07,从业人员指数,48.6,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901539.html
2022-07,供应商配送时间指数,50.1,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901539.html
2022-07,制造业PMI,49.0,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901539.html
2022-07,原材料库存指数,47.9,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901539.html
2022-07,新订单指数,48.5,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901539.html
2022-07,生产指数,49.8,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901539.html
2022-07,综合PMI产出指数,52.5,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901539.html
2022-07,非制造业商务活动指数,53.8,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901539.html
2022-08,从业人员指数,48.9,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901567.html
2022-08,供应商配送时间指数,49.5,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901567.html
2022-08,制造业PMI,49.4,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901567.html
2022-08,原材料库存指数,48.0,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901567.html
2022-08,新订单指数,49.2,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901567.html
2022-08,生产指数,49.8,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901567.html
2022-08,综合PMI产出指数,51.7,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901567.html
2022-08,非制造业商务活动指数,52.6,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901567.html
2022-09,从业人员指数,49.0,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901601.html
2022-09,供应商配送时间指数,48.7,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901601.html
2022-09,制造业PMI,50.1,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901601.html
2022-09,原材料库存指数,47.6,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901601.html
2022-09,新订单指数,49.8,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901601.html
2022-09,生产指数,51.5,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901601.html
2022-09,综合PMI产出指数,50.9,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901601.html
2022-09,非制造业商务活动指数,50.6,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901601.html
2022-10,从业人员指数,48.3,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901644.html
2022-10,供应商配送时间指数,47.1,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901644.html
2022-10,制造业PMI,49.2,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901644.html
2022-10,原材料库存指数,47.7,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901644.html
2022-10,新订单指数,48.1,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901644.html
2022-10,生产指数,49.6,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901644.html
2022-10,综合PMI产出指数,49.0,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901644.html
2022-10,非制造业商务活动指数,48.7,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901644.html
2022-11,从业人员指数,47.4,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901666.html
2022-11,供应商配送时间指数,46.7,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901666.html
2022-11,制造业PMI,48.0,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901666.html
2022-11,原材料库存指数,46.7,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901666.html
2022-11,新订单指数,46.4,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901666.html
2022-11,生产指数,47.8,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901666.html
2022-11,综合PMI产出指数,47.1,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901666.html
2022-11,非制造业商务活动指数,46.7,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901666.html
2022-12,从业人员指数,44.8,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901700.html
2022-12,供应商配送时间指数,40.1,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901700.html
2022-12,制造业PMI,47.0,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901700.html
2022-12,原材料库存指数,47.1,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901700.html
2022-12,新订单指数,43.9,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901700.html
2022-12,生产指数,44.6,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901700.html
2022-12,综合PMI产出指数,42.6,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901700.html
2022-12,非制造业商务活动指数,41.6,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901700.html
2023-01,从业人员指数,47.7,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901737.html
2023-01,供应商配送时间指数,47.6,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901737.html
2023-01,制造业PMI,50.1,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901737.html
2023-01,原材料库存指数,49.6,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901737.html
2023-01,新订单指数,50.9,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901737.html
2023-01,生产指数,49.8,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901737.html
2023-01,综合PMI产出指数,52.9,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901737.html
2023-01,非制造业商务活动指数,54.4,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901737.html
2023-02,从业人员指数,50.2,https://www.stats.gov.cn/sj/zxfb/202303/t20230301_1919045.html
2023-02,供应商配送时间指数,52.0,https://www.stats.gov.cn/sj/zxfb/202303/t20230301_1919045.html
2023-02,制造业PMI,52.6,https://www.stats.gov.cn/sj/zxfb/202303/t20230301_1919045.html
2023-02,原材料库存指数,49.8,https://www.stats.gov.cn/sj/zxfb/202303/t20230301_1919045.html
2023-02,新订单指数,54.1,https://www.stats.gov.cn/sj/zxfb/202303/t20230301_1919045.html
2023-02,生产指数,56.7,https://www.stats.gov.cn/sj/zxfb/202303/t20230301_1919045.html
2023-02,综合PMI产出指数,56.4,https://www.stats.gov.cn/sj/zxfb/202303/t20230301_1919045.html
2023-02,非制造业商务活动指数,56.3,https://www.stats.gov.cn/sj/zxfb/202303/t20230301_1919045.html
2023-03,从业人员指数,49.7,https://www.stats.gov.cn/sj/zxfb/202303/t20230331_1938271.html
2023-03,供应商配送时间指数,50.8,https://www.stats.gov.cn/sj/zxfb/202303/t20230331_1938271.html
2023-03,制造业PMI,51.9,https://www.stats.gov.cn/sj/zxfb/202303/t20230331_1938271.html
2023-03,原材料库存指数,48.3,https://www.stats.gov.cn/sj/zxfb/202303/t20230331_1938271.html
2023-03,新订单指数,53.6,https://www.stats.gov.cn/sj/zxfb/202303/t20230331_1938271.html
2023-03,生产指数,54.6,https://www.stats.gov.cn/sj/zxfb/202303/t20230331_1938271.html
2023-03,综合PMI产出指数,57.0,https://www.stats.gov.cn/sj/zxfb/202303/t20230331_1938271.html
2023-03,非制造业商务活动指数,58.2,https://www.stats.gov.cn/sj/zxfb/202303/t20230331_1938271.html
2023-04,从业人员指数,48.8,https://www.stats.gov.cn/sj/zxfb/202304/t20230429_1939136.html
2023-04,供应商配送时间指数,50.3,https://www.stats.gov.cn/sj/zxfb/202304/t20230429_1939136.html
2023-04,制造业PMI,49.2,https://www.stats.gov.cn/sj/zxfb/202304/t20230429_1939136.html
2023-04,原材料库存指数,47.9,https://www.stats.gov.cn/sj/zxfb/202304/t20230429_1939136.html
2023-04,新订单指数,48.8,https://www.stats.gov.cn/sj/zxfb/202304/t20230429_1939136.html
2023-04,生产指数,50.2,https://www.stats.gov.cn/sj/zxfb/202304/t20230429_1939136.html
2023-04,综合PMI产出指数,54.4,https://www.stats.gov.cn/sj/zxfb/202304/t20230429_1939136.html
2023-04,非制造业商务活动指数,56.4,https://www.stats.gov.cn/sj/zxfb/202304/t20230429_1939136.html
2023-05,从业人员指数,48.4,https://www.stats.gov.cn/sj/zxfb/202305/t20230531_1940267.html
2023-05,供应商配送时间指数,50.5,https://www.stats.gov.cn/sj/zxfb/202305/t20230531_1940267.html
2023-05,制造业PMI,48.8,https://www.stats.gov.cn/sj/zxfb/202305/t20230531_1940267.html
2023-05,原材料库存指数,47.6,https://www.stats.gov.cn/sj/zxfb/202305/t20230531_1940267.html
2023-05,新订单指数,48.3,https://www.stats.gov.cn/sj/zxfb/202305/t20230531_1940267.html
2023-05,生产指数,49.6,https://www.stats.gov.cn/sj/zxfb/202305/t20230531_1940267.html
2023-05,综合PMI产出指数,52.9,https://www.stats.gov.cn/sj/zxfb/202305/t20230531_1940267.html
2023-05,非制造业商务活动指数,54.5,https://www.stats.gov.cn/sj/zxfb/202305/t20230531_1940267.html
2023-06,从业人员指数,48.2,https://www.stats.gov.cn/sj/zxfb/202306/t20230630_1940935.html
2023-06,供应商配送时间指数,50.4,https://www.stats.gov.cn/sj/zxfb/202306/t20230630_1940935.html
2023-06,制造业PMI,49.0,https://www.stats.gov.cn/sj/zxfb/202306/t20230630_1940935.html
2023-06,原材料库存指数,47.4,https://www.stats.gov.cn/sj/zxfb/202306/t20230630_1940935.html
2023-06,新订单指数,48.6,https://www.stats.gov.cn/sj/zxfb/202306/t20230630_1940935.html
2023-06,生产指数,50.3,https://www.stats.gov.cn/sj/zxfb/202306/t20230630_1940935.html
2023-06,综合PMI产出指数,52.3,https://www.stats.gov.cn/sj/zxfb/202306/t20230630_1940935.html
2023-06,非制造业商务活动指数,53.2,https://www.stats.gov.cn/sj/zxfb/202306/t20230630_1940935.html
2023-07,从业人员指数,48.1,https://www.stats.gov.cn/sj/zxfb/202307/t20230731_1941624.html
2023-07,供应商配送时间指数,50.5,https://www.stats.gov.cn/sj/zxfb/202307/t20230731_1941624.html
2023-07,制造业PMI,49.3,https://www.stats.gov.cn/sj/zxfb/202307/t20230731_1941624.html
2023-07,原材料库存指数,48.2,https://www.stats.gov.cn/sj/zxfb/202307/t20230731_1941624.html
2023-07,新订单指数,49.5,https://www.stats.gov.cn/sj/zxfb/202307/t20230731_1941624.html
2023-07,生产指数,50.2,https://www.stats.gov.cn/sj/zxfb/202307/t20230731_1941624.html
2023-07,综合PMI产出指数,51.1,https://www.stats.gov.cn/sj/zxfb/202307/t20230731_1941624.html
2023-07,非制造业商务活动指数,51.5,https://www.stats.gov.cn/sj/zxfb/202307/t20230731_1941624.html
2023-08,从业人员指数,48.0,https://www.stats.gov.cn/sj/zxfb/202308/t20230831_1942429.html
2023-08,供应商配送时间指数,51.6,https://www.stats.gov.cn/sj/zxfb/202308/t20230831_1942429.html
2023-08,制造业PMI,49.7,https://www.stats.gov.cn/sj/zxfb/202308/t20230831_1942429.html
2023-08,原材料库存指数,48.4,https://www.stats.gov.cn/sj/zxfb/202308/t20230831_1942429.html
2023-08,新订单指数,50.2,https://www.stats.gov.cn/sj/zxfb/202308/t20230831_1942429.html
2023-08,生产指数,51.9,https://www.stats.gov.cn/sj/zxfb/202308/t20230831_1942429.html
2023-08,综合PMI产出指数,51.3,https://www.stats.gov.cn/sj/zxfb/202308/t20230831_1942429.html
2023-08,非制造业商务活动指数,51.0,https://www.stats.gov.cn/sj/zxfb/202308/t20230831_1942429.html
2023-09,从业人员指数,48.1,https://www.stats.gov.cn/sj/zxfb/202309/t20230928_1943291.html
2023-09,供应商配送时间指数,50.8,https://www.stats.gov.cn/sj/zxfb/202309/t20230928_1943291.html
2023-09,制造业PMI,50.2,https://www.stats.gov.cn/sj/zxfb/202309/t20230928_1943291.html
2023-09,原材料库存指数,48.5,https://www.stats.gov.cn/sj/zxfb/202309/t20230928_1943291.html
2023-09,新订单指数,50.5,https://www.stats.gov.cn/sj/zxfb/202309/t20230928_1943291.html
2023-09,生产指数,52.7,https://www.stats.gov.cn/sj/zxfb/202309/t20230928_1943291.html
2023-09,综合PMI产出指数,52.0,https://www.stats.gov.cn/sj/zxfb/202309/t20230928_1943291.html
2023-09,非制造业商务活动指数,51.7,https://www.stats.gov.cn/sj/zxfb/202309/t20230928_1943291.html
2023-10,从业人员指数,48.0,https://www.stats.gov.cn/sj/zxfb/202310/t20231031_1944037.html
2023-10,供应商配送时间指数,50.2,https://www.stats.gov.cn/sj/zxfb/202310/t20231031_1944037.html
2023-10,制造业PMI,49.5,https://www.stats.gov.cn/sj/zxfb/202310/t20231031_1944037.html
2023-10,原材料库存指数,48.2,https://www.stats.gov.cn/sj/zxfb/202310/t20231031_1944037.html
2023-10,新订单指数,49.5,https://www.stats.gov.cn/sj/zxfb/202310/t20231031_1944037.html
2023-10,生产指数,50.9,https://www.stats.gov.cn/sj/zxfb/202310/t20231031_1944037.html
2023-10,综合PMI产出指数,50.7,https://www.stats.gov.cn/sj/zxfb/202310/t20231031_1944037.html
2023-10,非制造业商务活动指数,50.6,https://www.stats.gov.cn/sj/zxfb/202310/t20231031_1944037.html
2023-11,从业人员指数,48.1,https://www.stats.gov.cn/sj/zxfb/202311/t20231130_1945018.html
2023-11,供应商配送时间指数,50.3,https://www.stats.gov.cn/sj/zxfb/202311/t20231130_1945018.html
2023-11,制造业PMI,49.4,https://www.stats.gov.cn/sj/zxfb/202311/t20231130_1945018.html
2023-11,原材料库存指数,48.0,https://www.stats.gov.cn/sj/zxfb/202311/t20231130_1945018.html
2023-11,新订单指数,49.4,https://www.stats.gov.cn/sj/zxfb/202311/t20231130_1945018.html
2023-11,生产指数,50.7,https://www.stats.gov.cn/sj/zxfb/202311/t20231130_1945018.html
2023-11,综合PMI产出指数,50.4,https://www.stats.gov.cn/sj/zxfb/202311/t20231130_1945018.html
2023-11,非制造业商务活动指数,50.2,https://www.stats.gov.cn/sj/zxfb/202311/t20231130_1945018.html
2023-12,从业人员指数,47.9,https://www.stats.gov.cn/sj/zxfb/202312/t20231229_1946102.html
2023-12,供应商配送时间指数,50.3,https://www.stats.gov.cn/sj/zxfb/202312/t20231229_1946102.html
2023-12,制造业PMI,49.0,https://www.stats.gov.cn/sj/zxfb/202312/t20231229_1946102.html
2023-12,原材料库存指数,47.7,https://www.stats.gov.cn/sj/zxfb/202312/t20231229_1946102.html
2023-12,新订单指数,48.7,https://www.stats.gov.cn/sj/zxfb/202312/t20231229_1946102.html
2023-12,生产指数,50.2,https://www.stats.gov.cn/sj/zxfb/202312/t20231229_1946102.html
2023-12,综合PMI产出指数,50.3,https://www.stats.gov.cn/sj/zxfb/202312/t20231229_1946102.html
2023-12,非制造业商务活动指数,50.4,https://www.stats.gov.cn/sj/zxfb/202312/t20231229_1946102.html
2024-01,从业人员指数,47.6,https://www.stats.gov.cn/sj/zxfb/202401/t20240131_1947009.html
2024-01,供应商配送时间指数,50.8,https://www.stats.gov.cn/sj/zxfb/202401/t20240131_1947009.html
2024-01,制造业PMI,49.2,https://www.stats.gov.cn/sj/zxfb/202401/t20240131_1947009.html
2024-01,原材料库存指数,47.6,https://www.stats.gov.cn/sj/zxfb/202401/t20240131_1947009.html
2024-01,新订单指数,49.0,https://www.stats.gov.cn/sj/zxfb/202401/t20240131_1947009.html
2024-01,生产指数,51.3,https://www.stats.gov.cn/sj/zxfb/202401/t20240131_1947009.html
2024-01,综合PMI产出指数,50.9,https://www.stats.gov.cn/sj/zxfb/202401/t20240131_1947009.html
2024-01,非制造业商务活动指数,50.7,https://www.stats.gov.cn/sj/zxfb/202401/t20240131_1947009.html
2024-02,从业人员指数,47.5,https://www.stats.gov.cn/sj/zxfb/202403/t20240318_1948006.html
2024-02,供应商配送时间指数,48.8,https://www.stats.gov.cn/sj/zxfb/202403/t20240318_1948006.html
2024-02,制造业PMI,49.1,https://www.stats.gov.cn/sj/zxfb/202403/t20240318_1948006.html
2024-02,原材料库存指数,47.4,https://www.stats.gov.cn/sj/zxfb/202403/t20240318_1948006.html
2024-02,新订单指数,49.0,https://www.stats.gov.cn/sj/zxfb/202403/t20240318_1948006.html
2024-02,生产指数,49.8,https://www.stats.gov.cn/sj/zxfb/202403/t20240318_1948006.html
2024-02,综合PMI产出指数,50.9,https://www.stats.gov.cn/sj/zxfb/202403/t20240318_1948006.html
2024-02,非制造业商务活动指数,51.4,https://www.stats.gov.cn/sj/zxfb/202403/t20240318_1948006.html
2024-03,从业人员指数,48.1,https://www.stats.gov.cn/sj/zxfb/202404/t20240411_1948446.html
2024-03,供应商配送时间指数,50.6,https://www.stats.gov.cn/sj/zxfb/202404/t20240411_1948446.html
2024-03,制造业PMI,50.8,https://www.stats.gov.cn/sj/zxfb/202404/t20240411_1948446.html
2024-03,原材料库存指数,48.1,https://www.stats.gov.cn/sj/zxfb/202404/t20240411_1948446.html
2024-03,新订单指数,53.0,https://www.stats.gov.cn/sj/zxfb/202404/t20240411_1948446.html
2024-03,生产指数,52.2,https://www.stats.gov.cn/sj/zxfb/202404/t20240411_1948446.html
2024-03,综合PMI产出指数,52.7,https://www.stats.gov.cn/sj/zxfb/202404/t20240411_1948446.html
2024-03,非制造业商务活动指数,53.0,https://www.stats.gov.cn/sj/zxfb/202404/t20240411_1948446.html
2024-04,从业人员指数,48.0,https://www.stats.gov.cn/sj/zxfb/202404/t20240430_1948787.html
2024-04,供应商配送时间指数,50.4,https://www.stats.gov.cn/sj/zxfb/202404/t20240430_1948787.html
2024-04,制造业PMI,50.4,https://www.stats.gov.cn/sj/zxfb/202404/t20240430_1948787.html
2024-04,原材料库存指数,48.1,https://www.stats.gov.cn/sj/zxfb/202404/t20240430_1948787.html
2024-04,新订单指数,51.1,https://www.stats.gov.cn/sj/zxfb/202404/t20240430_1948787.html
2024-04,生产指数,52.9,https://www.stats.gov.cn/sj/zxfb/202404/t20240430_1948787.html
2024-04,综合PMI产出指数,51.7,https://www.stats.gov.cn/sj/zxfb/202404/t20240430_1948787.html
2024-04,非制造业商务活动指数,51.2,https://www.stats.gov.cn/sj/zxfb/202404/t20240430_1948787.html
2024-05,从业人员指数,48.1,https://www.stats.gov.cn/sj/zxfb/202405/t20240531_1954176.html
2024-05,供应商配送时间指数,50.1,https://www.stats.gov.cn/sj/zxfb/202405/t20240531_1954176.html
2024-05,制造业PMI,49.5,https://www.stats.gov.cn/sj/zxfb/202405/t20240531_1954176.html
2024-05,原材料库存指数,47.8,https://www.stats.gov.cn/sj/zxfb/202405/t20240531_1954176.html
2024-05,新订单指数,49.6,https://www.stats.gov.cn/sj/zxfb/202405/t20240531_1954176.html
2024-05,生产指数,50.8,https://www.stats.gov.cn/sj/zxfb/202405/t20240531_1954176.html
2024-05,综合PMI产出指数,51.0,https://www.stats.gov.cn/sj/zxfb/202405/t20240531_1954176.html
2024-05,非制造业商务活动指数,51.1,https://www.stats.gov.cn/sj/zxfb/202405/t20240531_1954176.html
2024-06,从业人员指数,48.1,https://www.stats.gov.cn/sj/zxfb/202406/t20240630_1955251.html
2024-06,供应商配送时间指数,49.5,https://www.stats.gov.cn/sj/zxfb/202406/t20240630_1955251.html
2024-06,制造业PMI,49.5,https://www.stats.gov.cn/sj/zxfb/202406/t20240630_1955251.html
2024-06,原材料库存指数,47.6,https://www.stats.gov.cn/sj/zxfb/202406/t20240630_1955251.html
2024-06,新订单指数,49.5,https://www.stats.gov.cn/sj/zxfb/202406/t20240630_1955251.html
2024-06,生产指数,50.6,https://www.stats.gov.cn/sj/zxfb/202406/t20240630_1955251.html
2024-06,综合PMI产出指数,50.5,https://www.stats.gov.cn/sj/zxfb/202406/t20240630_1955251.html
2024-06,非制造业商务活动指数,50.5,https://www.stats.gov.cn/sj/zxfb/202406/t20240630_1955251.html
2024-07,从业人员指数,48.3,https://www.stats.gov.cn/sj/zxfb/202407/t20240731_1955901.html
2024-07,供应商配送时间指数,49.3,https://www.stats.gov.cn/sj/zxfb/202407/t20240731_1955901.html
2024-07,制造业PMI,49.4,https://www.stats.gov.cn/sj/zxfb/202407/t20240731_1955901.html
2024-07,原材料库存指数,47.8,https://www.stats.gov.cn/sj/zxfb/202407/t20240731_1955901.html
2024-07,新订单指数,49.3,https://www.stats.gov.cn/sj/zxfb/202407/t20240731_1955901.html
2024-07,生产指数,50.1,https://www.stats.gov.cn/sj/zxfb/202407/t20240731_1955901.html
2024-07,综合PMI产出指数,50.2,https://www.stats.gov.cn/sj/zxfb/202407/t20240731_1955901.html
2024-07,非制造业商务活动指数,50.2,https://www.stats.gov.cn/sj/zxfb/202407/t20240731_1955901.html
2024-08,从业人员指数,48.1,https://www.stats.gov.cn/sj/zxfb/202408/t20240831_1956161.html
2024-08,供应商配送时间指数,49.6,https://www.stats.gov.cn/sj/zxfb/202408/t20240831_1956161.html
2024-08,制造业PMI,49.1,https://www.stats.gov.cn/sj/zxfb/202408/t20240831_1956161.html
2024-08,原材料库存指数,47.6,https://www.stats.gov.cn/sj/zxfb/202408/t20240831_1956161.html
2024-08,新订单指数,48.9,https://www.stats.gov.cn/sj/zxfb/202408/t20240831_1956161.html
2024-08,生产指数,49.8,https://www.stats.gov.cn/sj/zxfb/202408/t20240831_1956161.html
2024-08,综合PMI产出指数,50.1,https://www.stats.gov.cn/sj/zxfb/202408/t20240831_1956161.html
2024-08,非制造业商务活动指数,50.3,https://www.stats.gov.cn/sj/zxfb/202408/t20240831_1956161.html
2024-09,从业人员指数,48.2,https://www.stats.gov.cn/sj/zxfb/202409/t20240930_1956798.html
2024-09,供应商配送时间指数,49.5,https://www.stats.gov.cn/sj/zxfb/202409/t20240930_1956798.html
2024-09,制造业PMI,49.8,https://www.stats.gov.cn/sj/zxfb/202409/t20240930_1956798.html
2024-09,原材料库存指数,47.7,https://www.stats.gov.cn/sj/zxfb/202409/t20240930_1956798.html
2024-09,新订单指数,49.9,https://www.stats.gov.cn/sj/zxfb/202409/t20240930_1956798.html
2024-09,生产指数,51.2,https://www.stats.gov.cn/sj/zxfb/202409/t20240930_1956798.html
2024-09,综合PMI产出指数,50.4,https://www.stats.gov.cn/sj/zxfb/202409/t20240930_1956798.html
2024-09,非制造业商务活动指数,50.0,https://www.stats.gov.cn/sj/zxfb/202409/t20240930_1956798.html
2024-10,从业人员指数,48.4,https://www.stats.gov.cn/sj/zxfb/202410/t20241031_1957214.html
2024-10,供应商配送时间指数,49.6,https://www.stats.gov.cn/sj/zxfb/202410/t20241031_1957214.html
2024-10,制造业PMI,50.1,https://www.stats.gov.cn/sj/zxfb/202410/t20241031_1957214.html
2024-10,原材料库存指数,48.2,https://www.stats.gov.cn/sj/zxfb/202410/t20241031_1957214.html
2024-10,新订单指数,50.0,https://www.stats.gov.cn/sj/zxfb/202410/t20241031_1957214.html
2024-10,生产指数,52.0,https://www.stats.gov.cn/sj/zxfb/202410/t20241031_1957214.html
2024-10,综合PMI产出指数,50.8,https://www.stats.gov.cn/sj/zxfb/202410/t20241031_1957214.html
2024-10,非制造业商务活动指数,50.2,https://www.stats.gov.cn/sj/zxfb/202410/t20241031_1957214.html
2024-11,从业人员指数,48.2,https://www.stats.gov.cn/sj/zxfb/202411/t20241130_1957624.html
2024-11,供应商配送时间指数,50.2,https://www.stats.gov.cn/sj/zxfb/202411/t20241130_1957624.html
2024-11,制造业PMI,50.3,https://www.stats.gov.cn/sj/zxfb/202411/t20241130_1957624.html
2024-11,原材料库存指数,48.2,https://www.stats.gov.cn/sj/zxfb/202411/t20241130_1957624.html
2024-11,新订单指数,50.8,https://www.stats.gov.cn/sj/zxfb/202411/t20241130_1957624.html
2024-11,生产指数,52.4,https://www.stats.gov.cn/sj/zxfb/202411/t20241130_1957624.html
2024-11,综合PMI产出指数,50.8,https://www.stats.gov.cn/sj/zxfb/202411/t20241130_1957624.html
2024-11,非制造业商务活动指数,50.0,https://www.stats.gov.cn/sj/zxfb/202411/t20241130_1957624.html
2024-12,从业人员指数,48.1,https://www.stats.gov.cn/sj/zxfb/202412/t20241231_1958118.html
2024-12,供应商配送时间指数,50.9,https://www.stats.gov.cn/sj/zxfb/202412/t20241231_1958118.html
2024-12,制造业PMI,50.1,https://www.stats.gov.cn/sj/zxfb/202412/t20241231_1958118.html
2024-12,原材料库存指数,48.3,https://www.stats.gov.cn/sj/zxfb/202412/t20241231_1958118.html
2024-12,新订单指数,51.0,https://www.stats.gov.cn/sj/zxfb/202412/t20241231_1958118.html
2024-12,生产指数,52.1,https://www.stats.gov.cn/sj/zxfb/202412/t20241231_1958118.html
2024-12,综合PMI产出指数,52.2,https://www.stats.gov.cn/sj/zxfb/202412/t20241231_1958118.html
2024-12,非制造业商务活动指数,52.2,https://www.stats.gov.cn/sj/zxfb/202412/t20241231_1958118.html
2025-01,从业人员指数,48.1,https://www.stats.gov.cn/sj/zxfb/202501/t20250127_1958493.html
2025-01,供应商配送时间指数,50.3,https://www.stats.gov.cn/sj/zxfb/202501/t20250127_1958493.html
2025-01,制造业PMI,49.1,https://www.stats.gov.cn/sj/zxfb/202501/t20250127_1958493.html
2025-01,原材料库存指数,47.7,https://www.stats.gov.cn/sj/zxfb/202501/t20250127_1958493.html
2025-01,新订单指数,49.2,https://www.stats.gov.cn/sj/zxfb/202501/t20250127_1958493.html
2025-01,生产指数,49.8,https://www.stats.gov.cn/sj/zxfb/202501/t20250127_1958493.html
2025-01,综合PMI产出指数,50.1,https://www.stats.gov.cn/sj/zxfb/202501/t20250127_1958493.html
2025-01,非制造业商务活动指数,50.2,https://www.stats.gov.cn/sj/zxfb/202501/t20250127_1958493.html
