月份,指标,值,url
2018-11,原材料库存指数,47.4,PDF提取:2018-2021年12月PMI运行情况报告
2018-11,新订单指数,50.4,PDF提取:2018-2021年12月PMI运行情况报告
2018-11,生产指数,51.9,PDF提取:2018-2021年12月PMI运行情况报告
2018-12,从业人员指数,48.0,PDF提取:2018-2021年12月PMI运行情况报告
2018-12,供应商配送时间指数,50.4,PDF提取:2018-2021年12月PMI运行情况报告
2018-12,制造业PMI,49.4,PDF提取:2018-2021年12月PMI运行情况报告
2018-12,原材料库存指数,47.1,PDF提取:2018-2021年12月PMI运行情况报告
2018-12,新订单指数,49.7,PDF提取:2018-2021年12月PMI运行情况报告
2018-12,生产指数,50.8,PDF提取:2018-2021年12月PMI运行情况报告
2019-01,从业人员指数,47.8,PDF提取:2018-2021年12月PMI运行情况报告
2019-01,供应商配送时间指数,50.1,PDF提取:2018-2021年12月PMI运行情况报告
2019-01,制造业PMI,49.5,PDF提取:2018-2021年12月PMI运行情况报告
2019-01,原材料库存指数,48.1,PDF提取:2018-2021年12月PMI运行情况报告
2019-01,新订单指数,49.6,PDF提取:2018-2021年12月PMI运行情况报告
2019-01,生产指数,50.9,PDF提取:2018-2021年12月PMI运行情况报告
2019-02,从业人员指数,47.5,PDF提取:2018-2021年12月PMI运行情况报告
2019-02,供应商配送时间指数,49.8,PDF提取:2018-2021年12月PMI运行情况报告
2019-02,制造业PMI,49.2,PDF提取:2018-2021年12月PMI运行情况报告
2019-02,原材料库存指数,46.3,PDF提取:2018-2021年12月PMI运行情况报告
2019-02,新订单指数,50.6,PDF提取:2018-2021年12月PMI运行情况报告
2019-02,生产指数,49.5,PDF提取:2018-2021年12月PMI运行情况报告
2019-03,从业人员指数,47.6,PDF提取:2018-2021年12月PMI运行情况报告
2019-03,供应商配送时间指数,50.2,PDF提取:2018-2021年12月PMI运行情况报告
2019-03,制造业PMI,50.5,PDF提取:2018-2021年12月PMI运行情况报告
2019-03,原材料库存指数,48.4,PDF提取:2018-2021年12月PMI运行情况报告
2019-03,新订单指数,51.6,PDF提取:2018-2021年12月PMI运行情况报告
2019-03,生产指数,52.7,PDF提取:2018-2021年12月PMI运行情况报告
2019-04,从业人员指数,47.2,PDF提取:2018-2021年12月PMI运行情况报告
2019-04,供应商配送时间指数,49.9,PDF提取:2018-2021年12月PMI运行情况报告
2019-04,制造业PMI,50.1,PDF提取:2018-2021年12月PMI运行情况报告
2019-04,原材料库存指数,47.2,PDF提取:2018-2021年12月PMI运行情况报告
2019-04,新订单指数,51.4,PDF提取:2018-2021年12月PMI运行情况报告
2019-04,生产指数,52.1,PDF提取:2018-2021年12月PMI运行情况报告
2019-05,从业人员指数,47.0,PDF提取:2018-2021年12月PMI运行情况报告
2019-05,供应商配送时间指数,50.9,PDF提取:2018-2021年12月PMI运行情况报告
2019-05,制造业PMI,49.4,PDF提取:2018-2021年12月PMI运行情况报告
2019-05,原材料库存指数,47.4,PDF提取:2018-2021年12月PMI运行情况报告
2019-05,新订单指数,49.8,PDF提取:2018-2021年12月PMI运行情况报告
2019-05,生产指数,51.7,PDF提取:2018-2021年12月PMI运行情况报告
2019-06,从业人员指数,46.9,PDF提取:2018-2021年12月PMI运行情况报告
