date,time,BOOM_INDEX,FAITH_INDEX,BOOM_INDEX_SAME,BOOM_INDEX_SEQUENTIAL,FAITH_INDEX_SAME,FAITH_INDEX_SEQUENTIAL
2017-06-01,2017年第2季度,123.1,123.1,23.1,-0.3,23.1,-0.6
2017-03-01,2017年第1季度,123.4,123.7,23.4,9.9,23.7,10.1
2016-12-01,2016年第4季度,113.5,113.6,13.5,2.2,13.6,2.2
2016-09-01,2016年第3季度,111.3,111.4,11.3,3.5,11.4,3.4
2016-06-01,2016年第2季度,107.8,108,7.8,0.7,8,0.1
2016-03-01,2016年第1季度,107.1,107.9,7.1,-5.1,7.9,-1
2015-12-01,2015年第4季度,112.2,108.9,12.2,-3.3,8.9,-3.2
2015-09-01,2015年第3季度,115.5,112.1,15.5,-3,12.1,-2.4
2015-06-01,2015年第2季度,118.5,114.5,18.5,-5.8,14.5,-6.1
2015-03-01,2015年第1季度,124.3,120.6,24.3,6.3,20.6,5.5
2014-12-01,2014年第4季度,118,115.1,18,-4.3,15.1,-3.9
2014-09-01,2014年第3季度,122.3,119,22.3,-2.9,19,-2.4
2014-06-01,2014年第2季度,125.2,121.4,25.2,,21.4,-2.9
2014-03-01,2014年第1季度,,124.3,,,24.3,7.2
2013-12-01,2013年第4季度,119.5,117.1,19.5,-2,17.1,-2.4
2013-09-01,2013年第3季度,121.5,119.5,21.5,0.9,19.5,2.5
2013-06-01,2013年第2季度,120.6,117,20.6,-5,17,-5.4
2013-03-01,2013年第1季度,125.6,122.4,25.6,1.2,22.4,2
2012-12-01,2012年第4季度,124.4,120.4,24.4,1.6,20.4,3.9
2012-09-01,2012年第3季度,122.8,116.5,22.8,-4.13,16.5,-4.65
2012-06-01,2012年第2季度,126.93,121.15,26.93,-0.41,21.15,-1.85
2012-03-01,2012年第1季度,127.34,123,27.34,-0.86,23,1
2011-12-01,2011年第4季度,128.2,122,28.2,-5.2,22,-7.4
2011-09-01,2011年第3季度,133.4,129.4,33.4,-2.2,29.4,-3
2011-06-01,2011年第2季度,135.6,132.4,35.6,1.8,32.4,-5
2011-03-01,2011年第1季度,133.8,137.4,33.8,-4.2,37.4,0.4
2010-12-01,2010年第4季度,138,137,38,0.1,37,1.1
2010-09-01,2010年第3季度,137.9,135.9,37.9,2,35.9,2.9
2010-06-01,2010年第2季度,135.9,133,35.9,3,33,-2.5
2010-03-01,2010年第1季度,132.9,135.5,32.9,2.3,35.5,7.8
2009-12-01,2009年第4季度,130.6,127.7,30.6,6.2,27.7,7.6
2009-09-01,2009年第3季度,124.4,120.1,24.4,8.5,20.1,9.9
2009-06-01,2009年第2季度,115.9,110.2,15.9,10.3,10.2,9.1
2009-03-01,2009年第1季度,105.6,101.1,5.6,-1.4,1.1,6.5
2008-12-01,2008年第4季度,107,94.6,7,-21.6,-5.4,-29.2
2008-09-01,2008年第3季度,128.6,123.8,28.6,-8.8,23.8,-11
2008-06-01,2008年第2季度,137.4,134.8,37.4,1.2,34.8,-5.8
2008-03-01,2008年第1季度,136.2,140.6,36.2,-7.4,40.6,1
2007-12-01,2007年第4季度,143.6,139.6,43.6,-1.1,39.6,-3.4
2007-09-01,2007年第3季度,144.7,143,44.7,-1.3,43,-0.1
2007-06-01,2007年第2季度,146,143.1,46,6.3,43.1,1.1
2007-03-01,2007年第1季度,139.7,142,39.7,0.3,42,6.7
2006-12-01,2006年第4季度,139.4,135.3,39.4,2.7,35.3,2.7
2006-09-01,2006年第3季度,136.7,132.6,36.7,0.8,32.6,0.1
2006-06-01,2006年第2季度,135.9,132.5,35.9,4.4,32.5,-0.6
2006-03-01,2006年第1季度,131.5,133.1,31.5,-0.2,33.1,7.7
2005-12-01,2005年第4季度,131.7,125.4,31.7,-0.3,25.4,-2.2
2005-09-01,2005年第3季度,132,127.6,32,0.29,27.6,-0.9
2005-06-01,2005年第2季度,131.71,128.5,31.71,-0.75,28.5,-7.35
2005-03-01,2005年第1季度,132.46,135.85,32.46,-2.27,35.85,5.04
