date,time,RMB_LOAN,RMB_LOAN_SAME,RMB_LOAN_SEQUENTIAL,RMB_LOAN_ACCUMULATE,LOAN_ACCUMULATE_SAME
2023-11-01,2023年11月份,11120,-2.86512928,129.89456275,211150,8.42327955
2023-10-01,2023年10月份,4837,9.16271722,-80.93342268,200030,9.12830473
2023-09-01,2023年09月份,25369,-1.23413533,89.15150611,195193,9.12745224
2023-08-01,2023年08月份,13412,0.50959233,3584.61538462,169824,10.8649245
2023-07-01,2023年07月份,364,-91.09589041,-98.8769938,156412,11.85308609
2023-06-01,2023年06月份,32413,6.13294041,165.26720681,156048,14.95333299
2023-05-01,2023年05月份,12219,-32.97312123,175.76167908,123635,17.5137108
2023-04-01,2023年04月份,4431,22.53871681,-88.77858536,111416,28.09528737
2023-03-01,2023年03月份,39487,22.28484717,117.15244171,106985,28.33631227
2023-02-01,2023年02月份,18184,100.17613386,-63.12608995,67498,32.16243734
2023-01-01,2023年01月份,49314,17.44784224,242.43455316,49314,17.44784224
2022-12-01,2022年12月份,14401,39.14009662,25.79489867,209147,4.88606046
2022-11-01,2022年11月份,11448,-12.08048537,158.36154367,194746,3.01077999
2022-10-01,2022年10月份,4431,-42.84055728,-82.74935763,183298,4.12706708
2022-09-01,2022年09月份,25686,44.66910729,92.49100719,178867,6.29066858
2022-08-01,2022年08月份,13344,4.96342327,226.41878669,153181,1.76381489
2022-07-01,2022年07月份,4088,-51.28113455,-86.61427636,139837,1.4686568
2022-06-01,2022年06月份,30540,31.74014321,67.52605595,135749,4.88865881
2022-05-01,2022年05月份,18230,27.5360291,404.14823009,105209,-0.97044428
2022-04-01,2022年04月份,3616,-71.83800623,-88.80183333,86979,-5.40208383
2022-03-01,2022年03月份,32291,17.37486823,255.47115808,83363,5.381387
2022-02-01,2022年02月份,9084,-32.27465891,-78.36524721,51072,-1.01366411
2022-01-01,2022年01月份,41988,9.96804777,305.68115942,41988,9.96804777
2021-12-01,2021年12月份,10350,-9.67009949,-20.51301743,199404,-0.45180197
2021-11-01,2021年11月份,13021,-14.94545692,67.96955624,189054,0.10749215
2021-10-01,2021年10月份,7752,16.34398919,-56.33905942,176033,1.4353874
2021-09-01,2021年09月份,17755,-7.38615617,39.66019036,168281,0.84012967
2021-08-01,2021年08月份,12713,-10.47813534,51.50756763,150526,1.90781813
2021-07-01,2021年07月份,8391,-17.90431465,-63.8038133,137813,3.22529905
2021-06-01,2021年06月份,23182,21.82458353,62.17993564,129422,4.97704524
2021-05-01,2021年05月份,14294,-7.7925429,11.32398754,106240,1.90203056
2021-04-01,2021年04月份,12840,-20.93109182,-53.32775981,91946,3.59529041
2021-03-01,2021年03月份,27511,-9.47351102,105.10698576,79106,9.08764962
2021-02-01,2021年02月份,13413,86.23993335,-64.87088157,51595,22.47780468
2021-01-01,2021年01月份,38182,9.32882831,233.23442136,38182,9.32882831
2020-12-01,2020年12月份,11458,6.38993502,-25.1551375,200309,18.64193523
2020-11-01,2020年11月份,15309,12.29227217,129.76136875,188851,19.4767292
2020-10-01,2020年10月份,6663,21.81792194,-65.24437953,173542,20.15488227
2020-09-01,2020年09月份,19171,8.84919544,34.99753538,166879,20.08942403
2020-08-01,2020年08月份,14201,8.86011411,38.93943841,147708,21.72080536
2020-07-01,2020年07月份,10221,26.40252104,-46.28724578,133507,23.2698621
2020-06-01,2020年06月份,19029,13.69489089,22.75190298,123286,23.0171055
2020-05-01,2020年05月份,15502,30.75833094,-4.5384568,104257,24.88607802
2020-04-01,2020年04月份,16239,85.95351841,-46.56465943,88755,23.91411206
2020-03-01,2020年03月份,30390,55.17456208,321.96612052,72516,15.29986223
2020-02-01,2020年02月份,7202,-5.74090332,-79.37807811,42126,-2.73153699
2020-01-01,2020年01月份,34924,-2.08689029,224.27667052,34924,-2.08689029
2019-12-01,2019年12月份,10769.81577,16.03573881,-21.00286866,168834.906151,7.73550439
2019-11-01,2019年11月份,13633.17324,10.81782406,149.25181354,158065.090381,7.21296599
2019-10-01,2019年10月份,5469.638534,-23.40817705,-68.94446018,144431.917141,6.88477385
2019-09-01,2019年09月份,17612.4407,22.81180973,35.01107699,138962.278607,8.57502331
2019-08-01,2019年08月份,13045.18199,-0.7215885,61.3290178,121349.837907,6.77848722
2019-07-01,2019年07月份,8086.072901,-37.12792704,-51.68715244,108304.655917,7.75903222
2019-06-01,2019年06月份,16736.89983,-0.30047669,41.17462824,100218.583016,14.34579462
2019-05-01,2019年05月份,11855.45876,4.0300789,35.75739077,83481.683186,17.81572757
2019-04-01,2019年04月份,8732.827504,-20.51926011,-55.40925687,71626.224426,20.4578298
2019-03-01,2019年03月份,19584.39553,71.42350529,156.31872143,62893.396922,29.74583538
2019-02-01,2019年02月份,7640.641862,-25.0879703,-78.57865637,43309.001392,16.8942099
