月份,"社融存量(可比口径,万亿元)",社融存量(亿元)
2017-01,184.1433,1841433.4941525087
2017-02,185.2475,1852475.0633608825
2017-03,187.788,1877879.6569256145
2017-04,189.7139,1897139.2355263534
2017-05,191.4567,1914567.4618041099
2017-06,193.9696,1939696.14236356
2017-07,195.9819,1959819.4853947228
2017-08,197.9443,1979442.560158376
2017-09,200.4371,2004370.529549514
2017-10,201.956,2019560.0102123732
2017-11,204.1924,2041924.0841040153
2017-12,205.9098,2059098.0905495184
2018-01,208.8804,2088803.9184895188
2018-02,210.049,2100490.2860552496
2018-03,211.6188,2116188.3734069606
2018-04,213.7184,2137183.678631864
2018-05,214.8127,2148126.995842195
2018-06,216.7829,2167829.0424444494
2018-07,218.4906,2184906.4367259913
2018-08,220.7398,2207397.917346899
2018-09,222.9029,2229029.0526301367
2018-10,223.747,2237470.0796546172
2018-11,225.2389,2252388.9395992984
2018-12,227.0356,2270356.012878489
2019-01,231.5476,2315476.4964656946
2019-02,232.4102,2324101.9817347997
2019-03,235.24,2352399.8060650313
2019-04,236.8118,2368118.097083546
2019-05,238.4958,2384958.020643553
2019-06,241.0483,2410483.348488401
2019-07,242.194,2421939.9665680523
2019-08,244.3064,2443063.5200095912
2019-09,246.6786,2466785.907759946
2019-10,247.4237,2474236.8815988945
2019-11,249.2701,2492701.431148892
2019-12,251.312,2513119.6415070626
