date,time,BASE,BASE_SAME,BASE_SEQUENTIAL,BASE_ACCUMULATE,ACCUMULATE_SAME
2023-12-01,2023年12月份,16653,-8.42452571,31.77969455,216784,6.4
2023-11-01,2023年11月份,12637,4.2570745,-39.18964439,200131,7.9
2023-10-01,2023年10月份,20781,2.64249728,39.31085339,187494,8.1
2023-09-01,2023年09月份,14917,-1.26423087,19.69988766,166713,8.9
2023-08-01,2023年08月份,12462,-4.59347726,-38.09547464,151796,10
2023-07-01,2023年07月份,20131,1.87753036,3.17769463,139334,11.5
2023-06-01,2023年06月份,19511,5.56757927,18.09817808,119203,13.3
2023-05-01,2023年05月份,16521,32.74144303,-20.68650984,99692,14.9
2023-04-01,2023年04月份,20830,69.9575718,24.73800826,83171,11.9
2023-03-01,2023年03月份,16699,5.46292788,,62341,0.5
2023-02-01,2023年02月份,,,,45642,-1.2
2022-12-01,2022年12月份,18185,61.11455657,50.02887551,203703,0.6
2022-11-01,2022年11月份,12121,24.62471725,-40.13138398,185518,-3
2022-10-01,2022年10月份,20246,15.65177653,34.00847233,173397,-4.5
2022-09-01,2022年09月份,15108,8.44099914,15.66375746,153151,-6.6
2022-08-01,2022年08月份,13062,5.5771096,-33.89676113,138043,-8
2022-07-01,2022年07月份,19760,-4.0776699,6.91483606,124981,-9.2
2022-06-01,2022年06月份,18482,-10.55076953,48.49750924,105221,-10.2
2022-05-01,2022年05月份,12446,-32.52737721,1.5502611,86739,-10.1
2022-04-01,2022年04月份,12256,-41.33920452,-22.59694329,74293,-4.8
2022-03-01,2022年03月份,15834,3.42259961,,62037,8.6
2022-02-01,2022年02月份,,,,46203,10.5
2021-12-01,2021年12月份,11287,-15.80635536,16.04976352,202539,10.7
2021-11-01,2021年11月份,9726,-11.22672508,-44.44190563,191252,12.8
2021-10-01,2021年10月份,17506,-0.14260453,25.65317255,181526,14.5
2021-09-01,2021年09月份,13932,-2.12168048,12.60911736,164020,16.3
2021-08-01,2021年08月份,12372,2.73187744,-39.94174757,150088,18.4
2021-07-01,2021年07月份,20600,11.05719985,-0.30006776,137716,20
2021-06-01,2021年06月份,20662,11.66234328,12.01344465,117116,21.8
2021-05-01,2021年05月份,18446,18.70776755,-11.71205667,96454,24.2
2021-04-01,2021年04月份,20893,29.37643198,36.46636185,78008,25.5
2021-03-01,2021年03月份,15310,42.3921131,,57115,24.2
2021-02-01,2021年02月份,,,,41805,18.7
2020-12-01,2020年12月份,13406,17.44196233,22.36217598,182895,-3.9
2020-11-01,2020年11月份,10956,-2.72573915,-37.50499116,169489,-5.3
2020-10-01,2020年10月份,17531,2.96605192,23.16284952,158533,-5.5
2020-09-01,2020年09月份,14234,4.53110083,18.19314124,141002,-6.4
2020-08-01,2020年08月份,12043,5.28938626,-35.0746671,126768,-7.5
2020-07-01,2020年07月份,18549,4.34268999,0.24319066,114725,-8.7
2020-06-01,2020年06月份,18504,3.2186088,19.08102194,96176,-10.8
2020-05-01,2020年05月份,15539,-10.01274033,-3.77732367,77672,-13.6
2020-04-01,2020年04月份,16149,-14.98289023,50.1953125,62133,-14.5
2020-03-01,2020年03月份,10752,-26.11324904,,45984,-14.3
2020-02-01,2020年02月份,,,,35232,-9.9
2019-12-01,2019年12月份,11415,3.59379254,1.34955163,190382,3.8
2019-11-01,2019年11月份,11263,4.52900232,-33.84823212,178967,3.8
2019-10-01,2019年10月份,17026,8.2596808,25.03488287,167704,3.8
2019-09-01,2019年09月份,13617,5.04512844,19.05053331,150678,3.3
2019-08-01,2019年08月份,11438,3.25900515,-35.65843506,137061,3.2
2019-07-01,2019年07月份,17777,1.81557847,-0.83672673,125623,3.1
2019-06-01,2019年06月份,17927,1.39132402,3.81630762,107846,3.4
2019-05-01,2019年05月份,17268,-2.05887357,-9.09186628,89919,3.8
2019-04-01,2019年04月份,18995,2.82574568,30.53188565,72651,5.3
2019-03-01,2019年03月份,14552,3.99782742,,53656,6.2
2019-02-01,2019年02月份,,,,39104,7
2018-12-01,2018年12月份,11019,1.84859969,2.26450116,183352,6.2
2018-11-01,2018年11月份,10775,-5.3579271,-31.48725122,172333,6.5
2018-10-01,2018年10月份,15727,-3.12367178,21.32222479,161558,7.4
2018-09-01,2018年09月份,12963,1.95847098,17.02627065,145831,8.7
2018-08-01,2018年08月份,11077,3.98595622,-36.55784651,132868,9.4
2018-07-01,2018年07月份,17460,6.09789445,-1.2499293,121791,10
2018-06-01,2018年06月份,17681,3.50419145,0.2835914,104331,10.6
2018-05-01,2018年05月份,17631,9.69054463,-4.55800357,86650,12.2
2018-04-01,2018年04月份,18473,10.06184388,32.01978188,69019,12.9
2018-03-01,2018年03月份,13992.6,8.36476283,8.19885094,50546,13.6
2018-02-01,2018年02月份,12932.3,15.00080033,-45.2510679,36553.4,15.8
2018-01-01,2018年01月份,23621.1,16.88926718,118.32979018,23621.1,16.9
2017-12-01,2017年12月份,10819,-4.2735799,-4.97145367,172567,7.4
2017-11-01,2017年11月份,11385,-0.92159883,-29.86984188,161748,8.4
2017-10-01,2017年10月份,16234.1,5.69694839,27.68680195,150363,9.2
2017-09-01,2017年09月份,12714,13.29632237,19.35338515,134128.9,9.7
2017-08-01,2017年08月份,10652.4,7.66416349,-35.26934646,121414.9,9.8
2017-07-01,2017年07月份,16456.5,11.41690702,-3.66400506,110762.5,10
2017-06-01,2017年06月份,17082.4,9.26442369,6.27745219,94306,9.8
2017-05-01,2017年05月份,16073.4,3.9622788,-4.23493524,77223.6,10
2017-04-01,2017年04月份,16784.2,8.12471816,29.98412391,61150.2,11.8
2017-03-01,2017年03月份,12912.5,12.1733616,14.82472833,44366,14.1
2017-02-01,2017年02月份,11245.4,10.04942017,-44.35201726,31453.5,14.9
2017-01-01,2017年01月份,20208.1,17.71960178,78.80109715,20208.1,17.7
2016-12-01,2016年12月份,11302,-7.9795311,-1.64390953,159552,4.5
2016-11-01,2016年11月份,11490.9,3.63945314,-25.18506944,148250,5.7
2016-10-01,2016年10月份,15359.1,6.40121149,36.86719718,136759.1,5.9
2016-09-01,2016年09月份,11221.9,3.03015279,13.42011906,121400,5.9
2016-08-01,2016年08月份,9894.1,2.30340605,-33.01309393,110178.1,6
2016-07-01,2016年07月份,14770.2,3.65518171,-5.52513752,100284,6.5
2016-06-01,2016年06月份,15634,1.94819253,1.12025251,85513.8,7.1
2016-05-01,2016年05月份,15460.8,7.69956302,-0.40069574,69879.8,8.3
2016-04-01,2016年04月份,15523,14.96738653,34.85127528,54419,8.6
2016-03-01,2016年03月份,11511.2,7.67570075,12.65058472,38896,6.5
2016-02-01,2016年02月份,10218.5,7.41526404,-40.47348584,27384.8,6.3
2016-01-01,2016年01月份,17166.3,5.94244919,39.76738411,17166.3,5.9
2015-12-01,2015年12月份,12282.05,14.19723815,10.77504334,152217,8.4
2015-11-01,2015年11月份,11087.38,11.39837495,-23.19141979,139934.95,8
2015-10-01,2015年10月份,14435.08,8.69625457,32.53089922,128847.57,5.4
2015-09-01,2015年09月份,10891.86,9.4354637,12.62008431,114412.49,7.6
2015-08-01,2015年08月份,9671.33,6.1686829,-32.12796926,103520.63,7.4
2015-07-01,2015年07月份,14249.36,12.54014112,-7.08094559,93849.3,7.5
2015-06-01,2015年06月份,15335.24,13.92305949,6.82491507,79599.94,4.7
2015-05-01,2015年05月份,14355.49,5.01471107,6.32050297,64264.7,5
2015-04-01,2015年04月份,13502.09,8.17890181,26.29847474,49909.21,3
2015-03-01,2015年03月份,10690.62,5.81409275,12.37811518,36407.12,2.4
2015-02-01,2015年02月份,9513.08,0.26454525,-41.28967835,25716.5,3.2
2015-01-01,2015年01月份,16203.42,4.98155436,50.65773325,16203.42,3.4
2014-12-01,2014年12月份,10755.12,13.30004424,8.0600548,140350,8.6
2014-11-01,2014年11月份,9952.91,9.07346443,-25.05451725,129594.88,8.3
2014-10-01,2014年10月份,13280.2,9.42445089,33.43220028,119641.97,8.2
2014-09-01,2014年09月份,9952.77,6.31336302,9.25823874,106361.77,8.1
2014-08-01,2014年08月份,9109.4,6.06916258,-28.05479253,96409,8.3
2014-07-01,2014年07月份,12661.58,6.86131116,-5.93913551,87299.6,8.5
2014-06-01,2014年06月份,13461.05,8.76280247,-1.52838556,74638.02,8.8
2014-05-01,2014年05月份,13669.98,7.22141608,9.52403844,61176.97,8.8
2014-04-01,2014年04月份,12481.26,9.18963748,23.53756875,47506.99,9.30016772
2014-03-01,2014年03月份,10103.21,5.15687856,6.48430962,35025.73,9.33960877
2014-02-01,2014年02月份,9487.98,8.18331912,-38.52761404,24922.52,11.13156343
2014-01-01,2014年01月份,15434.54,13.02503101,62.59549544,15434.54,13.02503101
2013-12-01,2013年12月份,9492.6,14.27642746,4.02894917,129143,10.1
2013-11-01,2013年11月份,9124.96,15.92697521,-24.8133509,119650.4,9.86847965
2013-10-01,2013年10月份,12136.41,16.20873202,29.63853903,110525.44,9.39646845
2013-09-01,2013年09月份,9361.73,13.36050577,9.00727396,98389.03,8.61110538
2013-08-01,2013年08月份,8588.17,9.22256136,-27.51748939,89027.3,8.13470181
2013-07-01,2013年07月份,11848.61,11.02801514,-4.26541548,80439.13,8.0198
2013-06-01,2013年06月份,12376.52,12.10362084,-2.92392524,68590.52,7.5166
2013-05-01,2013年05月份,12749.3,6.20195139,11.53452817,56214,6.6
2013-04-01,2013年04月份,11430.81,6.09625023,18.97489006,43464.7,6.6612
2013-03-01,2013年03月份,9607.75,6.06957188,9.54895397,32033.89,6.9
2013-02-01,2013年02月份,8770.28,9.55044531,-35.7764359,22426.14,7.2
2013-01-01,2013年01月份,13655.86,5.75624701,64.39572875,13655.86,5.8
2012-12-01,2012年12月份,8306.7,29.16653709,5.53148781,117210,12.8
2012-11-01,2012年11月份,7871.3,21.89731963,-24.63061215,108903.3,11.9
2012-10-01,2012年10月份,10443.63,13.66177133,26.46115396,101032,11.2
2012-09-01,2012年09月份,8258.37,11.94678089,5.0282335,90588.37,10.9
2012-08-01,2012年08月份,7863,4.19579215,-26.31935028,82330,10.8
2012-07-01,2012年07月份,10671.73,8.18756906,-3.33796789,74467,11.5779
2012-06-01,2012年06月份,11040.25,9.79030924,-8.03447296,63795.27,12.1659
2012-05-01,2012年05月份,12004.77,13.12171017,11.42351958,52755.02,12.6761
2012-04-01,2012年04月份,10774,6.86308155,18.94497332,40750.25,12.5455
2012-03-01,2012年03月份,9057.97,18.69420221,13.14400989,29976.25,14.7
2012-02-01,2012年02月份,8005.7,14.41601484,-38.00077134,20918.28,13.1061
2012-01-01,2012年01月份,12912.58,12.30889124,100.78650288,12912.58,12.31
2011-12-01,2011年12月份,6431,1.44349151,-0.40759944,103740,24.8
2011-11-01,2011年11月份,6457.32,10.5574855,-29.72267025,97309,26.8026
2011-10-01,2011年10月份,9188.34,16.89538962,24.55303949,90851.68,28.1409
2011-09-01,2011年09月份,7377.05,17.33461212,-2.24372778,81663.34,29.5431
2011-08-01,2011年08月份,7546.37,34.29257832,-23.49661905,74286.29,30.9
2011-07-01,2011年07月份,9864.1,26.73611557,-1.9059723,66739.92,30.5
2011-06-01,2011年06月份,10055.76,27.62088484,-5.24393485,56875.82,31.2
2011-05-01,2011年05月份,10612.26,34.03278241,5.25884591,46820.06,32
2011-04-01,2011年04月份,10082.06,27.20782875,32.11371514,36207.8,31.4
2011-03-01,2011年03月份,7631.35,26.6942146,9.06587242,26125.74,33.1
2011-02-01,2011年02月份,6997.01,41.49752172,-39.14256987,18494.39,36
2011-01-01,2011年01月份,11497.38,32.7847496,81.3612767,11497.38,32.8
2010-12-01,2010年12月份,6339.49,24.697378,8.54008687,83080,21.3
2010-11-01,2010年11月份,5840.69,16.1332591,-25.69389757,76740.51,21.1
2010-10-01,2010年10月份,7860.31,14.83404505,25.02103483,70899.82,21.5
2010-09-01,2010年09月份,6287.19,12.08410957,11.88464858,63039.51,22.4
2010-08-01,2010年08月份,5619.35,7.29130668,-27.8013614,56752.32,23.6
2010-07-01,2010年07月份,7783.18,16.23782279,-1.22115897,51132.97,25.7
2010-06-01,2010年06月份,7879.4,14.73512079,-0.48322358,43349.79,27.6
2010-05-01,2010年05月份,7917.66,20.52205125,-0.10093797,35470.39,30.8
2010-04-01,2010年04月份,7925.66,34.39814148,31.58029299,27552.73,34.1
2010-03-01,2010年03月份,6023.44,36.82763885,21.80943464,19627.07,34
2010-02-01,2010年02月份,4944.97,20.36740884,-42.88989289,13603.63,32.9
2010-01-01,2010年01月份,8658.66,41.21348227,70.31530911,8658.66,41.2
2009-12-01,2009年12月份,5083.9,56.49077013,1.08563816,68477,11.7
2009-11-01,2009年11月份,5029.3,32.61523046,-26.52517995,63393.1,9.2
2009-10-01,2009年10月份,6844.93,28.4480057,22.0271511,58363.8,7.5
2009-09-01,2009年09月份,5609.35,33.01060888,7.1003748,51518.87,5.3
2009-08-01,2009年08月份,5237.47,36.11136377,-21.78105739,45909.52,2.6
2009-07-01,2009年07月份,6695.91,10.24759942,-2.49815434,40672.05,-0.5
2009-06-01,2009年06月份,6867.47,19.56276485,4.53613457,33976.14,-2.4
2009-05-01,2009年05月份,6569.47,4.80716001,11.40076138,27108.67,-6.7
2009-04-01,2009年04月份,5897.15,-13.59335256,33.95885249,20539.2,-9.9
2009-03-01,2009年03月份,4402.21,-0.31114483,7.15587978,14642.05,-8.3
2009-02-01,2009年02月份,4108.23,-1.2147881,-32.99916335,10239.84,-11.4
2009-01-01,2009年01月份,6131.61,-17.10276558,88.74100022,6131.61,-17.1
2008-12-01,2008年12月份,3248.69,3.30814778,-14.33683156,61316.9,19.5
2008-11-01,2008年11月份,3792.4,-3.084511,-28.83401045,58068.21,20.5
2008-10-01,2008年10月份,5328.95,-0.33980909,26.36167902,54275.81,22.6
2008-09-01,2008年09月份,4217.22,3.07724646,9.59710806,48946.86,25.8
2008-08-01,2008年08月份,3847.93,10.08491111,-36.64415364,44729.64,28.4
2008-07-01,2008年07月份,6073.52,16.5223931,5.74008238,40881.71,30.5
2008-06-01,2008年06月份,5743.82,30.71039594,-8.36498807,34808.19,33.3
2008-05-01,2008年05月份,6268.15,52.6025563,-8.15735954,29064.37,33.8
2008-04-01,2008年04月份,6824.88,17.01646489,54.55066294,22796.22,29.4
2008-03-01,2008年03月份,4415.95,24.67144918,6.18455065,15971.34,35.5
2008-02-01,2008年02月份,4158.75,36.55213854,-43.77514655,11555.39,40.2
2008-01-01,2008年01月份,7396.64,42.35230494,135.2127098,7396.64,42.4
