date,reference_month,bridge_yoy_pct,balance_100m_rmb,source_field_cn,definition_regime,same_as_legacy_hh_deposit_hist,source_scope,quality_flag,source_owner,note
2012-01-01,2012-01,13.461415,357379.3,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2012-02-01,2012-02,12.874898,358370.51,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2012-03-01,2012-03,12.793271,369224.34,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2012-04-01,2012-04,12.655483,363118.95,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2012-05-01,2012-05,13.45432,367242.08,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2012-06-01,2012-06,14.675104,381342.53,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2012-07-01,2012-07,15.432284,376337.78,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2012-08-01,2012-08,16.216243,379880.52,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2012-09-01,2012-09,16.838898,390146.52,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2012-10-01,2012-10,17.554,385223.33,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2012-11-01,2012-11,17.601755,388435.15,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2012-12-01,2012-12,16.27163,399551.04,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2013-01-01,2013-01,13.773803,406604.02,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2013-02-01,2013-02,18.303995,423966.63,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2013-03-01,2013-03,18.297155,436781.89,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2013-04-01,2013-04,17.50633,426687.75,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2013-05-01,2013-05,16.924722,429396.78,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2013-06-01,2013-06,14.515701,436697.07,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2013-07-01,2013-07,14.818459,432105.24,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2013-08-01,2013-08,14.320429,434281.04,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2013-09-01,2013-09,13.579632,443126.98,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2013-10-01,2013-10,13.182221,436004.32,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2013-11-01,2013-11,12.554546,437201.42,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2013-12-01,2013-12,12.026131,447601.57,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2014-01-01,2014-01,13.649058,462101.64,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2014-02-01,2014-02,9.495455,464224.19,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2014-03-01,2014-03,9.508989,478315.43,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2014-04-01,2014-04,8.857517,464481.69,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
2014-05-01,2014-05,8.470601,465769.27,储蓄存款,LEGACY_SAVINGS_DEPOSIT_2012_2014,TRUE,金融机构人民币信贷收支表,OFFICIAL_PBOC_EXACT,中国人民银行,旧表原字段“个人存款→储蓄存款”；同比由当月余额/上年同月余额-1计算。
