月份,存量(万亿元),同比(%),口径,来源
2014-12,122.86,14.3,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/2810586/index.html
2015-03,127.52,12.9,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/2811782/index.html
2015-06,131.58,11.9,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/2903266/index.html
2015-09,134.7,12.5,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/f45f75fe834c456f9dae2037bb21b246/index.html
2015-12,138.14,12.4,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/76c1bf5d8c034cceb7be29f5fb3083e8/index.html
2016-01,141.57,13.1,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/cd78c16e0c6c447788b0a26997ded604/index.html
2016-02,142.5,12.7,原口径(2016年当时发布),央行2016年月度存量报告(多源转载核对)
2016-03,144.75,13.4,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/03d0b72c518348a880937806f367d3ac/index.html
2016-04,145.59,13.1,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/b455551f61cb4582bb322ba3309c99e9/index.html
2016-05,146.33,12.6,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/c87c49353cbd492ea61d80ccf1aa4c84/index.html
2016-06,147.94,12.3,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/7e0ce181fc7546298ea86962de93f0c5/index.html
2016-07,148.38,12.2,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/fea83da4ff5f4f98a4bdac5660145fe3/index.html
2016-08,149.83,12.3,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/dd4ee632ba014f7fb04d43615f35538b/index.html
2016-09,151.51,12.5,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/36de8c6173514571b91a93ed90b835b1/index.html
2016-10,152.41,12.7,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/0d28173ac5ae4633a68c75393546f34b/index.html
2016-11,154.36,13.3,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/94f3fe524bc44b0895d5aad5cb93b602/index.html
2016-12,155.99,13.3,原口径(2016年当时发布),央行2016年月度存量报告(多源转载核对)
2017-01,184.1433,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2017-02,185.2475,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2017-03,187.788,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2017-04,189.7139,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2017-05,191.4567,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2017-06,193.9696,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2017-07,195.9819,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2017-08,197.9443,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2017-09,200.4371,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2017-10,201.956,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2017-11,204.1924,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2017-12,205.9098,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2018-01,208.8804,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2018-02,210.049,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2018-03,211.6188,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2018-04,213.7184,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2018-05,214.8127,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2018-06,216.7829,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2018-07,218.4906,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2018-08,220.7398,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2018-09,222.9029,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2018-10,223.747,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2018-11,225.2389,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2018-12,227.0356,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2019-01,231.5476,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2019-02,232.4102,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2019-03,235.24,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2019-04,236.8118,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2019-05,238.4958,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2019-06,241.0483,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2019-07,242.194,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2019-08,244.3064,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2019-09,246.6786,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2019-10,247.4237,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2019-11,249.2701,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2019-12,251.312,,"可比口径(2019年报附表1,追溯至2017-01)",央行2019年社会融资规模存量统计数据报告附表1(可比口径xls)
2020-01,256.36,10.7,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/d34e0501dfa74ee0a460f1e631c52bc3/index.html
2020-02,257.18,10.7,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/a0d39ae2576340b5bc1a432882d4d231/index.html
2020-03,262.24,11.5,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/60bac57f949f4c0c8dc94b32f8239b0e/index.html
2020-04,265.22,12,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/bc82c215c2cf44d3be12cf2ae1fc4e05/index.html
2020-05,268.39,12.5,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/afeba54c1a2a40ff8bc0455638681a5b/index.html
2020-06,271.8,12.8,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/fca95bbe2d5c404fa216623ba1b1fa4a/index.html
2020-07,273.33,12.9,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/613be1352bf744c88d77bddcc4bc79d0/index.html
2020-08,276.74,13.3,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/109937570a444b029691225a182d4886/index.html
2020-09,280.07,13.5,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/05cf6159e7f4456f9da4bc38b13084de/index.html
2020-10,281.28,13.7,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/c3bf937c598a46b4ab59de8f6e4f8b3c/index.html
2020-11,283.25,13.6,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/89db4014b9124a19ab1000dca42d3889/index.html
2020-12,284.83,13.3,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/ea07052cc43347288656faa124a27eaf/index.html
2021-01,289.74,13,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/5b94798c99f34e6d9cf5f00a662288ff/index.html
2021-02,291.36,13.3,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/680259d2f51442f9b09def97aac9b4d5/index.html
2021-03,294.55,12.3,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/df99386e79c249e8b077322beb45c109/index.html
2021-04,296.16,11.7,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/9526cc10ab124976b60f79c65ed8b1d5/index.html
2021-05,297.98,11,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/c178277d2cee4281876fdfd673b0f5f9/index.html
2021-06,301.56,11,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/4984d0332dfa4db080058c355a3d8c8e/index.html
2021-07,302.49,10.7,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/de3ef518f75e4ea1823eed8096a95c3b/index.html
2021-08,305.28,10.3,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/bb22df0187ab474aaacfa4cb20bd37fc/index.html
2021-09,308.05,10,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/b53c42aefcb34dccaafd77e1b6339429/index.html
2021-10,309.45,10,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/f856e828ff0f40c0a6a2b57baf1b7eb3/index.html
2021-11,311.9,10.1,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/46f1dae80c5b4452bc4d2a5e12cfd525/index.html
2021-12,314.13,10.3,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/cd7b8e7499964bf895939d9c25160cc1/index.html
2022-01,320.05,10.5,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/6a396a524e194b28a4ac26e43bab72f4/index.html
2022-02,321.12,10.2,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/ecb845b69c5f454e9579873d385eb856/index.html
2022-03,325.64,10.6,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/9b464214288743c39453eb0667a576ca/index.html
2022-04,326.46,10.2,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/13152c6f6c3249daab3f6bb52684895f/index.html
2022-05,329.19,10.5,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/4b1928b179cc44e59677e29e95f3d095/index.html
2022-06,334.27,10.8,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/013350cf90b3457bb2fe1cc87201297e/index.html
2022-07,334.9,10.7,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/689a13d5f84c4df3bc699dccea575190/index.html
2022-08,337.21,10.5,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/9d1774ca36ef49d9b340696a6bf39f12/index.html
2022-09,340.65,10.6,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/1da4d3e592a842789438683f9edf5c1f/index.html
2022-10,341.42,10.3,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/ccf42a3544a54780a7ea31e6de181a99/index.html
2022-11,343.19,10,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/708d5dd012744ead95a53fe8c58cacbd/index.html
2022-12,344.21,9.6,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/54aa3f53ef374d53a4ad4f86753ab3b0/index.html
2023-01,350.93,9.4,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/b18b9809242245ebbd594f3380862d5b/index.html
2023-02,353.97,9.9,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/6c813ffa481e407bb7a42052cedb0dd4/index.html
2023-03,359.02,10,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/369d4ffc82a6446ea356b571029c4951/index.html
2023-04,359.95,10,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/8fa958b90e6644ef8f209316f9665174/index.html
2023-05,361.42,9.5,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/4559dc18c87b4b88b779001dfb2218d8/index.html
2023-06,365.45,9,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/305c194d33c5458d9c9f17e8d7e2e130/index.html
2023-07,365.77,8.9,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/a277a71d6e5d436fabb53029fc2c51e6/index.html
2023-08,368.61,9,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/8c86d4d42f4649fab6b8087f5f8ae74b/index.html
2023-09,372.5,9,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/8e5312084c0040a2b8dadae2badf1e63/index.html
2023-10,374.17,9.3,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/f75e8897cc0c4408ae0f3037fdbd48b4/index.html
2023-11,376.39,9.4,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/1046bc429f1745ffb1d8ddbc0d53fd4d/index.html
2023-12,378.09,9.5,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/5cfb772209e24a818f816b5a4301d2f8/index.html
2024-01,384.29,9.5,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/29d3365dfab04cc0a1e50bf0df41bae4/index.html
2024-02,385.72,9,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/5dc0e2cd02a44d65a66956de35df38d2/index.html
2024-03,390.32,8.7,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/6bcffbb8a7ab48cba539485196d0f8eb/index.html
2024-04,389.93,8.3,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/ea01726dee194ec0bd95add708232c45/index.html
2024-05,391.93,8.4,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/2936e6c5389f4d7784611350ba44c952/index.html
2024-06,395.11,8.1,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/1778643a232c44e4af332031fd86186c/index.html
2024-07,395.72,8.2,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/1e20eedcca8c41d4aecdcf9470e57f5c/index.html
2024-08,398.56,8.1,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/eac7a4dd09d3436e8420c5980528c888/index.html
2024-09,402.19,8,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/def82c466abf44b8b4c750b93e0dc657/index.html
2024-10,403.45,7.8,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/5fe98a9deabd41e6a3e5e25896965984/index.html
2024-11,405.6,7.8,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/0503511b427f4c78bc8cd577cc1888b3/index.html
2024-12,408.34,8,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/a11eac6f438f498796e58609b5014d6c/index.html
2025-01,415.2,8,现行口径(月度报告/金融统计数据报告),https://jrj.sh.gov.cn/SCGK194/20250217/cad62bef05834e1a8128fc3d7ac94c79.html
2025-02,417.29,8.2,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/2025080618505073824/index.html
2025-03,422.96,8.4,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/2025080618505015531/index.html
2025-04,424.0,8.7,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/2025080618505089313/index.html
2025-05,426.16,8.7,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/2025080618505022412/index.html
2025-06,430.22,8.9,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/2025080618505078072/index.html
2025-07,431.26,9,现行口径(人行官网月度报告原发布值),https://www.pbc.gov.cn/diaochatongjisi/116219/116225/4405816f165642d8b7d9ece44ea6f88a/index.html
2025-08,433.66,8.8,现行口径(人民网引述人行发布),人民网2025-09-12(8月末存量433.66万亿/8.8%)
2025-09,437.08,8.7,现行口径(财联社引述人行发布),财联社2025-10-15(9月末存量437.08万亿/8.7%)
2025-10,437.72,8.5,现行口径(月度报告/金融统计数据报告),https://jrj.sh.gov.cn/SCGK194/20251114/b2c0531a820849f19a27c7997b246bbd.html
2025-11,440.07,8.5,现行口径(月度报告/金融统计数据报告),https://jrj.sh.gov.cn/SCGK194/20251215/748c80529bf642ea8ab9f59ed97eab62.html
2025-12,442.12,8.3,现行口径(月度报告/金融统计数据报告),"jrj.sh.gov.cn/ZXYW178/20260116/88e3368ecfee4e639ae9aa8dd93729c3.html(转载全文,requests被JS挑战,值取自多源转载)"
2026-01,449.11,8.2,现行口径(月度报告/金融统计数据报告),https://jrj.sh.gov.cn/SCGK194/20260214/50127c0c43954b5b87b86921577e0047.html
2026-02,451.40,8.2,现行口径(第一财经/中房网引述人行发布),第一财经2026-03-13(2月末存量451.40万亿/8.2%)
2026-03,456.46,7.9,现行口径(月度报告/金融统计数据报告),https://jrj.sh.gov.cn/SCGK194/20260414/6ddd9e24f07e49438ec397fa2f7fec1c.html
2026-04,456.89,7.8,现行口径(月度报告/金融统计数据报告),https://jrj.sh.gov.cn/SCGK194/20260515/b17505670cc6448e99b4da8f4fec3781.html
2026-05,458.81,7.7,现行口径(月度报告/金融统计数据报告),"jrj.sh.gov.cn/SCGK194/20260615/04468130967a438aa8ba82b8024269af.html(转载全文,requests被JS挑战)"
2026-06,462.06,7.4,现行口径(月度报告/金融统计数据报告),jrj.sh.gov.cn/SCGK194/20260716/cc6fc2c32b3b41f1b92b65ea4f118d4f.html(转载全文)
2026-07,463.27,7.4,现行口径(月度报告/金融统计数据报告),https://jrj.sh.gov.cn/SCGK194/20260817/2918b201c7c94119b337ab099c4363ae.html
