月份,存量(万亿元),同比(%),标题,url
2020-03,262.24,11.5,2020年3月社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/60bac57f949f4c0c8dc94b32f8239b0e/index.html
2020-02,257.18,10.7,2020年2月社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/a0d39ae2576340b5bc1a432882d4d231/index.html
2020-01,256.36,10.7,2020年1月社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/d34e0501dfa74ee0a460f1e631c52bc3/index.html
2019-12,251.31,10.7,2019年社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/4e41ac139d6b4e18b28488005f5fce7b/index.html
2019-11,221.28,10.7,2019年11月社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/255aa96bb4b745b4b086bbaf29b1ced8/index.html
2019-10,219.6,10.7,2019年10月社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/0e86b5acf59d49e58b2f459d8609a801/index.html
2019-09,219.04,10.8,2019年9月社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/1cd1f9ef49a44b02ab96992fe75f9758/index.html
2019-08,216.01,10.7,2019年8月社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/38135afa37cc4023b31c0a15c18cd267/index.html
2019-07,214.13,10.7,2019年7月社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/285df50310154b129191f505414a299b/index.html
2019-06,213.26,10.9,2019年6月末社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/b0d2da6acdb041f88d96c69575a7b3ac/index.html
2019-05,211.06,10.6,2019年5月社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/4ba7e89d8ad3410bbca2b073f0d060f5/index.html
2019-04,209.68,10.4,2019年4月社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/e10a83e6c82f49eabc285f3c89a554cc/index.html
2019-03,208.41,10.7,2019年3月末社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/d91113196ded4c70976a406fdeed5182/index.html
2019-02,205.68,10.1,2019年2月社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/48644aae3c7f4bf8b5a44190a7c05b86/index.html
2019-01,205.08,10.4,2019年1月社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/cb4e819a78fe46c2a97762cf364c60df/index.html
2018-11,199.3,9.9,2018年11月末社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/caa7d86c3ad44a19b88e4e5846361526/index.html
2018-10,197.89,10.2,2018年10月末社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/9e90f3764bcd4a6f8a574538a70291fc/index.html
2018-09,197.3,10.6,2018年9月末社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/031b9fe3f0e84f10ab01c564d8c8b43b/index.html
2018-08,188.8,10.1,2018年8月末社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/40e6760d99b14faabdba2710c5661e5f/index.html
2018-07,187.45,10.3,2018年7月末社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/352836472d1a48c19be8b9d19f2d9473/index.html
2018-06,183.27,9.8,2018年6月末社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/333c83e9f4ec4c31a87bd517e7dc541b/index.html
2018-05,182.14,10.3,2018年5月末社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/6d70b1096aa4406d9d4a1b06c4b9436b/index.html
2018-04,181.41,10.5,2018年4月末社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/ec6756c65d5f42b189a6f9fc4a0e860a/index.html
2018-03,179.93,10.5,2018年3月末社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/f464aac3a1ac4bef8a3a1381ddd22899/index.html
2018-02,178.73,11.2,2018年2月末社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/94d2511fc57f4ed3a78c85083848e393/index.html
