source_path,snapshot_path,sha256,file_size,copied_at,status
data_raw_v3,raw/central_bank_balance.csv,7ae631fa71f4dbf4b2086b08d1ff845bf2e4e9deb087a8e5b71b9e5bf7e820eb,65681,2026-08-27 21:11:06,OK
data_raw_v3,raw/china_bond_yield.csv,fa2ae66fa65a36387d98e1a4f3977f96fd45443219de956f1b8a94e07ffcc34a,342382,2026-08-27 21:11:06,OK
data_raw_v3,raw/cpi_index.csv,ab6c63d8667f7e9ff239a28851ca2e72614c5dd30f1d6996fff765643c5e0ee4,21170,2026-08-27 21:11:06,OK
data_raw_v3,raw/fr_fixing_rates.csv,bbba3ddaffdfa20dc08954a52c17566e90e5ffd4c88ca1c39945cd04543405f2,171273,2026-08-27 21:11:06,OK
data_raw_v3,raw/gold_au9999_sge.csv,6116e547edcf0c1626e2fb8449ee3dd83fde062cb6b610d310cc38f9d0c3e0ab,62548,2026-08-27 21:11:06,OK
data_raw_v3,raw/hs300_pb_lg.csv,d947b5554bdeabc0909fc5174f56e5b7d352bcae009ed58422c8edb3c280a5f4,152339,2026-08-27 21:11:06,OK
data_raw_v3,raw/hs300_pe_lg.csv,5fc067bb847da19ba05271307514685488167126a69c17ab2ec556a41f5b01f1,245267,2026-08-27 21:11:06,OK
data_raw_v3,raw/hs300_total_return_510300.csv,ef6f60bf2f2cbef8e8b84f2e7127916d47fd0e7868b18c48fe799eb51ce148c5,62060,2026-08-27 21:11:06,OK
data_raw_v3,raw/hs300_total_return_H00300.csv,b9b9b2828965c8cccd3748e17377eaaabadcb5867d78121aa5aa04162d1683fc,219309,2026-08-27 21:11:06,OK
data_raw_v3,raw/income_annual_2013_2020.csv,42d86cd3258944c92faefa972aa5f80fc06036b0ace02a8a48552ad370e30284,744,2026-08-27 21:11:06,OK
data_raw_v3,raw/index_000001_sina.csv,122a74a270cb08f7e2b76591757ef293f466e22b5155bf06c0bece36e8c24670,264402,2026-08-27 21:11:06,OK
