期间,指标,值,url
2024-FY,农村人均可支配收入(元),23119,https://www.stats.gov.cn/sj/zxfb/202501/t20250117_1958325.html
2024-FY,可支配收入中位数(元),34707,https://www.stats.gov.cn/sj/zxfb/202501/t20250117_1958325.html
2024-Q3,"人均可支配收入(元,累计)",30941,https://www.stats.gov.cn/sj/zxfb/202410/t20241018_1957037.html
2024-Q3,可支配收入名义增速(%),5.2,https://www.stats.gov.cn/sj/zxfb/202410/t20241018_1957037.html
2024-Q3,可支配收入实际增速(%),4.9,https://www.stats.gov.cn/sj/zxfb/202410/t20241018_1957037.html
2024-Q3,"人均消费支出(元,累计)",20631,https://www.stats.gov.cn/sj/zxfb/202410/t20241018_1957037.html
2024-Q3,消费支出名义增速(%),5.6,https://www.stats.gov.cn/sj/zxfb/202410/t20241018_1957037.html
2024-Q3,消费支出实际增速(%),5.3,https://www.stats.gov.cn/sj/zxfb/202410/t20241018_1957037.html
2024-Q3,城镇人均可支配收入(元),41183,https://www.stats.gov.cn/sj/zxfb/202410/t20241018_1957037.html
2024-Q3,农村人均可支配收入(元),16740,https://www.stats.gov.cn/sj/zxfb/202410/t20241018_1957037.html
2024-Q3,可支配收入中位数(元),25978,https://www.stats.gov.cn/sj/zxfb/202410/t20241018_1957037.html
2024-H1,"人均可支配收入(元,累计)",20733,https://www.stats.gov.cn/sj/zxfb/202407/t20240715_1955615.html
2024-H1,可支配收入名义增速(%),5.4,https://www.stats.gov.cn/sj/zxfb/202407/t20240715_1955615.html
2024-H1,可支配收入实际增速(%),5.3,https://www.stats.gov.cn/sj/zxfb/202407/t20240715_1955615.html
2024-H1,"人均消费支出(元,累计)",13601,https://www.stats.gov.cn/sj/zxfb/202407/t20240715_1955615.html
2024-H1,消费支出名义增速(%),6.8,https://www.stats.gov.cn/sj/zxfb/202407/t20240715_1955615.html
2024-H1,消费支出实际增速(%),6.7,https://www.stats.gov.cn/sj/zxfb/202407/t20240715_1955615.html
2024-H1,城镇人均可支配收入(元),27561,https://www.stats.gov.cn/sj/zxfb/202407/t20240715_1955615.html
2024-H1,农村人均可支配收入(元),11272,https://www.stats.gov.cn/sj/zxfb/202407/t20240715_1955615.html
2024-H1,可支配收入中位数(元),17358,https://www.stats.gov.cn/sj/zxfb/202407/t20240715_1955615.html
2024-Q1,"人均可支配收入(元,累计)",11539,https://www.stats.gov.cn/sj/zxfb/202404/t20240416_1948580.html
2024-Q1,可支配收入名义增速(%),6.2,https://www.stats.gov.cn/sj/zxfb/202404/t20240416_1948580.html
2024-Q1,可支配收入实际增速(%),6.2,https://www.stats.gov.cn/sj/zxfb/202404/t20240416_1948580.html
2024-Q1,"人均消费支出(元,累计)",7299,https://www.stats.gov.cn/sj/zxfb/202404/t20240416_1948580.html
2024-Q1,消费支出名义增速(%),8.3,https://www.stats.gov.cn/sj/zxfb/202404/t20240416_1948580.html
2024-Q1,消费支出实际增速(%),8.3,https://www.stats.gov.cn/sj/zxfb/202404/t20240416_1948580.html
2024-Q1,城镇人均可支配收入(元),15150,https://www.stats.gov.cn/sj/zxfb/202404/t20240416_1948580.html
2024-Q1,农村人均可支配收入(元),6596,https://www.stats.gov.cn/sj/zxfb/202404/t20240416_1948580.html
2024-Q1,可支配收入中位数(元),9462,https://www.stats.gov.cn/sj/zxfb/202404/t20240416_1948580.html
2023-FY,"人均可支配收入(元,累计)",39218,https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946622.html
2023-FY,可支配收入名义增速(%),6.3,https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946622.html
2023-FY,可支配收入实际增速(%),6.1,https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946622.html
2023-FY,"人均消费支出(元,累计)",26796,https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946622.html
2023-FY,消费支出名义增速(%),9.2,https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946622.html
2023-FY,消费支出实际增速(%),9.0,https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946622.html
