date,reference_month,fai_sa_mom_pct,source_release_period,revision_status,verification_status,pit_use_status,source_url
2022-12-01,2022-12,0.10,2023-12 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946620.html
2023-01-01,2023-01,0.90,2024-01/02 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202403/t20240322_1948131.html
2023-02-01,2023-02,0.81,2024-01/02 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202403/t20240322_1948131.html
2023-03-01,2023-03,-0.37,2024-03 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202404/t20240416_1948569.html
2023-04-01,2023-04,-0.11,2024-04 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202405/t20240520_1950419.html
2023-05-01,2023-05,0.86,2024-05 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202406/t20240617_1954714.html
2023-06-01,2023-06,-0.60,2024-06 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202407/t20240715_1955598.html
2023-07-01,2023-07,-0.89,2024-07 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202408/t20240815_1955983.html
2023-08-01,2023-08,1.01,2024-08 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202409/t20240914_1956483.html
2023-09-01,2023-09,-0.26,2024-09 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202410/t20241018_1957041.html
2023-10-01,2023-10,0.18,2024-10 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202411/t20241115_1957429.html
2023-11-01,2023-11,-0.05,2024-11 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202412/t20241216_1957763.html
2023-12-01,2023-12,-0.13,2024-12 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202501/t20250117_1958329.html
2024-01-01,2024-01,-0.43,2025-01/02 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202503/t20250317_1959015.html
2024-02-01,2024-02,0.43,2025-01/02 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202503/t20250317_1959015.html
2024-03-01,2024-03,0.03,2025-03 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/zwfwck/sjfb/202504/t20250416_1959318.html
2024-04-01,2024-04,0.26,2025-04 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202505/t20250519_1959860.html
2024-05-01,2024-05,0.21,2025-05 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202506/t20250616_1960171.html
2024-06-01,2024-06,0.89,2025-06 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202507/t20250715_1960412.html
2024-07-01,2024-07,0.73,2025-07 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202508/t20250815_1960788.html
2024-08-01,2024-08,0.19,2025-08 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202509/t20250915_1961178.html
