file_name,sha256,rows,source_page,retrieval_time,notes
em_cpi.csv,8f6fc595fad6c7a1a5146412f87e7dce0b6d0c6c0a71319de11116cc4fe08b07,223,https://data.eastmoney.com/cjsj/cpi.html,2026-08-27 14:55:36,"字段: NATIONAL_SAME,NATIONAL_BASE,NATIONAL_SEQUENTIAL,NATIONAL_ACCUMULATE,CITY_SAME,CITY_BASE,CITY_SEQUENTIAL,CITY_ACCUMULATE..."
em_ppi.csv,49ba3a3cb9b8e1416969741b5acaf8dfd146881034fefc974d535bd73a4d0f94,247,https://data.eastmoney.com/cjsj/ppi.html,2026-08-27 14:55:36,"字段: BASE,BASE_SAME,BASE_ACCUMULATE"
em_pmi.csv,e073d4baf61929f8101a37afe768ecd5f2ee3644c682fd4827235b59e8de9019,223,https://data.eastmoney.com/cjsj/pmi.html,2026-08-27 14:55:36,"字段: MAKE_INDEX,MAKE_SAME,NMAKE_INDEX,NMAKE_SAME"
em_gdp.csv,e08dae97dfefe215e9de0409e73e71f55981cf0d7dd411a6171b71b1db70f22e,82,https://data.eastmoney.com/cjsj/gdp.html,2026-08-27 14:55:36,"字段: DOMESTICL_PRODUCT_BASE,FIRST_PRODUCT_BASE,SECOND_PRODUCT_BASE,THIRD_PRODUCT_BASE,SUM_SAME,FIRST_SAME,SECOND_SAME,THIRD_SAME"
em_gyzjz.csv,0f0ee4b73a499eebd4626e7e62ae8d952a7f85cab09030dc973fbdc286215f8c,204,https://data.eastmoney.com/cjsj/gyzjz.html,2026-08-27 14:55:36,"字段: BASE_SAME,BASE_ACCUMULATE"
em_gdzctz.csv,9d681dce2f90902c9d683c8d7f00188629ddb4aef3988fa003472428e3a5cbac,160,https://data.eastmoney.com/cjsj/gdzctz.html,2026-08-27 14:55:36,"字段: BASE,BASE_SAME,BASE_SEQUENTIAL,BASE_ACCUMULATE"
em_xfp.csv,1a051c3de8ef267f9bebcd352564e7ab6f64f43187d1a421689613fd4dbb0d98,208,https://data.eastmoney.com/cjsj/xfp.html,2026-08-27 14:55:36,"字段: RETAIL_TOTAL,RETAIL_TOTAL_SAME,RETAIL_TOTAL_SEQUENTIAL,RETAIL_TOTAL_ACCUMULATE,RETAIL_ACCUMULATE_SAME"
em_hbgyl.csv,582e9e3132eaa5aff64a5c90ab379f3965d1bc55e0e55097bd47558731141e61,223,https://data.eastmoney.com/cjsj/hbgyl.html,2026-08-27 14:55:36,"字段: BASIC_CURRENCY,BASIC_CURRENCY_SAME,BASIC_CURRENCY_SEQUENTIAL,CURRENCY,CURRENCY_SAME,CURRENCY_SEQUENTIAL,FREE_CASH,FREE_CASH_SAME..."
em_hgjck.csv,cce7997204ad61e96e077ae2c7ebbc8d2819e828c660a2aed1577bafb7eb5f95,223,https://data.eastmoney.com/cjsj/hgjck.html,2026-08-27 14:55:36,"字段: EXIT_BASE,IMPORT_BASE,EXIT_BASE_SAME,IMPORT_BASE_SAME,EXIT_BASE_SEQUENTIAL,IMPORT_BASE_SEQUENTIAL,EXIT_ACCUMULATE,IMPORT_ACCUMULATE..."
em_gpjytj.csv,aefeea6ff3a0421d64d7f4e39de202d73eb018ad1d423612c6dbbb8b5e78d904,224,https://data.eastmoney.com/cjsj/gpjytj.html,2026-08-27 14:55:36,"字段: TOTAL_SHARES_SH,TOTAL_MARKE_SH,DEAL_AMOUNT_SH,VOLUME_SH,HIGH_INDEX_SH,LOW_INDEX_SH,TOTAL_SZARES_SZ,TOTAL_MARKE_SZ..."
em_hjwh.csv,07e11c4709f094708378783918a3df648042203d21c248b924ce4a8b18f0c58d,223,https://data.eastmoney.com/cjsj/hjwh.html,2026-08-27 14:55:36,"字段: GOLD_RESERVES,GOLD_RESERVES_SAME,GOLD_RESERVES_SEQUENTIAL,FOREX,FOREX_SAME,FOREX_SEQUENTIAL"
em_banktransfer.csv,1c6058d0f4292727d64f871e33a8f58db977ace5ece025e9663c1b4eba5b0a1c,169,https://data.eastmoney.com/cjsj/banktransfer.html,2026-08-27 14:55:36,"字段: END_DATE,END_SETTLE_BALANCE,AVG_SETTLE_BALANCE,SETTLE_FUNDS_ADD,SETTLE_FUNDS_REDUCE,SETTLE_FUNDS_NET,END_SETTLE_BALANCE_QOQ,AVG_SETTLE_BALANCE_QOQ..."
em_fdi.csv,75d2203e6d5ba3f02df3ce86f05553effeeb1d9ad3fee53347e304b8e4224335,43,https://data.eastmoney.com/cjsj/fdi.html,2026-08-27 14:55:36,"字段: ACTUAL_FOREIGN,ACTUAL_FOREIGN_SAME"
em_czsr.csv,7ff23cc3875eba311c236d644a122b186877271fee57d6cac0d1bc4ccd9539fe,215,https://data.eastmoney.com/cjsj/czsr.html,2026-08-27 14:55:36,"字段: BASE,BASE_SAME,BASE_SEQUENTIAL,BASE_ACCUMULATE,ACCUMULATE_SAME"
em_qgsssr.csv,a9d471dcc8727180049c812a97252af23cd4da04f6193d56437e0559a73196c7,84,https://data.eastmoney.com/cjsj/qgsssr.html,2026-08-27 14:55:36,"字段: TAX_INCOME,TAX_INCOME_SAME,TAX_INCOME_SEQUENTIAL"
