date,time,NATIONAL_SAME,NATIONAL_BASE,NATIONAL_SEQUENTIAL,NATIONAL_ACCUMULATE,CITY_SAME,CITY_BASE,CITY_SEQUENTIAL,CITY_ACCUMULATE,RURAL_SAME,RURAL_BASE,RURAL_SEQUENTIAL,RURAL_ACCUMULATE
2026-07-01,2026年07月份,0.5,100.5,-0.1,100.9,0.5,100.5,-0.1,101,0.4,100.4,-0.2,100.7
2026-06-01,2026年06月份,1,101,-0.3,101,1,101,-0.4,101,0.8,100.8,-0.3,100.8
2026-05-01,2026年05月份,1.2,101.2,-0.1,101,1.3,101.3,-0.1,101,1.1,101.1,-0.1,100.8
2026-04-01,2026年04月份,1.2,101.2,0.3,100.9,1.2,101.2,0.3,101,1,101,0.1,100.7
2026-03-01,2026年03月份,1,101,-0.7,100.9,1.1,101.1,-0.7,100.9,0.9,100.9,-0.5,100.7
2026-02-01,2026年02月份,1.3,101.3,1,100.8,1.4,101.4,1,100.8,0.9,100.9,0.7,100.5
2026-01-01,2026年01月份,0.2,100.2,0.2,100.2,0.2,100.2,0.2,100.2,0.1,100.1,0.2,100.1
2025-12-01,2025年12月份,0.8,100.8,0.2,100,0.9,100.9,0.2,100.1,0.6,100.6,0.2,99.8
2025-11-01,2025年11月份,0.7,100.7,-0.1,100,0.7,100.7,-0.1,100,0.4,100.4,0,99.7
2025-10-01,2025年10月份,0.2,100.2,0.2,99.9,0.3,100.3,0.2,100,-0.2,99.8,0.1,99.7
2025-09-01,2025年09月份,-0.3,99.7,0.1,99.9,-0.2,99.8,0,99.9,-0.5,99.5,0.2,99.7
2025-08-01,2025年08月份,-0.4,99.6,0,99.9,-0.3,99.7,0,100,-0.6,99.4,0.1,99.7
2025-07-01,2025年07月份,0,100,0.4,99.9,0,100,0.4,100,-0.3,99.7,0.3,99.7
2025-06-01,2025年06月份,0.1,100.1,-0.1,99.9,0.1,100.1,-0.1,100,-0.2,99.8,0,99.7
2025-05-01,2025年05月份,-0.1,99.9,-0.2,99.9,0,100,-0.2,100,-0.4,99.6,-0.2,99.7
2025-04-01,2025年04月份,-0.1,99.9,0.1,99.9,0,100,0.2,100,-0.3,99.7,0,99.7
2025-03-01,2025年03月份,-0.1,99.9,-0.4,99.9,-0.1,99.9,-0.4,99.9,-0.3,99.7,-0.3,99.8
2025-02-01,2025年02月份,-0.7,99.3,-0.2,99.9,-0.7,99.3,-0.2,99.9,-0.7,99.3,-0.1,99.8
2025-01-01,2025年01月份,0.5,100.5,0.7,100.5,0.6,100.6,0.8,100.6,0.3,100.3,0.5,100.3
2024-12-01,2024年12月份,0.1,100.1,0,100.2,0.1,100.1,0,100.2,0,100,-0.1,100.3
2024-11-01,2024年11月份,0.2,100.2,-0.6,100.3,0.1,100.1,-0.6,100.2,0.2,100.2,-0.6,100.3
2024-10-01,2024年10月份,0.3,100.3,-0.3,100.3,0.2,100.2,-0.3,100.2,0.3,100.3,-0.3,100.3
2024-09-01,2024年09月份,0.4,100.4,0,100.3,0.4,100.4,-0.1,100.2,0.6,100.6,0.1,100.3
2024-08-01,2024年08月份,0.6,100.6,0.4,100.2,0.6,100.6,0.3,100.2,0.8,100.8,0.4,100.3
2024-07-01,2024年07月份,0.5,100.5,0.5,100.2,0.5,100.5,0.6,100.2,0.7,100.7,0.4,100.2
2024-06-01,2024年06月份,0.2,100.2,-0.2,100.1,0.2,100.2,-0.2,100.1,0.4,100.4,-0.2,100.2
2024-05-01,2024年05月份,0.3,100.3,-0.1,100.1,0.3,100.3,-0.1,100.1,0.4,100.4,-0.1,100.1
2024-04-01,2024年04月份,0.3,100.3,0.1,100.1,0.3,100.3,0.1,100.1,0.4,100.4,0,100
2024-03-01,2024年03月份,0.1,100.1,-1,100,0,100,-1,100,0.1,100.1,-0.7,99.9
2024-02-01,2024年02月份,0.7,100.7,1,100,0.8,100.8,1.1,100,0.5,100.5,0.9,99.8
2024-01-01,2024年01月份,-0.8,99.2,0.3,99.2,-0.8,99.2,0.3,99.2,-0.8,99.2,0.2,99.2
2023-12-01,2023年12月份,-0.3,99.7,0.1,100.2,-0.3,99.7,0.1,100.3,-0.5,99.5,0.1,100.1
2023-11-01,2023年11月份,-0.5,99.5,-0.5,100.3,-0.4,99.6,-0.5,100.3,-0.8,99.2,-0.4,100.1
2023-10-01,2023年10月份,-0.2,99.8,-0.1,100.4,-0.1,99.9,-0.1,100.4,-0.5,99.5,-0.1,100.2
2023-09-01,2023年09月份,0,100,0.2,100.4,0.1,100.1,0.2,100.5,-0.3,99.7,0.3,100.3
2023-08-01,2023年08月份,0.1,100.1,0.3,100.5,0.2,100.2,0.2,100.5,-0.2,99.8,0.4,100.3
2023-07-01,2023年07月份,-0.3,99.7,0.2,100.5,-0.2,99.8,0.3,100.6,-0.6,99.4,0,100.4
2023-06-01,2023年06月份,0,100,-0.2,100.7,0,100,-0.2,100.7,-0.1,99.9,-0.2,100.6
2023-05-01,2023年05月份,0.2,100.2,-0.2,100.8,0.2,100.2,-0.2,100.8,0.1,100.1,-0.2,100.8
2023-04-01,2023年04月份,0.1,100.1,-0.1,101,0.2,100.2,-0.1,101,0.1,100.1,-0.2,100.9
2023-03-01,2023年03月份,0.7,100.7,-0.3,101.3,0.7,100.7,-0.3,101.3,0.6,100.6,-0.3,101.2
2023-02-01,2023年02月份,1,101,-0.5,101.5,1,101,-0.5,101.6,1,101,-0.5,101.5
2023-01-01,2023年01月份,2.1,102.1,0.8,102.1,2.1,102.1,0.8,102.1,2.1,102.1,0.5,102.1
2022-12-01,2022年12月份,1.8,101.8,0,102,1.8,101.8,0,102,1.8,101.8,-0.2,102
2022-11-01,2022年11月份,1.6,101.6,-0.2,102,1.5,101.5,-0.2,102,1.7,101.7,-0.2,102
2022-10-01,2022年10月份,2.1,102.1,0.1,102,2,102,0,102,2.5,102.5,0.1,102
2022-09-01,2022年09月份,2.8,102.8,0.3,102,2.7,102.7,0.3,102,3.1,103.1,0.4,102
2022-08-01,2022年08月份,2.5,102.5,-0.1,101.9,2.4,102.4,-0.1,101.9,2.7,102.7,-0.1,101.8
2022-07-01,2022年07月份,2.7,102.7,0.5,101.8,2.6,102.6,0.4,101.9,3,103,0.5,101.7
2022-06-01,2022年06月份,2.5,102.5,0,101.7,2.5,102.5,0,101.7,2.6,102.6,0,101.5
