统计月末,发布日,社融存量(万亿元),存量同比(%),人民币贷款(万亿/同比%),外币贷款(万亿/同比%),委托贷款(万亿/同比%),信托贷款(万亿/同比%),未贴现银承(万亿/同比%),企业债券(万亿/同比%),政府债券(万亿/同比%),非金融企业股票(万亿/同比%),来源
2026-05,2026-06-15,458.81,7.7,277.4/5.5,1.14/-4.3,11.22/0.0,4.67/7.1,2.13/-6.2,35.69/8.4,100.6/15.1,12.43/4.7,中国人民银行《金融统计数据报告》(经上海金融办/中财协转载)
2026-01,2026-02-14,449.11,8.2,273.3/6.1,1.09/-12.1,11.3/0.2,4.67/7.0,2.78/6.7,34.69/6.1,95.9/17.3,12.23/3.9,中国人民银行《金融统计数据报告》(经上海金融办/中财协转载)
2025-12,2026-01-16,442.12,8.3,268.4/6.3,1.05/-18.0,11.35/1.3,4.67/8.6,2.15/-0.3,34.24/6.0,94.92/17.1,12.2/4.1,中国人民银行《金融统计数据报告》(经上海金融办/中财协转载)
