year,value,variable,country,unit,source_note
1970,17.863243605463076,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1971,10.029858886086297,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1972,14.489091886881766,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1973,21.758809796708256,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1974,19.32973149792616,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1975,10.490912801932016,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1976,12.301250208997397,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1977,11.435566204187598,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1978,10.118579758099669,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1979,8.386520433533162,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1980,8.408750122998953,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1981,7.405822149516239,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1982,4.899037807374618,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1983,4.12652447925097,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1984,6.663626329555994,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1985,6.613298800271106,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1986,4.6933902422049645,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1987,4.263554337185171,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1988,6.922926490080616,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1989,6.959081559855074,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1990,7.510431919335669,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1991,6.571273967834146,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1992,2.7758515728814714,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1993,0.9257342617850828,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1994,0.8159769077904055,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1995,0.8262945319253756,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1996,3.536586425815802,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1997,1.8659642217610408,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1998,-2.186991619465528,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1999,-0.6729998070208354,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2000,-0.934333310780988,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2001,-0.7400508978388065,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2002,-1.3425439191146915,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2003,-0.3901795127185914,nominal_gdp_yoy,jp,pct,ESRI 68SNA 名目GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
