variable_id,display_name,layer,aggregation,observed_start,observed_end,n_nonnull,n_null,coverage_rate,risk,NOT_APPLICABLE,NOT_RELEASED,SOURCE_GAP,COVERAGE_LOW,STALE_SOURCE,LEGACY_REGIME,RETROSPECTIVE_NOT_AVAILABLE,INSUFFICIENT_HISTORY,HISTORY_SNAPSHOT_ONLY,HANDOFF_TO_QUARTERLY,all_na_segments,major_structural_gaps
mkt.sh000001,mkt.sh000001,STATE,last_known,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
mkt.sz399001,mkt.sz399001,STATE,last_known,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
rate.cn10y,rate.cn10y,STATE,last_known,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
rate.cn2y,rate.cn2y,STATE,last_known,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
rate.cn30y,rate.cn30y,STATE,last_known,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
rate.cn5y,rate.cn5y,STATE,last_known,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
rate.fdr007_mean,FDR007月均,STATE,monthly_mean,2017-06,2025-12,103,120,46.2%,HIGH,112,0,7,1,0,0,0,0,0,0,"2008-01~2017-04(112个月,PRE_INCEPTION,NOT_APPLICABLE); 2017-05~2017-05(1个月,INTERNAL_GAP,COVERAGE_LOW); 2026-01~2026-07(7个月,POST_LAST_VALID,SOURCE_GAP)","2008-01~2017-04(112个月,PRE_INCEPTION,NOT_APPLICABLE)"
rate.fr007_mean,FR007月均,STATE,monthly_mean,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
rate.lpr1y,rate.lpr1y,STATE,last_known,2019-08,2026-07,84,139,37.7%,,139,0,0,0,0,0,0,0,0,0,"2008-01~2019-07(139个月,PRE_INCEPTION,NOT_APPLICABLE)","2008-01~2019-07(139个月,PRE_INCEPTION,NOT_APPLICABLE)"
rate.lpr5y,rate.lpr5y,STATE,last_known,2019-08,2026-07,84,139,37.7%,,139,0,0,0,0,0,0,0,0,0,"2008-01~2019-07(139个月,PRE_INCEPTION,NOT_APPLICABLE)","2008-01~2019-07(139个月,PRE_INCEPTION,NOT_APPLICABLE)"
