variable_id,source_file,source_rows,observed_rows,omitted_null_rows,filter_reason
cre.new_loan,em_xzxd.csv,223,0,223,merge附加源: 与主源重叠参考月/NA行不追加
cre.new_loan,new_financial_credit.csv,223,223,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
cre.tsf_flow,social_financing_flow.csv,136,136,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
cre.tsf_stock,social_financing_stock_full.csv,132,132,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
ext.fdi,em_fdi.csv,43,43,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
ext.forex_reserve,em_hjwh.csv,223,223,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
ext.gold_reserve_value,em_hjwh.csv,223,134,89,observed-only: NA/空值/解析失败/regime过滤行不写入长表
gold.au9999_q,sge_gold_quarterly_au9999.csv,32,32,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
gold.sge,gold_sge_canonical.csv,2506,2506,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
gov.fiscal_revenue,em_czsr.csv,215,207,8,observed-only: NA/空值/解析失败/regime过滤行不写入长表
gov.tax_revenue_cum,em_qgsssr.csv,84,84,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
gro.enterprise_boom,em_qyjqzs.csv,86,85,1,observed-only: NA/空值/解析失败/regime过滤行不写入长表
gro.export_yoy,em_hgjck.csv,223,24,199,merge附加源: 与主源重叠参考月/NA行不追加
gro.export_yoy,macro_exports_yoy.csv,512,512,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
gro.fai_official_cum,nbs_monthly_archive.csv,29,29,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
gro.fai_official_samom,manual_fai_sa_mom.csv,67,67,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
gro.gdp_abs,macro_gdp_quarterly.csv,82,82,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
gro.gdp_yoy,macro_gdp_quarterly.csv,82,82,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
gro.import_yoy,em_hgjck.csv,223,17,206,merge附加源: 与主源重叠参考月/NA行不追加
gro.import_yoy,macro_imports_yoy.csv,351,351,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
gro.ip_cum_yoy,macro_industrial_production.csv,204,204,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
gro.ip_yoy,macro_industrial_production.csv,204,192,12,observed-only: NA/空值/解析失败/regime过滤行不写入长表
gro.pmi,em_pmi.csv,223,0,223,merge附加源: 与主源重叠参考月/NA行不追加
gro.pmi,macro_pmi.csv,223,223,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
gro.pmi_composite,nbs_pmi_archive.csv,59,59,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
gro.pmi_employment,nbs_pmi_archive.csv,104,104,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
gro.pmi_new_orders,nbs_pmi_archive.csv,104,104,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
gro.pmi_nonmanufacturing,nbs_pmi_archive.csv,59,59,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
gro.pmi_production,nbs_pmi_archive.csv,104,104,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
gro.pmi_raw_material_inventory,nbs_pmi_archive.csv,104,104,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
gro.pmi_supplier_delivery,nbs_pmi_archive.csv,104,104,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
gro.retail_sa_mom,manual_retail_sa_mom.csv,60,60,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
gro.retail_yoy,macro_retail_sales.csv,208,193,15,observed-only: NA/空值/解析失败/regime过滤行不写入长表
hh.consumer_confidence,em_xfzxx.csv,234,234,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
