variable,value_available,na_reason,risk,layer
cre.new_loan,TRUE,,,STATE
cre.tsf_flow,TRUE,,,STATE
cre.tsf_stock,TRUE,,,STATE
ext.fdi,TRUE,,,STATE
ext.forex_reserve,TRUE,,,STATE
ext.gold_reserve_value,TRUE,,,STATE
gold.au9999_q,TRUE,,,STATE
gold.sge,TRUE,,,STATE
gov.fiscal_revenue,TRUE,,,STATE
gov.tax_revenue_cum,TRUE,,,STATE
gro.enterprise_boom,TRUE,,,STATE
gro.export_yoy,TRUE,,,STATE
gro.fai_official_cum,TRUE,,,STATE
gro.gdp_abs,TRUE,,,STATE
gro.gdp_yoy,TRUE,,,STATE
gro.import_yoy,TRUE,,,STATE
gro.ip_cum_yoy,TRUE,,,STATE
gro.ip_yoy,TRUE,,,STATE
gro.pmi,TRUE,,,STATE
gro.pmi_composite,TRUE,,,STATE
gro.pmi_employment,TRUE,,,STATE
gro.pmi_new_orders,TRUE,,,STATE
gro.pmi_nonmanufacturing,TRUE,,,STATE
gro.pmi_production,TRUE,,,STATE
gro.pmi_raw_material_inventory,TRUE,,,STATE
gro.pmi_supplier_delivery,TRUE,,,STATE
gro.retail_yoy,TRUE,,,STATE
hh.consumer_confidence,TRUE,,,STATE
hh.consumer_satisfaction,TRUE,,,STATE
hh.deposit,TRUE,,,STATE
hh.deposit_hist,FALSE,SOURCE_GAP,HIGH,STATE
hh.income_annual,FALSE,HANDOFF_TO_QUARTERLY,,STATE
hh.income_quarterly,TRUE,,,STATE
inf.cpi_core,TRUE,,,STATE
inf.cpi_yoy,TRUE,,,STATE
inf.enterprise_goods,TRUE,,,STATE
inf.ppi_yoy,TRUE,,,STATE
inf.ppirm,TRUE,,,STATE
liq.afre_stock_yoy_official,TRUE,,,STATE
liq.cbb,TRUE,,,STATE
liq.fx_loans_change,TRUE,,,STATE
liq.m0_yoy,TRUE,,,STATE
liq.m1_yoy,TRUE,,,STATE
liq.m2_yoy,TRUE,,,STATE
liq.money_detail,TRUE,,,STATE
liq.total_deposits_change,TRUE,,,STATE
mar.market_balance,TRUE,,,STATE
mar.stock_turnover,TRUE,,,STATE
mar.sz_monthly,TRUE,,,STATE
mkt.000985,TRUE,,,STATE
mkt.hs300_510300,TRUE,,,STATE
mkt.hs300_price,TRUE,,,STATE
mkt.hs300_tri,TRUE,,,STATE
mkt.hs300_volume,TRUE,,,STATE
mkt.sh000001,TRUE,,,STATE
mkt.sz399001,TRUE,,,STATE
rate.cn10y,TRUE,,,STATE
rate.cn2y,TRUE,,,STATE
rate.cn30y,TRUE,,,STATE
rate.cn5y,TRUE,,,STATE
rate.fdr007_mean,FALSE,SOURCE_GAP,HIGH,STATE
rate.fr007_mean,TRUE,,,STATE
rate.lpr1y,TRUE,,,STATE
rate.lpr5y,TRUE,,,STATE
rate.policy7d,TRUE,,,STATE
rate.rrr_announced,TRUE,,,STATE
rate.rrr_effective,TRUE,,,STATE
rate.shibor3m_mean,TRUE,,,STATE
rate.shibor_on_mean,TRUE,,,STATE
rate.us10y,TRUE,,,STATE
val.pb,TRUE,,,STATE
val.pe_median,TRUE,,,STATE
val.pe_static,TRUE,,,STATE
val.pe_ttm,TRUE,,,STATE
afre_yoy,TRUE,,,FEATURE
delta_pmi,TRUE,,,FEATURE
ey,TRUE,,,FEATURE
eyg,TRUE,,,FEATURE
fr007_p90,TRUE,,,FEATURE
fr007_vol,TRUE,,,FEATURE
loans_12m,TRUE,,,FEATURE
m1_m2_gap,TRUE,,,FEATURE
pmi_gap,TRUE,,,FEATURE
term_spread,TRUE,,,FEATURE
