year,value
1978,-2.2695207312997008
1980,4.77841841056893
1985,6.381438248155762
1990,0.28304652341116876
1995,14.23288844996139
1996,5.389308484505027
1997,-0.1545384496199027
1998,-3.624738282964145
1999,-4.309879930742541
2000,-2.615450021039426
2001,-2.044498179940589
2002,-3.5753597580265724
2003,-1.6560163321730874
2004,0.8922173191217286
2005,-1.1612019875872566
2006,-1.5071099198334963
2007,1.79907307453044
2008,3.1489130333192574
2009,-3.0853826057352243
2010,0.28949423870236846
2011,2.5183439968980417
2012,-0.22111818781842718
2013,-0.2363140444330769
2014,-0.8660863903513194
2015,-1.4616760679466445
2016,-0.8256352976905221
2017,-1.2957839850423638
2018,-0.7786979902542766
2019,0.08604725124583235
2020,1.2587654233041747
2021,-1.3419719701808503
2022,0.08320654687668183
2023,-2.6330783841700827
2024,-2.6374139553475597
2025,-2.839688528403724
