dataset,decision_month,feature,na_reason
baseline_2008_monthly,2008-03,gro.retail_yoy,
baseline_2008_monthly,2008-03,gro.gdp_yoy,
baseline_2008_monthly,2008-03,inf.cpi_yoy,
baseline_2008_monthly,2008-03,inf.ppi_yoy,
baseline_2008_monthly,2008-03,liq.m2_yoy,
baseline_2008_monthly,2008-04,ey,
baseline_2008_monthly,2008-04,eyg,
baseline_2008_monthly,2008-04,term_spread,
baseline_2008_monthly,2008-04,pmi_gap,
baseline_2008_monthly,2008-04,delta_pmi,
baseline_2008_monthly,2008-04,loans_12m,INSUFFICIENT_HISTORY
baseline_2008_monthly,2008-04,val.pb,
baseline_2008_monthly,2008-04,rate.fr007_mean,
baseline_2008_monthly,2008-04,gro.ip_yoy,
baseline_2008_monthly,2008-04,gro.retail_yoy,
baseline_2008_monthly,2008-04,gro.gdp_yoy,
baseline_2008_monthly,2008-04,inf.cpi_yoy,
baseline_2008_monthly,2008-04,inf.ppi_yoy,
baseline_2008_monthly,2008-04,liq.m2_yoy,
baseline_2008_monthly,2008-05,ey,
baseline_2008_monthly,2008-05,eyg,
baseline_2008_monthly,2008-05,term_spread,
baseline_2008_monthly,2008-05,pmi_gap,
baseline_2008_monthly,2008-05,delta_pmi,
baseline_2008_monthly,2008-05,loans_12m,INSUFFICIENT_HISTORY
baseline_2008_monthly,2008-05,val.pb,
baseline_2008_monthly,2008-05,rate.fr007_mean,
baseline_2008_monthly,2008-05,gro.ip_yoy,
baseline_2008_monthly,2008-05,gro.retail_yoy,
baseline_2008_monthly,2008-05,gro.gdp_yoy,
baseline_2008_monthly,2008-05,inf.cpi_yoy,
baseline_2008_monthly,2008-05,inf.ppi_yoy,
baseline_2008_monthly,2008-05,liq.m2_yoy,
baseline_2008_monthly,2008-06,ey,
baseline_2008_monthly,2008-06,eyg,
baseline_2008_monthly,2008-06,term_spread,
baseline_2008_monthly,2008-06,pmi_gap,
baseline_2008_monthly,2008-06,delta_pmi,
baseline_2008_monthly,2008-06,loans_12m,INSUFFICIENT_HISTORY
baseline_2008_monthly,2008-06,val.pb,
baseline_2008_monthly,2008-06,rate.fr007_mean,
baseline_2008_monthly,2008-06,gro.ip_yoy,
baseline_2008_monthly,2008-06,gro.retail_yoy,
baseline_2008_monthly,2008-06,gro.gdp_yoy,
baseline_2008_monthly,2008-06,inf.cpi_yoy,
baseline_2008_monthly,2008-06,inf.ppi_yoy,
baseline_2008_monthly,2008-06,liq.m2_yoy,
baseline_2008_monthly,2008-07,ey,
baseline_2008_monthly,2008-07,eyg,
baseline_2008_monthly,2008-07,term_spread,
baseline_2008_monthly,2008-07,pmi_gap,
baseline_2008_monthly,2008-07,delta_pmi,
baseline_2008_monthly,2008-07,loans_12m,INSUFFICIENT_HISTORY
baseline_2008_monthly,2008-07,val.pb,
baseline_2008_monthly,2008-07,rate.fr007_mean,
baseline_2008_monthly,2008-07,gro.ip_yoy,
baseline_2008_monthly,2008-07,gro.retail_yoy,
baseline_2008_monthly,2008-07,gro.gdp_yoy,
baseline_2008_monthly,2008-07,inf.cpi_yoy,
baseline_2008_monthly,2008-07,inf.ppi_yoy,
baseline_2008_monthly,2008-07,liq.m2_yoy,
baseline_2008_monthly,2008-08,ey,
baseline_2008_monthly,2008-08,eyg,
baseline_2008_monthly,2008-08,term_spread,
baseline_2008_monthly,2008-08,pmi_gap,
baseline_2008_monthly,2008-08,delta_pmi,
baseline_2008_monthly,2008-08,loans_12m,INSUFFICIENT_HISTORY
baseline_2008_monthly,2008-08,val.pb,
baseline_2008_monthly,2008-08,rate.fr007_mean,
baseline_2008_monthly,2008-08,gro.ip_yoy,
baseline_2008_monthly,2008-08,gro.retail_yoy,
baseline_2008_monthly,2008-08,gro.gdp_yoy,
baseline_2008_monthly,2008-08,inf.cpi_yoy,
baseline_2008_monthly,2008-08,inf.ppi_yoy,
baseline_2008_monthly,2008-08,liq.m2_yoy,
baseline_2008_monthly,2008-09,ey,
baseline_2008_monthly,2008-09,eyg,
baseline_2008_monthly,2008-09,term_spread,
