decision_month,decision_date,ey,eyg,term_spread,pmi_gap,delta_pmi,loans_12m,val.pb,rate.fr007_mean,gro.ip_yoy,gro.retail_yoy,gro.gdp_yoy,inf.cpi_yoy,inf.ppi_yoy,liq.m2_yoy,mkt.hs300_tri,mkt.hs300_price
2016-10,2016-10-31,8.278145695364238,5.535645695364238,0.4918,0.3999999999999986,0.0,122725.726585,1.43,2.639444,6.1,10.7,6.8,1.9,0.1,11.5,3989.45,3336.278
2016-11,2016-11-30,7.8431372549019605,4.892937254901961,0.5254000000000003,1.2000000000000028,0.8000000000000043,123162.301521,1.51,2.674545,6.1,10.0,6.8,2.1,1.2,11.6,4230.92,3538.001
2016-12,2016-12-30,8.123476848090982,5.111976848090983,0.3072999999999997,1.7000000000000028,0.5,122752.661136,1.46,2.748182,6.2,10.8,6.8,2.3,3.3,11.4,3958.53,3310.081
2017-01,2017-01-26,7.82472613458529,4.47822613458529,0.5728,1.3999999999999986,-0.30000000000000426,124372.365885,1.5,2.569474,6.0,10.9,6.8,2.1,5.5,11.3,4051.67,3387.961
2017-02,2017-02-28,7.710100231303007,4.418000231303006,0.4592999999999998,1.2999999999999972,-0.10000000000000142,122135.150445,1.53,2.907368,6.0,10.9,6.8,2.5,6.9,10.7032,4129.22,3452.81
2017-03,2017-03-31,7.782101167315175,4.499301167315175,0.35199999999999987,1.6000000000000014,0.30000000000000426,124347.026386,1.51,3.408696,6.0,10.9,6.8,0.8,7.8,10.45,4134.15,3456.046
2017-04,2017-04-28,7.880220646178094,4.413420646178094,0.2520000000000002,1.7999999999999972,0.19999999999999574,122757.520866,1.48,3.305789,7.6,10.9,7.0,0.9,7.6,10.1178,4115.46,3439.753
2017-05,2017-05-31,7.782101167315175,4.171901167315175,0.049599999999999866,1.2000000000000028,-0.5999999999999943,127921.156207,1.5,3.339048,6.5,10.7,7.0,1.2,6.4,9.8426,4188.8,3492.885
2017-06,2017-06-30,7.468259895444361,3.8999598954443613,0.07429999999999959,1.2000000000000028,0.0,130327.247479,1.58,3.371364,6.5,10.7,7.0,1.5,5.5,9.1289,4423.11,3666.798
2017-07,2017-07-31,7.25689404934688,3.6308940493468804,0.1621999999999999,1.7000000000000028,0.5,131660.494279,1.65,3.247143,7.6,11.0,7.0,1.5,5.5,9.1013,4546.76,3737.873
2017-08,2017-08-31,7.204610951008645,3.578110951008645,0.14700000000000024,1.3999999999999986,-0.30000000000000426,136261.831125,1.65,3.540435,6.4,10.4,7.0,1.4,5.5,8.89,4659.23,3822.093
2017-09,2017-09-29,7.230657989877079,3.617057989877079,0.08740000000000014,1.7000000000000028,0.30000000000000426,139758.787889,1.65,3.387143,6.0,10.1,7.0,1.8,6.3,8.5633,4680.95,3836.501
2017-10,2017-10-31,7.225433526011561,3.333733526011561,0.26510000000000034,2.3999999999999986,0.6999999999999957,139015.567959,1.65,3.225294,6.6,10.3,6.9,1.6,6.9,8.976,4889.01,4006.718
2017-11,2017-11-30,7.24112961622013,3.35102961622013,0.19419999999999993,1.6000000000000014,-0.7999999999999972,139640.486773,1.64,3.297273,6.2,10.0,6.9,1.9,6.9,8.8771,4888.3,4006.099
2017-12,2017-12-29,7.117437722419928,3.236737722419928,0.09600000000000009,1.7999999999999972,0.19999999999999574,142605.686048,1.66,3.367619,6.1,10.2,6.9,1.7,5.8,9.1148,4918.52,4030.855
2018-01,2018-01-31,6.583278472679394,2.669278472679394,0.3851,1.6000000000000014,-0.19999999999999574,138432.388676,1.79,3.101818,6.2,9.4,6.9,1.8,4.9,8.0654,5218.37,4275.899
2018-02,2018-02-28,7.0821529745042495,3.2619529745042497,0.4697999999999998,1.2999999999999972,-0.30000000000000426,142149.788526,1.67,2.938235,6.2,9.4,6.9,1.5,4.3,8.6,4910.53,4023.642
2018-03,2018-03-30,7.479431563201197,3.738731563201197,0.31899999999999995,0.29999999999999716,-1.0,142031.95611600002,1.59,3.068636,6.2,9.4,6.9,2.9,3.7,8.8,4757.89,3898.498
2018-04,2018-04-27,7.849293563579278,4.212893563579278,0.5326,1.5,1.2000000000000028,141870.468186,1.52,3.103684,6.0,10.1,6.9,2.1,3.1,8.2,4585.66,3756.877
2018-05,2018-05-31,7.96812749003984,4.35522749003984,0.3454999999999999,1.3999999999999986,-0.10000000000000142,142052.130666,1.5,2.974091,7.0,9.4,6.9,1.8,3.4,8.3,4652.62,3802.376
2018-06,2018-06-29,8.46740050804403,4.9918005080440295,0.21879999999999988,1.8999999999999986,0.5,141667.955276,1.44,3.022000,6.8,8.5,6.9,1.8,4.1,8.3,4327.29,3510.985
2018-07,2018-07-31,8.382229673093043,4.901029673093044,0.5568999999999997,1.5,-0.3999999999999986,143980.942846,1.49,2.675909,6.0,9.0,6.9,1.9,4.7,8.0,4371.37,3517.657
2018-08,2018-08-31,9.017132551848512,5.442032551848512,0.5032999999999999,1.2000000000000028,-0.29999999999999716,147690.534893,1.39,2.547391,6.0,8.8,6.9,2.1,4.6,8.5,4153.82,3334.504
2018-09,2018-09-28,8.635578583765112,5.020278583765112,0.42559999999999976,1.2999999999999972,0.09999999999999432,149364.380633,1.45,2.642105,6.1,9.0,6.9,2.3,4.1,8.2,4287.99,3438.865
2018-10,2018-10-31,9.433962264150944,5.9253622641509445,0.5670999999999999,0.7999999999999972,-0.5,151820.536153,1.29,2.633333,5.8,9.2,6.8,2.5,3.6,8.3,3933.69,3153.823
