decision_month,decision_date,ey,eyg,term_spread,pmi_gap,delta_pmi,m1_m2_gap,afre_yoy,loans_12m,fr007_p90,fr007_vol,mkt.hs300_tri,mkt.hs300_price
2018-01,2018-01-31,6.583278472679394,2.669278472679394,0.3851,1.6000000000000014,-0.19999999999999574,3.7346000000000004,,138432.388676,3.4450000000000003,0.24114086702365023,5218.37,4275.899
2018-02,2018-02-28,7.0821529745042495,3.2619529745042497,0.4697999999999998,1.2999999999999972,-0.30000000000000426,6.4,,142149.788526,3.196,0.21726237864957337,4910.53,4023.642
2018-03,2018-03-30,7.479431563201197,3.738731563201197,0.31899999999999995,0.29999999999999716,-1.0,-0.3000000000000007,,142031.95611600002,3.3,0.17787891693764354,4757.89,3898.498
2018-04,2018-04-27,7.849293563579278,4.212893563579278,0.5326,1.5,1.2000000000000028,-1.0999999999999996,,141870.468186,3.54,0.3521081040803582,4585.66,3756.877
2018-05,2018-05-31,7.96812749003984,4.35522749003984,0.3454999999999999,1.3999999999999986,-0.10000000000000142,-1.1000000000000005,,142052.130666,3.5260000000000002,0.3599558053680782,4652.62,3802.376
2018-06,2018-06-29,8.46740050804403,4.9918005080440295,0.21879999999999988,1.8999999999999986,0.5,-2.3000000000000007,,141667.955276,3.2200000000000006,0.25440539550716673,4327.29,3510.985
2018-07,2018-07-31,8.382229673093043,4.901029673093044,0.5568999999999997,1.5,-0.3999999999999986,-1.4000000000000004,,143980.942846,2.795,0.08092672116880927,4371.37,3517.657
2018-08,2018-08-31,9.017132551848512,5.442032551848512,0.5032999999999999,1.2000000000000028,-0.29999999999999716,-3.4000000000000004,,147690.534893,2.7,0.1578324022299474,4153.82,3334.504
2018-09,2018-09-28,8.635578583765112,5.020278583765112,0.42559999999999976,1.2999999999999972,0.09999999999999432,-4.299999999999999,,149364.380633,2.7,0.07835665946089937,4287.99,3438.865
2018-10,2018-10-31,9.433962264150944,5.9253622641509445,0.5670999999999999,0.7999999999999972,-0.5,-4.300000000000001,,151820.536153,2.65,0.04144450577366708,3933.69,3153.823
2018-11,2018-11-30,9.578544061302683,6.2235440613026825,0.6585000000000001,0.20000000000000284,-0.5999999999999943,-5.3,,152326.569349,2.745,0.060674420321790316,3957.62,3172.69
2018-12,2018-12-28,9.910802775024777,6.679302775024777,0.5091000000000001,0.0,-0.20000000000000284,-6.5,,153200.436969,2.874000000000001,0.5559449045023304,3755.91,3010.654
2019-01,2019-01-31,9.31098696461825,6.20728696461825,0.5074999999999998,-0.6000000000000014,-0.6000000000000014,-6.6,,156712.410745,2.6780000000000004,0.11740797261954596,3994.17,3201.633
2019-02,2019-02-28,8.291873963515755,5.118773963515755,0.5695999999999999,-0.5,0.10000000000000142,-8.0,,165530.515645,2.85,0.23832596313847634,4578.89,3669.37
2019-03,2019-03-29,8.0,4.9317,0.48309999999999986,-0.7999999999999972,-0.29999999999999716,-6.4,,162971.671667,3.13,0.30008808230727374,4832.43,3872.341
2019-04,2019-04-30,8.14995925020375,4.76305925020375,0.4950999999999999,0.5,1.2999999999999972,-4.0,,171131.498847,2.995,0.22934548316753628,4886.12,3913.211
2019-05,2019-05-31,8.710801393728223,5.435701393728223,0.4596,0.10000000000000142,-0.3999999999999986,-5.6,,168876.975811,2.81,0.19756373293554816,4549.72,3629.789
2019-06,2019-06-28,8.183306055646481,4.957906055646481,0.3770000000000002,-0.6000000000000014,-0.7000000000000028,-5.1,,169336.251001,2.606,0.10202625507753485,4825.33,3825.587
2019-07,2019-07-31,8.237232289950576,5.082032289950576,0.39749999999999996,-0.6000000000000014,0.0,-4.1,,169285.808951,2.89,0.27641550896582834,4876.7,3835.359
2019-08,2019-08-30,8.547008547008547,5.489708547008547,0.3560000000000003,-0.29999999999999716,0.30000000000000426,-5.0,,164510.729802,2.9,0.12583917448671472,4842.95,3799.586
2019-09,2019-09-30,8.532423208191126,5.391323208191126,0.42079999999999984,-0.5,-0.20000000000000284,-4.799999999999999,,164415.913082,2.76,0.18025378933999853,4866.13,3814.528
2019-10,2019-10-31,8.56898029134533,5.28098029134533,0.5215999999999998,-0.20000000000000284,0.29999999999999716,-5.0,,167687.354542,2.95,0.13870326777415187,4959.07,3886.752
2019-11,2019-11-29,8.726003490401396,5.561003490401396,0.4832000000000001,-0.7000000000000028,-0.5,-5.1000000000000005,,166015.710465,2.79,0.13223536015828175,4885.38,3828.671
2019-12,2019-12-31,8.130081300813007,4.993581300813007,0.6580999999999997,0.20000000000000284,0.9000000000000057,-4.699999999999999,,167346.554765,2.696,0.175301842348379,5227.73,4096.582
2020-01,2020-01-23,8.361204013377925,5.368004013377925,0.5139,0.20000000000000284,0.0,-4.299999999999999,,168834.906151,2.762,0.17154574077041546,5109.45,4003.901
2020-02,2020-02-28,8.64304235090752,5.905442350907519,0.48309999999999986,0.0,-0.20000000000000284,-8.4,10.7,168090.546621,2.41,0.09539254080956891,5027.97,3940.049
2020-03,2020-03-31,9.216589861751153,6.626689861751153,0.6846000000000001,-14.299999999999997,-14.299999999999997,-4.000000000000001,10.7,167651.904759,2.24,0.25260889812367143,4703.97,3686.155
2020-04,2020-04-30,8.496176720475786,5.958176720475786,1.1654999999999998,2.0,16.299999999999997,-5.1,11.5,178457.509229,1.7,0.1697489870800961,4994.07,3912.577
2020-05,2020-05-29,8.620689655172415,5.915389655172415,0.8507999999999998,0.7999999999999972,-1.2000000000000028,-5.6,12.0,185963.681725,2.042,0.2878911018939411,4950.61,3867.023
2020-06,2020-06-30,8.077544426494345,5.254544426494345,0.5783999999999998,0.6000000000000014,-0.19999999999999574,-4.3,12.5,189610.222965,2.3,0.3059886396895277,5370.27,4163.964
2020-07,2020-07-31,7.315288953913679,4.348888953913679,0.49680000000000035,0.8999999999999986,0.29999999999999716,-4.6,12.8,191902.32313499998,2.35,0.15441461562231262,6098.73,4695.046
2020-08,2020-08-31,6.920415224913495,3.902715224913495,0.2402000000000002,1.1000000000000014,0.20000000000000284,-3.799999999999999,12.9,194037.250234,2.5,0.1444463980331871,6266.43,4816.215
2020-09,2020-09-30,7.209805335255949,4.0616053352559485,0.3557999999999999,1.0,-0.10000000000000142,-2.4000000000000004,13.3,195193.068244,2.498,0.15880204895084996,5972.42,4587.395
2020-10,2020-10-30,7.183908045977011,4.002908045977011,0.3073999999999999,1.5,0.5,-2.8000000000000007,13.5,196751.627544,3.06,0.39533579472169633,6114.3,4695.334
2020-11,2020-11-30,6.798096532970768,3.548096532970768,0.2763,1.3999999999999986,-0.10000000000000142,-1.4000000000000004,13.7,197944.98901,3.1,0.3408455871589279,6462.76,4960.252
2020-12,2020-12-31,6.385696040868455,3.2427960408684546,0.4203000000000001,2.1000000000000014,0.7000000000000028,-0.6999999999999993,13.6,199620.81577,2.6,0.27490494224863854,6790.39,5211.289
2021-01,2021-01-29,6.269592476489028,3.090992476489028,0.35799999999999965,1.8999999999999986,-0.20000000000000284,-1.5,13.3,200309.0,3.109,0.4514694665609648,6973.69,5351.965
