year,real_gdp_yoy,iip_yoy,investment_gdp
1978,,,0.1748679746791178
1979,,,-0.3497359493582338
1980,,,-0.6744907594765952
1981,,,-1.2490569619936935
1982,,,-1.398943797432937
1983,,,-1.1741135442740729
1984,,,-0.8243775949158371
1985,,,0.1498868354392435
1986,,,0.0
1987,,,-0.2997736708784871
1988,,,-0.1249056961993693
1989,,,-0.2248302531588644
1990,,,-0.649509620236721
1991,,,-0.6744907594765952
1992,,,-0.2248302531588644
1993,,,1.2740381012335678
1994,,,0.7494341771962162
1995,,,0.6994718987164676
1996,,,0.3247548101183596
1997,,,-0.1998491139189902
1998,,,-0.3247548101183596
1999,,-0.1752737008384653,-0.3247548101183596
2000,-1.0117361392148914,0.3380278516170413,-0.5495850632772259
2001,-1.0960474841494654,0.0,-0.2557263239332741
2002,-0.4215567246728716,0.5665096402100412,0.0801723807281052
2003,0.3372453797382976,1.3114228687735203,0.8654702257365031
2004,0.4215567246728716,1.2316107371417189,1.3673007676369875
2005,1.4332928638877644,1.1658830993272935,1.0093893002495486
2006,2.613651692971804,1.3331898137640112,1.0585127778312693
2007,3.878321866990419,1.4595234552774512,1.027786429423648
2008,0.0,0.554701428221736,1.5681545127869352
2009,-0.3372453797382976,0.4960871711231577,2.411810173823242
2010,0.6744907594765952,0.8748035604348423,2.6386481249139915
2011,-0.2529340348037221,0.7793419912281784,2.701621743953839
2012,-1.601915553756912,0.0641626940569383,2.5634878564084698
2013,,-0.0018494789861194,
2014,,-0.2698816643592278,
2015,,-0.6813196049638083,
2016,,-0.6744907594765952,
2017,,-0.5908374022582368,
2018,,-0.6608330685021692,
2019,,-0.7393647916051179,
2020,,-1.188361382389369,
2021,,-0.5543030789016478,
2022,,-1.2660394998064166,
2023,,-0.9582672275007776,
