year,wage_yoy,unemployment,tfr,birth_rate
1990,-0.0517059250181426,-0.4511494483916294,-0.3322118666078754,-0.5743188645048236
1991,0.0517059250181426,-0.460083100835028,-0.3523459191295648,-0.5809969908362751
1992,0.0875139397277281,-0.3975475337312379,-0.4127480766946331,-0.5876751171677265
1993,0.0915269397617643,-0.0223341311084962,-0.4932842867813908,-0.6010313698306294
1994,0.1575869010283592,0.3975475337312379,-0.4127480766946331,-0.5743188645048236
1995,0.2650113791256509,0.6744907594765953,-0.5738204968681485,-0.6010313698306294
1996,0.3480496773635537,0.9067657230049592,-0.5536864443464591,-0.5943532434991781
1997,0.4468306801633372,0.9425003327785536,-0.6342226544332168,-0.6077094961620808
1998,0.4063918802127551,1.6929271380240376,-0.6543567069549062,-0.6010313698306294
1999,0.3733623180491159,2.300415504175143,-0.7348929170416635,-0.6143876224935323
2000,0.4440526305881729,2.3718847237223315,-0.6946248119982846,-0.6077094961620808
2001,0.442817463145034,2.70242986412808,-0.7550269695633529,-0.6210657488249837
2002,0.3999095372205203,3.041908656977227,-0.7751610220850423,-0.6277438751564353
2003,0.4888127032212219,2.9168375227696464,-0.8355631796501106,-0.6477782541507895
2004,0.5567245012188275,2.3718847237223315,-0.8355631796501106,-0.6544563804822409
2005,0.5857419312855002,2.041339583316583,-0.8959653372151789,-0.6811688858080467
2006,0.63111929316147,1.7107944429108335,-0.7751610220850423,-0.6611345068136923
2007,0.6193891236673377,1.4070502598352816,-0.7348929170416635,-0.6678126331451438
2008,0.6215501009838481,1.5678560038164562,-0.6744907594765952,-0.6611345068136923
2009,0.3360103982816733,2.7381644739016746,-0.6744907594765952,-0.6744907594765952
2010,0.4810956267543829,2.7202971690148767,-0.6342226544332168,-0.6744907594765952
2011,0.5607378732258933,2.2110789797411563,-0.6342226544332168,-0.6878470121394981
2012,0.5341903130792114,1.9341357539958,-0.5939545493898379,-0.6945251384709495
2013,0.5292513481830418,1.594656961146652,-0.5536864443464591,-0.6945251384709495
2014,0.5990156338644598,1.139040686533323,-0.5738204968681485,-0.7078813911338524
2015,0.6054982248387144,0.915699375448358,-0.5134183393030802,-0.7078813911338524
2016,0.6317367993886583,0.6298224972596019,-0.5335523918247697,-0.7212376437967553
2017,0.678658066322485,0.3171446617406507,-0.5536864443464591,-0.7345938964596582
2018,0.7354567670846119,-0.0938033506556853,-0.5738204968681485,-0.747950149122561
2019,0.7425569572793123,-0.174206222646273,-0.6946248119982846,-0.7746626544483668
2020,0.5891370531193181,0.299277356853854,-0.7550269695633529,-0.7880189071112697
2021,0.6703234526307053,0.3171446617406507,-0.8154291271284212,-0.8013751597741725
2022,0.7283572588404662,0.0759360457688886,-0.8959653372151789,-0.8214095387685267
2023,0.8206557946570052,0.0491350884386928,-1.0167696523453156,-0.8414439177628812
2024,0.9209802685461114,0.0223341311084966,-1.1174399149537626,-0.8614782967572355
2025,1.0994040447791975,0.0044668262216995,,
2026,0.3233542639254072,0.0670023933254895,,
