year,wage_yoy,unemployment,tfr,birth_rate
1899,,,,0.8948689284144924
1900,,,,0.921581433740298
1901,,,,1.0217533287120697
1902,,,,1.0017189497177157
1903,,,,0.9416158127346528
1904,,,,0.8414439177628809
1905,,,,0.8414439177628809
1906,,,,0.734593896459658
1907,,,,1.0284314550435212
1908,,,,1.0751783393636811
1909,,,,1.088534592026584
1910,,,,1.0818564656951324
1911,,,,1.101890844689487
1912,,,,1.055143960369327
1913,,,,1.0484658340378754
1914,,,,1.0818564656951324
1915,,,,1.0351095813749729
1916,,,,1.0083970760491672
1917,,,,0.995040823386264
1918,,,,0.9416158127346528
1919,,,,0.9149033074088466
1920,,,,1.175350234335453
1921,,,,1.101890844689487
1922,,,,1.0484658340378754
1923,,,,1.1085689710209383
1924,,,,1.0217533287120697
1925,,,,1.088534592026584
1926,,,,1.06850021303223
1927,,,,0.9883626970548124
1928,,,,1.0351095813749729
1929,,,,0.9416158127346528
1930,,,,0.921581433740298
1931,,,,0.901547054745944
1932,,,,0.9549720653975552
1933,,,,0.8614782967572353
1934,,,,0.7546282754540122
1935,,,,0.8681564230886868
1936,,,,0.7613064017854637
1937,,,,0.8214095387685265
1938,,,,0.5743188645048234
1939,,,,0.5342501065161149
1940,,,,0.721237643796755
1941,,,,0.8815126757515896
1942,,,,0.8214095387685265
1943,,,,0.8214095387685265
1947,,,5.708003889898948,1.0484658340378754
1948,,,5.426127154595297,0.995040823386264
1949,,,5.265054734421781,0.9616501917290068
1950,,,3.91607321546859,0.6344220014878865
1951,,,3.130845167122703,0.4474344642072462
1952,,,2.5670916965154,0.3205500639096688
1953,,,1.9832041733864068,0.1936656636120916
1954,,,1.5603890704309291,0.09349376864032
1955,-2.972542952057301,-0.004466826221699,1.338914492692346,0.0534250106516113
1956,-2.959269227779915,-0.2367417897500625,1.036903704867005,-0.013356252662903
1957,-2.952478020082177,-0.6387561497030003,0.6744907594765952,-0.0934937686403202
1958,-2.947538959092974,-0.4868840581652237,0.8154291271284207,-0.0400687579887087
1959,-2.9333391490622187,-0.3350119666274479,0.6744907594765952,-0.0734593896459659
1960,-2.919448039448878,-0.9693012901087492,0.5939545493898375,-0.0934937686403202
1961,-2.8990744070563403,-1.1569079914201197,0.5134183393030798,-0.1135281476346746
1962,-2.879626854217619,-1.3177137354012949,0.5536864443464586,-0.106850021303223
1963,-2.855240227990594,-1.353448345174889,0.5939545493898375,-0.0868156423088687
1964,-2.829001492252337,-1.451718522052274,0.6946248119982842,-0.060103136983063
1965,-2.805232251361266,-1.380249302505085,0.8758312846934895,0.0
1966,-2.769732760381907,-1.2909127780710987,-0.2516756565211176,-0.3272281902411205
1967,-2.7240464408071765,-1.3623819976182878,1.057037757388694,0.0534250106516113
1968,-2.6647777027371955,-1.4427848696088752,0.8556972321717996,0.0
1969,-2.591000426321067,-1.487453131825868,0.8556972321717996,-0.0066781263314515
1970,-2.4974670020411613,-1.4427848696088752,0.8556972321717996,0.0133562526629028
1971,-2.414120400157074,-1.380249302505085,0.9160993897368684,0.0400687579887084
1972,-2.3036089178856343,-1.1926426011937143,0.8758312846934895,0.04674688432016
1973,-2.113763740770886,-1.3623819976182878,0.8758312846934895,0.0534250106516113
1974,-1.8516848420232632,-1.2015762536371128,0.6946248119982842,0.0
1975,-1.706908568149539,-0.6744907594765951,0.4127480766946326,-0.1001718949717715
1976,-1.5355848271223906,-0.5494196252690142,0.2919437615644965,-0.1535969056233831
1977,-1.400378055403813,-0.5494196252690142,0.1912734989560493,-0.2070219162749946
1978,-1.2975838975812306,-0.3082110092972517,0.1711394464343599,-0.2470906742637032
1979,-1.1663900948989367,-0.469016753278427,0.130871341390981,-0.2938375585838633
1980,-1.0216138830207175,-0.5404859728256157,0.0906032363476022,-0.3339063165725719
1981,-0.90492854738974,-0.3350119666274479,0.0704691838259127,-0.3739750745612805
1982,-0.8046039185118715,-0.1831398750896711,0.130871341390981,-0.3873313272241834
1983,-0.7345309572112405,0.1474052653160777,0.1912734989560493,-0.3940094535556349
1984,-0.6431583862568351,0.2010071799764687,0.2114075514777388,-0.4073657062185377
1985,-0.5662940033739741,0.1116706555424829,0.1107372888692916,-0.4474344642072463
1986,-0.5283251353388879,0.2635427470802597,0.0302010787825339,-0.4808250958645035
1987,-0.4851082238176363,0.3528792715142455,-0.0302010787825343,-0.5008594748588578
1988,-0.3659535142307076,-0.004466826221699,-0.0906032363476026,-0.5208938538532121
1989,-0.2057429634322955,-0.2903437044104545,-0.271809709042807,-0.5609626118419209
