year,land_price_yoy,nikkei_return
1949,,
1950,,-0.6893852557129266
1951,,2.32918528911402
1952,,4.74468126890781
1953,,-0.2106883136273686
1954,,-0.6251315349287255
1955,,0.4636152168425669
1956,,0.86999583887969
1957,,-0.9840076521106824
1958,,1.3823586059616433
1959,,0.9844985710282268
1960,,1.9907397915566676
1961,,-0.1360870495006306
1962,,-0.4130371454025709
1963,,-0.9415834904966685
1964,,-0.4362749687337773
1965,,0.3346446336489571
1966,,-0.2726284121186381
1967,,-0.8756820488792308
1968,,1.0153558964760705
1969,,1.2651950395735685
1970,,-1.0371737610072964
1971,,1.1951713604596594
1972,,3.5740867231974067
1973,,-1.120273143415734
1974,,-0.8454698476592221
1975,-2.1951608353874645,0.1893522265592766
1976,0.1839520253117987,0.2657352323857953
1977,0.4537483291024368,-0.4843934235450238
1978,0.7971254430177944,0.6272574500318027
1979,1.5819874176814688,0.0299896710847859
1980,3.102657493592338,-0.0535254198991103
1981,2.85738812650994,0.0
1982,2.023472278429786,-0.1891697541345221
1983,1.2386103037661111,0.6299594585335113
1984,0.7235446328930749,0.3397853703283179
1985,0.5273291392271564,0.1971732353881253
1986,0.5273291392271564,1.5084602689146462
1987,1.851783721472107,0.2500184027237673
1988,6.119470708705837,1.336715061257869
1989,1.9253645315968264,0.8715303930787615
1990,4.15731577204665,-2.0407232129921486
1991,2.612118759427541,-0.5324139245137243
1992,-1.3857719240155502,-1.5096214450464769
1993,-2.1461069619709847,-0.251498169965542
1994,-1.165029493641392,0.192523109904857
1995,-0.4046944556859572,-0.3449023634682262
1996,-0.6499638227683554,-0.4861653595228147
1997,-0.4046944556859572,-1.2873280189766725
1998,-0.3556405822694775,-0.7755661863089541
1999,-0.9442870632672332,1.2047246074573088
2000,-1.0178678733919526,-1.5453333917661798
2001,-1.0423948101001923,-1.387703424021898
2002,-1.287664177182591,-1.1771324987436456
2003,-1.4348257974320298,0.6744907594765952
2004,-1.41029886072379,-0.0495685425176953
2005,-1.1405025569331515,1.352978286616176
2006,-0.6744907594765952,-0.0792135372410502
2007,0.0122634683541199,-0.8551314741733018
2008,0.3065867088529978,-2.1871482026801434
2009,-0.7971254430177944,0.4418915100526748
2010,-1.0423948101001923,-0.5059320586100561
2011,-0.6744907594765952,-1.1218027471996144
2012,-0.5763830126436359,0.6096050793083844
2013,-0.4046944556859572,2.061490790161844
2014,-0.1594250886035589,-0.0706075147887288
2015,-0.1103712151870792,0.0133753660925364
2016,-0.0613173417705995,-0.3583072569438474
2017,-0.0122634683541199,0.4443991546656649
2018,0.0613173417705995,-0.8957935347471161
2019,0.134898151895319,0.4055958390217812
2020,0.1839520253117987,0.311664868785502
2021,-0.1103712151870792,-0.1654690135393168
2022,0.1103712151870792,-0.7791916687257806
2023,0.3311136455612376,0.837425510046207
2024,0.4782752658106766,0.4494335236763697
2025,0.5028022025189165,0.7488427812218323
2026,0.5028022025189165,0.8770849009035262
