year,cpi_yoy,gdp_deflator_yoy
1955,,
1956,,0.0709188045248346
1957,,0.6744907594765952
1958,,-1.2412160050082617
1959,,0.0
1960,,0.8057978147188525
1961,,0.9809197802932912
1962,,0.004595055462362
1963,,0.2032259995225896
1964,,0.3697778742682488
1965,,0.2250327254345538
1966,,0.2418261393030179
1967,,0.2845811568596279
1968,,0.3780816149226806
1969,,0.1254127386771033
1970,,0.6710165569553914
1971,2.64325773729818,0.2590741627981536
1972,1.8853904365885712,0.3152466451693417
1973,5.198433893913066,2.3047226677605184
1974,10.94776985082003,4.575148164453327
1975,5.385688807936316,0.7560452561727301
1976,4.115742481256795,0.9886737481986574
1977,3.498738255162356,0.635971292366646
1978,1.5422710077526094,0.0350264298418216
1979,1.3176841875584495,-0.4838532326287096
1980,3.3238379241575284,0.2686980113494284
1981,1.8936652723441325,-0.1046368563660367
1982,0.8090086889572802,-0.7540894966122709
1983,0.3839939662735169,-0.7606937788211601
1984,0.5737526822049395,-0.5143762405999438
1985,0.4707996752537642,-0.6619371335310374
1986,-0.2532176812344821,-0.7652087163251714
1987,-0.4985407299145554,-1.2265744091332418
1988,-0.2239145250672767,-1.0626734224752314
1989,0.5864918926482232,-0.6861430977867757
1990,0.969751745163534,-0.6078032938393012
1991,1.0808013796226934,-0.506161680708064
1992,0.3107002593276561,-0.768373033167522
1993,0.0729110853201532,-1.0832227606069735
1994,-0.2120426991836171,-1.2070666185582193
1995,-0.606624698941856,-1.4327385442550398
1996,-0.4860358087766993,-1.6583454447978097
1997,0.2915255865760358,-1.1797849192290917
1998,-0.2172991219391795,-1.1622615352825114
1999,-0.7232567176972622,-1.499614109644326
2000,-0.8903249924680081,-1.768325819976374
2001,-0.9120108062589088,
2002,-1.0053421696621012,
2003,-0.6849333499656924,
2004,-0.5634902826217417,
2005,-0.675052311642666,
2006,-0.4466382670589853,
2007,-0.5295510882355295,
2008,0.1367305425479276,
2009,-1.2224738286425805,
2010,-0.9038171465583372,
2011,-0.6956953947830994,
2012,-0.5784604392949134,
2013,-0.3853484560554764,
2014,0.8264050275578225,
2015,-0.1580494177341793,
2016,-0.6103827560953983,
2017,-0.3173103765160653,
2018,-0.0729110853201532,
2019,-0.3063831814451191,
2020,-0.5624912386476315,
2021,-0.6739292073105246,
2022,0.6933346835380736,
2023,1.069199457037959,
2024,0.8135255368375421,
2025,1.0369494083844495,
2026,0.202829499347048,
