year,equity_return,property_price_yoy
1998,,
1999,,-1.2981177746146324
2000,,-0.6624118531236698
2001,-0.6744907594765953,-0.6865696658295206
2002,-0.5043262444788804,-0.5085676417431249
2003,1.0201463946685358,-0.2894193691117541
2004,-0.3881679885177863,2.1555515822282176
2005,0.0,1.4485517419644045
2006,7.613587531316542,-0.0164933737593681
2007,5.760426598225938,1.5883845601594482
2008,,-1.5194099689586027
2009,,3.181904306776113
2010,,0.212916974831922
2011,,0.0164933737593683
2012,,0.3266497337965623
