year,cpi_yoy
1978,-0.6131734177059947
1980,1.4716162024943935
1985,2.0234722784297894
1990,0.1226346835411989
1995,4.414848607483177
1996,1.7168855695767915
1997,0.0306586708853002
1998,-1.0730534809854924
1999,-1.257005506297294
2000,-0.7051494303618934
2001,-0.6131734177059947
2002,-1.0730534809854924
2003,-0.4598800632794955
2004,0.3679040506236011
2005,-0.2759280379676981
2006,-0.3679040506235968
2007,0.6438320885912971
2008,0.981077468329598
2009,-1.0423948101001943
2010,0.1839520253117995
2011,0.8277841139030988
2012,-0.0306586708853002
