year,real_gdp_yoy,iip_yoy,investment_gdp
1955,,2.1299651187100737,-4.207727353147228
1956,0.6017161207704625,3.0511456972136526,-2.8854702570361304
1957,0.6744907594765953,0.4226574532781587,-1.7375446510819892
1958,0.3120549909771341,0.184014322176986,-2.0914930773695386
1959,1.0359622050533708,3.9051137739191386,-1.804018677048281
1960,1.859720898807392,2.3563669027607195,-0.4894814712948678
1961,1.5869602586623988,2.3430619321853903,0.6495564675390955
1962,0.8509491369697189,-0.7169841595440503,0.7685879975265392
1963,0.8941052323156946,2.942885623211413,0.5253125063251359
1964,1.4361035738694166,1.2871818192967523,0.5715967754607253
1965,0.1902112864406108,-0.4536924798227657,-0.1793434893363577
1966,1.2242805624129658,2.8351199012446964,0.0254513294641159
1967,1.4131122056442411,2.2558545479571688,0.6685429436513136
1968,1.5995859537922807,1.434280366797227,1.1439874959769198
1969,1.6095474201207045,2.17674866554661,1.6479410767997678
1970,1.2319632189383734,0.7559177138878317,2.058407704524169
1971,-0.0999633981189917,-0.5446288254686622,1.5669030450931642
1972,0.8095768149661157,1.7742205106375355,1.5171544828281438
1973,0.7235030882418717,0.9944429559306384,2.4022516609378783
1974,-1.368833381379145,-3.3608255101671105,1.7762489349613173
1975,-0.3932336293210873,-0.6764611707905578,0.8680358609544504
1976,-0.1935471619854167,1.3450066416105806,0.3740557301977998
1977,-0.0996843844590391,-0.1719388930101579,-0.0254513294641173
1978,0.099581783211052,0.6725203481626327,0.0699125340594256
1979,0.1474739053973995,0.5444433398658499,0.5644425427158108
1980,-0.4551356313508874,-0.4699101125206184,0.5238084439236477
1981,-0.3754086943038524,-0.0529187647977562,0.1420412136908015
1982,-0.4009554317869134,-1.0526953540621078,-0.2955673090470327
1983,-0.5671274502110214,0.825023423952909,-0.868583759739824
1984,-0.2065807918613998,0.5277954353411201,-0.983401094350959
1985,-0.0965769450950709,-0.3787018567655183,-1.0706375568842004
1986,-0.437549227797434,-0.5414621737719489,-1.1487345956987716
1987,-0.1520054319807905,0.6606726136935845,-0.7308303874219604
1988,0.3081522810793156,0.6140410341636896,-0.2265750461632673
1989,0.0,-0.0305019789705649,0.1340520045295394
1990,0.0570388513318628,0.2502263214136724,0.5879430737394028
1991,-0.2336172026768082,-0.9955964065910552,0.4658083153968571
1992,-0.8609487250451183,-1.893920809804118,0.0961121882732097
1993,-1.0215085104568875,-1.0276248572942857,-0.2662099281456676
1994,-0.9462220069655404,0.516864431120792,-0.6147663519173343
1995,-0.759472342046588,-0.3057209625458834,-0.6804385753018768
1996,0.0494078061568438,-0.0954309822547754,-0.2952166647618656
1997,-0.7316428444108359,-0.979184947160119,-0.6443426143158252
1998,-1.6589395170050187,-1.70918892080747,-1.3345154467724578
1999,-1.0460837866048522,0.1804418950739835,-1.6172372678405165
2000,-0.8849744076024693,0.2991408390629846,-1.7978580487706517
2001,,-2.9638628230173425,
2002,,0.2884651812937389,
2003,,0.0938024978112029,
2004,,-0.4031101011637605,
2005,,0.1057955785396901,
2006,,0.1211050304630632,
2007,,-0.2368146388225296,
2008,,-4.407746454405864,
2009,,0.2946049815171562,
2010,,0.2596475260642071,
2011,,-0.4284177446975364,
2012,,-1.69661248371352,
2013,,0.139848264518861,
2014,,-0.9123433449910828,
2015,,-0.9941197969963336,
2016,,-0.0537905051545854,
2017,,0.0305019789705354,
2018,,-0.8061262865166999,
2019,,-1.6503163043546731,
2020,,-1.152911363320008,
2021,,-0.1939439613634948,
2022,,-0.6814192105992152,
2023,,-0.662100459660225,
2024,,-1.252142372231174,
2025,,-0.7739898042568377,
2026,,0.0675580172705905,
