year,export_yoy,trade_balance_gdp,reer,fx_usdjpy
1951,5.272287505303212,,,
1952,-1.28498473973083,,,
1953,-0.6876578944465456,,,
1954,1.892729285161524,,,
1955,1.4828464293377406,-1.2365720708662749,,
1956,1.5729269413938918,-1.5966345541853504,,
1957,0.6320074345878474,-2.46632300473026,,3.4360374311998627
1958,-0.6413668252379132,-0.5671854150349794,,3.4360374311998627
1959,1.179792498843682,-0.5231799021279308,,3.437921958136665
1960,0.91298681638516,-0.788231126410054,,3.4371048905644024
1961,-0.2851180132245803,-1.6621991434100158,,3.456714512957641
1962,0.7977768985902044,-0.8779110263372445,,3.4515353583264714
1963,0.3156249568831134,-1.1732690437339963,,3.461906845500756
1964,1.3884686916865785,-1.038753749334942,,3.469734879698577
1965,1.7856906690679804,-0.2095013806347499,,3.462170415732118
1966,0.76094456353938,-0.2410568001299346,,3.475731102033797
1967,-0.0668651077092803,-0.7888389063266271,,3.472581438355445
1968,1.5597003843996666,-0.3530249533757998,,3.44734459229354
1969,1.469900717013341,-0.0977215564817567,,3.4127773619390758
1970,1.2404920456111226,-0.252264608432368,,3.4094036633466214
1971,1.228590052869154,0.4751210183789947,,3.2637211516448583
1972,-0.2422839731712272,0.4166445189581568,,2.6162513754303327
1973,0.5968409569790885,-0.4968345705452994,,2.03889627915635
1974,5.0448799644663085,-0.9720231249333322,,2.359875726684629
1975,-0.5076022080488808,-0.537021022915084,,2.43941523430789
1976,1.210068558285051,-0.1584927288055471,,2.434943476533024
1977,0.1003373287543347,0.2592083403298579,,1.9912117514536165
1978,-1.1728371329704763,0.4910118913864754,,1.073385305591166
1979,0.1951680456559723,-0.6949406061417527,,1.2119038412967966
1980,2.136054860619594,-0.8357994608475277,,1.3304934270172606
1981,0.5961980473494429,0.0,,1.233958055307354
1982,-0.4332208326119176,-0.0541298691117802,,1.684426260821862
1983,-0.572682663272833,0.4301564760772823,,1.5009827611907065
1984,0.746150135506747,0.8452023999460643,,1.5021920646751012
1985,-0.3245588231236825,1.1720818868736853,,1.5191064962115297
1986,-2.1848507453742645,1.4870926422236328,,0.4104620335321339
1987,-1.2241521308376069,1.1351966127140705,,0.0325447727024989
1988,-0.5271019353361026,0.8419758511320398,,-0.2281919856955396
1989,0.366040020650216,0.6425406987950508,,-0.0725853586789159
1990,0.194955958490471,0.4438749659030235,,0.03528925675052
1991,-0.498629168137341,0.6744907594765952,,-0.1275860567543944
1992,-0.5581722031905042,0.9346792518319232,,-0.2513062663936324
1993,-1.3116500913753304,0.9126578072105188,,-0.4963867245016655
1994,-0.6334070859296077,0.8105491727220493,1.9288178796326576,-0.6378768035985182
1995,-0.4637619791567046,0.57745135879717,1.9911533440657208,-0.7669716001813375
1996,0.0173382329861241,0.2552395496387549,1.0286914992396636,-0.5336847725325021
1997,0.5931625484149262,0.5294230143945752,0.7212778887318726,-0.3410741812499603
1998,-0.7556055341023545,0.9094908862757208,0.712579916950514,-0.1845456268264784
1999,-1.272763438044816,0.7630851516914814,1.2837183058486223,-0.4534909904584862
2000,0.1042159319754336,0.6307022053968161,1.5715188427317834,-0.5492194477921002
2001,-1.185268353449917,2.100013579711441,0.9774132603717908,-0.3333688045993266
2002,-0.10551413143728,,0.6576917355459334,-0.2737310102482421
2003,-0.2649824574381845,,0.6744907594765952,-0.4210981672143899
2004,0.4310878018996815,,0.7127788901611996,-0.5442823964786322
2005,-0.0173382329861241,,0.4191512806794159,-0.5128687085282772
2006,0.6613236245066448,,0.0,-0.4144870070375667
2007,0.3754088690698837,,-0.3387376788184328,-0.3923354622749571
2008,-1.0258995675785758,,-0.0674803431664816,-0.6195387686870985
2009,-3.79485716857219,,0.4132105091032603,-0.7747813203591135
2010,1.5774422207687877,,0.4361492778207622,-0.8666765189109168
2011,-0.9585474450752628,,0.4929703418434225,-0.9940431284977598
2012,-0.9580780147161754,,0.437229418107336,-0.9923538027695488
2013,0.1804686166870908,,-0.4560750236336119,-0.7111047153546723
2014,-0.2579633261889533,,-0.6577485850347019,-0.5806458518420587
2015,-0.3800137024964679,,-0.8791773437823387,-0.3409835655790286
2016,-1.3904750844736085,,-0.4686103359067459,-0.5339113958611292
2017,0.3976423622244723,,-0.6383913341095234,-0.4804535970258138
2018,-0.3213222892218957,,-0.6718472582489281,-0.5080534818472009
2019,-1.2228011034351494,,-0.5747483314348163,-0.5300660595349362
2020,-1.737117110728713,,-0.5469773561721162,-0.566177351018558
2021,1.3029624747457955,,-0.8486207435700521,-0.5186890326632546
2022,0.9922537696534024,,-1.2569137718949632,-0.1761039147674351
2023,-0.4452777549867382,,-1.3825511420701309,-0.0325447727024989
2024,-0.1269064405195445,,-1.5204680018189802,0.1403624232355522
2025,,,-1.4852497435277965,0.1122981216575492
2026,,,-1.702313273673678,0.2556803660091695
