year,m2_yoy,policy_rate,jgb10y
1955,,1.2526256961708195,
1956,1.2285044282389397,1.2526256961708195,
1957,1.224893222419414,1.5554582820582707,
1958,0.7958449659340954,1.2526256961708195,
1959,1.2516304358100665,1.2526256961708195,
1960,1.3212486645224164,1.1535168498803812,
1961,1.4892855198137909,1.2526256961708195,
1962,1.0578746230855165,1.051654980081875,
1963,1.691373139169119,0.8506842639929302,
1964,1.1420894192477178,1.051654980081875,
1965,0.8636922180246507,0.7515754177024919,
1966,0.9821321467730418,0.7515754177024919,
1967,0.3742015134282832,0.8506842639929302,
1968,0.7641897069199912,0.8506842639929302,
1969,0.942913924077303,0.9635582278237074,
1970,1.0669238949382174,0.894732640122014,
1971,1.2944835676392887,0.5506047016135471,
1972,1.9830867549351956,0.4129535262101603,
1973,1.5890970154506194,1.7206396925423346,
1974,0.3562572693234981,1.7206396925423346,
1975,0.4799915510716507,1.0323838155254008,
1976,0.7096714157702121,1.0323838155254008,
1977,0.2934037153134123,0.4129535262101603,
1978,0.3305985580037911,0.2064767631050801,
1979,0.3460045145674431,0.9635582278237074,
1980,0.0496111300704044,1.238860578630481,
1981,0.0135933583292374,0.7570814647186273,
1982,0.0495376773807578,0.7570814647186273,
1983,-0.1590009188595829,0.6194302893152405,
1984,-0.1090590736585902,0.6194302893152405,
1985,-0.0457127639907836,0.6194302893152405,
1986,-0.0135933583292372,0.0688255877016933,2.694532260899887
1987,0.1767850052914387,-0.0688255877016933,2.324008344198604
1988,0.2717498407401855,-0.0688255877016933,2.1778572437219865
1989,0.1258454260102081,0.4129535262101603,2.8674434220271525
1990,0.3247154256289543,0.894732640122014,3.555657289529721
1991,-0.5717269009604505,0.4817791139118537,2.839311050573907
1992,-0.9155635585051202,0.1376511754033867,2.42418703278821
1993,-0.8628713017949866,-0.2753023508067735,1.3558430729661768
1994,-0.7530869259901823,-0.2753023508067735,2.1394325412492607
1995,-0.6437820394092404,-0.6194302893152405,1.1856765334441062
1996,-0.6180212994246643,-0.6194302893152405,0.92013439314152
1997,-0.6402397320224894,-0.6194302893152405,0.3410192344454402
1998,-0.4939746738821863,-0.6194302893152405,0.4665856728830973
1999,-0.5704450568522517,-0.6194302893152405,0.1667357625155773
2000,-0.7468393371026393,-0.6194302893152405,0.1461511004766171
2001,-0.6716891101386346,-0.7295512296379498,-0.0466585672883097
2002,-0.6126736763925205,-0.7295512296379498,-0.3643485180895952
2003,-0.8334881345710887,-0.7295512296379498,-0.0507754996961018
2004,-0.7868313002269439,-0.7295512296379498,0.0
2005,-0.7800767996494893,-0.7295512296379498,0.0247015944467522
2006,-0.869586778509059,-0.6469605243959179,0.16536345171298
2007,-0.8066879763215673,-0.5506047016135471,0.0446001010844136
2008,-0.7495808309723867,-0.6744907594765952,-0.1784004043376549
2009,-0.6803609816167722,-0.6744907594765952,-0.1015509993922036
2010,-0.6726912529321285,-0.6744907594765952,-0.2127081744025885
2011,-0.6762902660210619,-0.6744907594765952,-0.3087699305844027
2012,-0.7023828859511673,-0.6744907594765952,-0.4411979230350465
2013,-0.5795529653068509,-0.6744907594765952,-0.4809949363103695
2014,-0.600744344600761,-0.6744907594765952,-0.763004806244124
2015,-0.5694320018459321,-0.6744907594765952,-0.8028018195194468
2016,-0.5937304860663536,-0.6744907594765952,-0.9565006294103496
2017,-0.5184314998541496,-0.6744907594765952,-0.953756007805155
2018,,-0.6744907594765952,-0.97708529144931
2019,,-0.6744907594765952,-0.9962976426856726
2020,,-0.6744907594765952,-0.9619898726207392
2021,,-0.6744907594765952,-0.9249374809506108
2022,,-0.6744907594765952,-0.6744907594765952
2023,,-0.6744907594765952,-0.5420627670259514
2024,,-0.6194302893152405,-0.2236866608233673
2025,,-0.4817791139118537,0.4315917474168649
2026,,-0.4129535262101603,1.0333500343558009
