year,export_yoy,reer
1980,4.373321448842653,
1985,4.213532735653443,
1990,3.0592651503715023,
1991,-0.2953075969785197,
1992,0.012437047771711,
1993,-0.2483647377677375,
1994,-0.0620508498695236,-1.4230087070591215
1995,-0.2157062091314428,-1.0629460864299445
1996,-1.2909259011230936,-0.6914982716806788
1997,-0.6688508922416568,-0.391313338646049
1998,-1.5397623922286647,-0.1450558065670704
1999,-0.72771987976089,-0.3640919485893734
2000,0.6744907594765952,-0.3453040356586898
2001,-0.9962547451300214,-0.1520368515213634
2002,0.0,-0.2658887927222614
2003,1.0611658075249135,-0.5718834544436864
2004,0.9629721369129604,-0.6945436939761765
2005,0.0940075251287871,-0.73464956297534
2006,0.1392132540068099,-0.6838612896165854
2007,0.1273899457985793,-0.5467235810178087
2008,-0.2803396894062019,-0.2005761976465196
2009,-2.477531762685817,0.0
2010,0.8969116503652652,-0.0364982148952675
2011,0.0453759765627981,0.0799774747448281
2012,-1.084443889605727,0.3593598308686772
2013,,0.6744907594765952
2014,,0.7971978516597844
2015,,1.2999736463210334
2016,,1.0811249149015285
2017,,0.9125490776830798
2018,,0.9823595272260176
2019,,0.9601982234449368
2020,,1.0585887899148485
2021,,1.2282890907500974
2022,,1.2570097656291712
2023,,0.7553584345847217
2024,,0.6316674367368327
2025,,0.4154893064072268
2026,,0.5652036051010348
