year,value
1990,-5.931417918154871
1991,-6.793463994030404
1992,-5.103517948246456
1993,0.5856386311810766
1994,-1.0716404780733697
1995,-1.4700275139738324
1996,-2.492252889227771
1997,-3.9326618392667
1998,-4.369912583338035
1999,-4.324372085284516
2000,-5.122339068924404
2001,-4.2348558566594505
2002,-2.6807340316806503
2003,0.10392287299956138
2004,1.775743797243159
2005,-0.006490703781771856
2006,0.27906022794540775
2007,0.6029942063622542
2008,3.7528675440318437
2009,6.30334023848571
2010,7.556302415009554
2011,7.719149543925987
2012,6.427498954560427
2013,4.268958143993039
2014,3.7114056494962924
2015,1.365260313833062
2016,0.6230817273603293
2017,0.7095291292751256
2018,1.9749195246438802
2019,1.0879696776289265
2020,-0.6222692686533762
2021,0.4960466195553579
2022,0.12622264909806802
2023,-0.27318901071102175
2024,-1.040766676622141
