cn_year,jp_year,lag,s,n_mod
2000,1970,30,-0.3528984551729235,3
2000,1971,29,-0.4432269143117067,4
2000,1972,28,-0.8693405136601398,4
2000,1973,27,-1.082984942113376,4
2000,1974,26,-1.8673581286853391,4
2000,1975,25,-0.7425499652673875,4
2000,1976,24,-0.44358759632288475,4
2000,1977,23,-0.30898512607692674,4
2000,1978,22,-0.26131248629528253,4
2000,1979,21,-0.07924969231317017,4
2000,1980,20,-0.1059466647145279,4
2000,1981,19,0.07766208547901277,4
2000,1982,18,0.050785776924509876,4
2000,1983,17,0.20927239806620154,4
2000,1984,16,0.3298411318726132,4
2000,1985,15,0.18542917838830275,4
2000,1986,14,0.05691869264067112,4
2000,1987,13,0.11219113702003553,4
2000,1988,12,0.07841851013406045,4
2000,1989,11,0.1623603409650915,4
2000,1990,10,-0.004108129784070463,4
2001,1970,31,-0.49044730485943305,3
2001,1971,30,-0.49102429800920455,4
2001,1972,29,-0.5658367044936157,4
2001,1973,28,-0.9953052256276657,4
2001,1974,27,-2.0005885382749646,4
2001,1975,26,-0.37115165273621825,4
2001,1976,25,-0.5136308670865019,4
2001,1977,24,-0.07120744345450597,4
2001,1978,23,0.08307618514449913,4
2001,1979,22,0.11174085254376166,4
2001,1980,21,-0.24280336870994096,4
2001,1981,20,0.17543582664049756,4
2001,1982,19,0.4221840894556792,4
2001,1983,18,0.5536610695059831,4
2001,1984,17,0.37911832112215027,4
2001,1985,16,0.5371038338534747,4
2001,1986,15,0.42831700517184035,4
2001,1987,14,0.4565798084598172,4
2001,1988,13,0.4228071815738421,4
2001,1989,12,0.316982788618729,4
2001,1990,11,0.18693696418517933,4
2001,1991,10,0.4713508283883985,4
2002,1970,32,-0.11969214552785468,3
2002,1971,31,-0.384691103667393,4
2002,1972,30,-0.6764216712493395,4
2002,1973,29,-0.8900660997025758,4
2002,1974,28,-1.923265699179458,4
2002,1975,27,-0.5678876395202104,4
2002,1976,26,-0.36203151498967945,4
2002,1977,25,-0.13432280032974953,4
2002,1978,24,-0.06839364388448232,4
2002,1979,23,0.11366915009763001,4
2002,1980,22,-0.14239029721821747,4
2002,1981,21,0.2523244112261899,4
