column,A1_dominant_unchanged,A1_agreement_ge0.6,A1_lag_ok,A1_PASS,agreement,dominant
-E01,True,True,False,False,1.0,J90
-E02,True,True,False,False,0.9231,J90
-E03,True,True,True,True,1.0,J90
-E05,True,True,True,True,1.0,J90
