year,value,source_note
2015,3.6929,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2016,3.4758,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2017,4.1485,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2018,2.531,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2019,2.024,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2020,5.367,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2021,5.533,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2022,2.92,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2023,1.894,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2024,1.7,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2025,1.2,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
