quarter,value,variable,country,unit,source_note
1979-Q2,3.4208,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1979-Q3,3.5633,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1979-Q4,5.0197,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1980-Q1,7.2881,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1980-Q2,8.0485,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1980-Q3,8.1376,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1980-Q4,7.6799,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1981-Q1,6.5298,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1981-Q2,4.898,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1981-Q3,4.1414,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1981-Q4,4.0898,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1982-Q1,3.1636,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1982-Q2,2.5778,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1982-Q3,2.7643,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1982-Q4,2.4437,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1983-Q1,2.1083,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1983-Q2,2.2285,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1983-Q3,1.5101,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1983-Q4,1.6838,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1984-Q1,2.4402,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1984-Q2,2.0872,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1984-Q3,2.185,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1984-Q4,2.3459,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1985-Q1,2.1072,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1985-Q2,2.1354,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1985-Q3,2.4113,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1985-Q4,1.573,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1986-Q1,1.4805,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1986-Q2,0.8897,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1986-Q3,0.2221,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1986-Q4,-0.177,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1987-Q1,-0.7958,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1987-Q2,0.0882,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1987-Q3,0.4433,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1987-Q4,0.7092,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1988-Q1,0.713,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1988-Q2,0.2643,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1988-Q3,0.6178,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1988-Q4,1.0563,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1989-Q1,1.0619,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1989-Q2,2.7241,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1989-Q3,2.7193,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1989-Q4,2.6568,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1990-Q1,3.5902,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1990-Q2,2.4808,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1990-Q3,2.6046,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1990-Q4,3.5639,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1991-Q1,3.7194,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1991-Q2,3.4641,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1991-Q3,3.1627,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1991-Q4,2.7857,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1992-Q1,1.9152,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
