quarter,value,variable,country,unit,source_note
1989-Q4,3.9167,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1990-Q1,4.5833,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1990-Q2,5.25,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1990-Q3,5.75,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1990-Q4,6.0,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1991-Q1,6.0,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1991-Q2,6.0,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1991-Q3,5.5,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1991-Q4,5.0,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1992-Q1,4.5,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1992-Q2,3.75,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1992-Q3,3.25,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1992-Q4,3.25,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1993-Q1,2.75,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1993-Q2,2.5,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1993-Q3,2.25,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1993-Q4,1.75,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
