quarter,value,variable,country,unit,source_note
2019-Q4,11.8154,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2020-Q1,11.9403,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2020-Q2,13.39,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2020-Q3,14.9376,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2020-Q4,15.5574,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2021-Q1,17.1823,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2021-Q2,17.227,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2021-Q3,15.514,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2021-Q4,14.1537,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2022-Q1,12.3736,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2022-Q2,12.1664,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2022-Q3,12.8625,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2022-Q4,14.7302,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2023-Q1,17.6358,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2023-Q2,18.0919,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2023-Q3,17.2438,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2023-Q4,15.9134,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2024-Q1,14.173,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2024-Q2,12.5042,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2024-Q3,11.6266,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2024-Q4,10.158,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2025-Q1,8.9656,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2025-Q2,8.5423,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2025-Q3,7.9899,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2025-Q4,8.0648,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2026-Q1,7.549,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2026-Q2,6.1873,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
