quarter,value,variable,country,unit,source_note
2016-Q2,9.0,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2016-Q3,8.2,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2016-Q4,8.1,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2017-Q1,9.2,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2017-Q2,8.6,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2017-Q3,7.5,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2017-Q4,7.2,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2018-Q1,7.5,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2018-Q2,6.0,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2018-Q3,5.4,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2018-Q4,5.9,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2019-Q1,6.3,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2019-Q2,5.8,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2019-Q3,5.4,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2019-Q4,5.4,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2020-Q1,-16.1,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2020-Q2,-3.1,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2020-Q3,0.8,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2020-Q4,2.9,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2021-Q1,25.6,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
