quarter,value,country,variable
2006-Q1,11.3,CN,hh_credit_gdp
2006-Q2,10.7,CN,hh_credit_gdp
2006-Q3,10.7,CN,hh_credit_gdp
2006-Q4,10.7,CN,hh_credit_gdp
2007-Q1,18.1,CN,hh_credit_gdp
2007-Q2,18.6,CN,hh_credit_gdp
2007-Q3,19.1,CN,hh_credit_gdp
2007-Q4,18.6,CN,hh_credit_gdp
2008-Q1,18.5,CN,hh_credit_gdp
2008-Q2,18.3,CN,hh_credit_gdp
2008-Q3,18.1,CN,hh_credit_gdp
2008-Q4,17.6,CN,hh_credit_gdp
2009-Q1,18.6,CN,hh_credit_gdp
2009-Q2,20.2,CN,hh_credit_gdp
2009-Q3,22.1,CN,hh_credit_gdp
2009-Q4,23.1,CN,hh_credit_gdp
2010-Q1,25.2,CN,hh_credit_gdp
2010-Q2,26.3,CN,hh_credit_gdp
2010-Q3,26.7,CN,hh_credit_gdp
2010-Q4,26.8,CN,hh_credit_gdp
2011-Q1,27.2,CN,hh_credit_gdp
2011-Q2,27.5,CN,hh_credit_gdp
2011-Q3,27.5,CN,hh_credit_gdp
2011-Q4,27.3,CN,hh_credit_gdp
2012-Q1,27.5,CN,hh_credit_gdp
2012-Q2,28.0,CN,hh_credit_gdp
2012-Q3,28.9,CN,hh_credit_gdp
2012-Q4,29.3,CN,hh_credit_gdp
2013-Q1,30.3,CN,hh_credit_gdp
2013-Q2,31.5,CN,hh_credit_gdp
2013-Q3,32.4,CN,hh_credit_gdp
2013-Q4,32.7,CN,hh_credit_gdp
2014-Q1,33.5,CN,hh_credit_gdp
2014-Q2,34.2,CN,hh_credit_gdp
2014-Q3,34.7,CN,hh_credit_gdp
2014-Q4,35.0,CN,hh_credit_gdp
2015-Q1,35.7,CN,hh_credit_gdp
2015-Q2,36.6,CN,hh_credit_gdp
2015-Q3,37.5,CN,hh_credit_gdp
2015-Q4,38.1,CN,hh_credit_gdp
2016-Q1,39.2,CN,hh_credit_gdp
