quarter,value,country,variable
2005-Q2,75.8675,CN,residential_property_price
2005-Q3,77.0645,CN,residential_property_price
2005-Q4,77.9195,CN,residential_property_price
2006-Q1,78.005,CN,residential_property_price
2006-Q2,79.544,CN,residential_property_price
2006-Q3,80.855,CN,residential_property_price
2006-Q4,81.824,CN,residential_property_price
2007-Q1,82.1375,CN,residential_property_price
2007-Q2,84.218,CN,residential_property_price
2007-Q3,86.498,CN,residential_property_price
2007-Q4,89.1486,CN,residential_property_price
2008-Q1,89.8611,CN,residential_property_price
2008-Q2,90.8301,CN,residential_property_price
2008-Q3,91.2576,CN,residential_property_price
2008-Q4,90.7446,CN,residential_property_price
2009-Q1,89.6901,CN,residential_property_price
2009-Q2,90.4026,CN,residential_property_price
2009-Q3,92.3406,CN,residential_property_price
2009-Q4,94.7631,CN,residential_property_price
2010-Q1,97.7556,CN,residential_property_price
2010-Q2,100.0071,CN,residential_property_price
2010-Q3,100.3776,CN,residential_property_price
2010-Q4,101.8596,CN,residential_property_price
2011-Q1,103.5126,CN,residential_property_price
2011-Q2,104.2822,CN,residential_property_price
2011-Q3,104.4817,CN,residential_property_price
2011-Q4,104.1967,CN,residential_property_price
2012-Q1,103.6551,CN,residential_property_price
2012-Q2,103.1136,CN,residential_property_price
2012-Q3,103.2561,CN,residential_property_price
2012-Q4,103.6551,CN,residential_property_price
2013-Q1,105.5932,CN,residential_property_price
2013-Q2,108.5572,CN,residential_property_price
2013-Q3,111.0082,CN,residential_property_price
2013-Q4,113.0602,CN,residential_property_price
2014-Q1,114.2857,CN,residential_property_price
2014-Q2,114.3427,CN,residential_property_price
2014-Q3,111.7207,CN,residential_property_price
2014-Q4,109.1557,CN,residential_property_price
2015-Q1,107.8162,CN,residential_property_price
2015-Q2,107.5882,CN,residential_property_price
2015-Q3,108.2437,CN,residential_property_price
2015-Q4,108.8422,CN,residential_property_price
2016-Q1,111.5332,CN,residential_property_price
2016-Q2,113.8325,CN,residential_property_price
2016-Q3,116.4238,CN,residential_property_price
2016-Q4,119.1975,CN,residential_property_price
2017-Q1,120.6209,CN,residential_property_price
2017-Q2,122.9931,CN,residential_property_price
2017-Q3,124.38,CN,residential_property_price
2017-Q4,125.1464,CN,residential_property_price
2018-Q1,125.8764,CN,residential_property_price
2018-Q2,127.7012,CN,residential_property_price
2018-Q3,131.5698,CN,residential_property_price
