year,value,source_note
1978,38.2,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1979,36.1,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1980,34.8,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1981,32.5,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1982,31.9,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1983,32.8,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1984,34.2,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1985,38.1,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1986,37.5,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1987,36.3,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1988,37.0,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1989,36.6,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1990,34.9,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1991,34.8,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1992,36.6,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1993,42.6,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1994,40.5,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1995,40.3,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1996,38.8,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1997,36.7,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1998,36.2,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1999,36.2,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
2000,35.3,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
2001,36.4763,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
2002,37.8209,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
2003,40.9645,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
2004,42.9733,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
2005,41.5406,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
2006,41.7372,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
2007,41.6142,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
2008,43.7774,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
2009,47.1545,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
2010,48.0626,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
2011,48.3146,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
2012,47.7617,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
2013,45.92,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
