year,value
1970,2.049598264757975
1971,1.0068716959659767
1972,1.112621933479133
1973,3.611017831919945
1974,2.1583295685538246
1975,0.02555031782085848
1976,-0.9688348704323495
1977,-1.7972818097007348
1978,-1.3356665419449456
1979,0.1479170165048842
1980,0.2265219226541113
1981,-0.5381823591252193
1982,-1.467081395439326
1983,-2.6944972214396294
1984,-2.746036368835526
1985,-2.7701206912521776
1986,-2.7611445273601163
1987,-1.4682806349758941
1988,0.05068438987442292
1989,1.1785299561403306
1990,2.545236731140214
1991,2.42599141659802
1992,1.702569752754183
1993,0.9840321882161867
1994,0.3245653672044
1995,0.36700497032387247
1996,1.5754666691961141
1997,0.8990896614617405
1998,-0.6745521374010188
1999,-1.1752821601815775
2000,-1.411371248349024
2001,-0.26803366407681395
2002,-0.9921356898988698
2003,-0.8063606383183881
2004,-0.7107216025166956
2005,0.11771412303949802
2006,0.2843088165097747
2007,-0.257662988748141
2008,-0.5576498004597958
2009,-1.3323422930244497
2010,-1.8583326567461498
2011,-0.7158676376684419
2012,-0.05449132454311467
2013,0.7184318538918433
2014,0.821892521208305
2015,0.6391441761367105
2016,0.8281085474995358
2017,1.0510589917104909
2018,1.225312771692117
2019,1.4442587034113537
2020,0.5241886464394234
2021,0.025147611595478736
2022,-0.5493362580348773
2023,-0.15989989722738684
