quarter,value,source_note
1971-Q1,6.1743,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1971-Q2,7.177,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1971-Q3,7.2189,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1971-Q4,6.0046,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1972-Q1,5.3592,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1972-Q2,5.0223,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1972-Q3,4.9669,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1972-Q4,5.6645,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1973-Q1,7.5758,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1973-Q2,10.2019,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1973-Q3,12.1977,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1973-Q4,15.2577,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1974-Q1,21.7304,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1974-Q2,22.1794,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1974-Q3,22.6804,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1974-Q4,23.3453,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1975-Q1,15.8678,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1975-Q2,13.4964,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1975-Q3,11.3063,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1975-Q4,7.9043,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1976-Q1,8.2026,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1976-Q2,8.7622,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1976-Q3,9.197,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1976-Q4,9.543,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1977-Q1,9.031,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1977-Q2,8.6957,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1977-Q3,7.8567,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1977-Q4,6.7485,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1978-Q1,5.5623,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1978-Q2,4.5882,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1978-Q3,4.1958,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1978-Q4,3.4483,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1979-Q1,3.1501,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1979-Q2,3.2621,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1979-Q3,3.7472,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1979-Q4,4.5556,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1980-Q1,5.7746,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1980-Q2,8.061,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1980-Q3,8.1402,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1980-Q4,8.0234,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1981-Q1,6.8766,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1981-Q2,4.4355,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1981-Q3,3.988,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1981-Q4,3.9843,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1982-Q1,3.5855,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1982-Q2,3.1853,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1982-Q3,2.9722,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1982-Q4,2.6963,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1983-Q1,2.3234,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1983-Q2,1.8709,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1983-Q3,1.4898,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1983-Q4,1.6122,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1984-Q1,1.8536,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1984-Q2,2.2039,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1984-Q3,2.2018,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1984-Q4,2.3572,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1985-Q1,2.4113,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1985-Q2,2.1114,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1985-Q3,2.1095,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1985-Q4,1.3286,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1986-Q1,1.5104,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1986-Q2,1.0999,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
