quarter,value,source_note
1984-Q1,-0.6545,FRED JPNPPDMMINMEI 季均->YoY
1984-Q2,0.086,FRED JPNPPDMMINMEI 季均->YoY
1984-Q3,0.4313,FRED JPNPPDMMINMEI 季均->YoY
1984-Q4,0.2295,FRED JPNPPDMMINMEI 季均->YoY
1985-Q1,0.5443,FRED JPNPPDMMINMEI 季均->YoY
1985-Q2,-0.4008,FRED JPNPPDMMINMEI 季均->YoY
1985-Q3,-1.3169,FRED JPNPPDMMINMEI 季均->YoY
1985-Q4,-2.261,FRED JPNPPDMMINMEI 季均->YoY
1986-Q1,-3.5897,FRED JPNPPDMMINMEI 季均->YoY
1986-Q2,-4.3403,FRED JPNPPDMMINMEI 季均->YoY
1986-Q3,-4.9608,FRED JPNPPDMMINMEI 季均->YoY
1986-Q4,-5.7687,FRED JPNPPDMMINMEI 季均->YoY
1987-Q1,-5.4669,FRED JPNPPDMMINMEI 季均->YoY
1987-Q2,-4.2368,FRED JPNPPDMMINMEI 季均->YoY
1987-Q3,-2.0757,FRED JPNPPDMMINMEI 季均->YoY
1987-Q4,0.0932,FRED JPNPPDMMINMEI 季均->YoY
1988-Q1,0.1563,FRED JPNPPDMMINMEI 季均->YoY
1988-Q2,0.0,FRED JPNPPDMMINMEI 季均->YoY
1988-Q3,-0.5299,FRED JPNPPDMMINMEI 季均->YoY
1988-Q4,-0.9314,FRED JPNPPDMMINMEI 季均->YoY
1989-Q1,-0.2809,FRED JPNPPDMMINMEI 季均->YoY
1989-Q2,2.7926,FRED JPNPPDMMINMEI 季均->YoY
1989-Q3,3.1338,FRED JPNPPDMMINMEI 季均->YoY
1989-Q4,2.9771,FRED JPNPPDMMINMEI 季均->YoY
1990-Q1,3.2551,FRED JPNPPDMMINMEI 季均->YoY
1990-Q2,0.7021,FRED JPNPPDMMINMEI 季均->YoY
1990-Q3,0.6077,FRED JPNPPDMMINMEI 季均->YoY
1990-Q4,1.7955,FRED JPNPPDMMINMEI 季均->YoY
1991-Q1,1.7581,FRED JPNPPDMMINMEI 季均->YoY
1991-Q2,1.6672,FRED JPNPPDMMINMEI 季均->YoY
1991-Q3,1.0873,FRED JPNPPDMMINMEI 季均->YoY
1991-Q4,-0.1196,FRED JPNPPDMMINMEI 季均->YoY
1992-Q1,-0.7745,FRED JPNPPDMMINMEI 季均->YoY
1992-Q2,-0.9243,FRED JPNPPDMMINMEI 季均->YoY
1992-Q3,-0.8664,FRED JPNPPDMMINMEI 季均->YoY
1992-Q4,-1.1075,FRED JPNPPDMMINMEI 季均->YoY
1993-Q1,-1.1108,FRED JPNPPDMMINMEI 季均->YoY
1993-Q2,-1.4445,FRED JPNPPDMMINMEI 季均->YoY
1993-Q3,-1.8385,FRED JPNPPDMMINMEI 季均->YoY
1993-Q4,-2.0581,FRED JPNPPDMMINMEI 季均->YoY
1994-Q1,-2.1251,FRED JPNPPDMMINMEI 季均->YoY
1994-Q2,-1.9847,FRED JPNPPDMMINMEI 季均->YoY
1994-Q3,-1.6887,FRED JPNPPDMMINMEI 季均->YoY
1994-Q4,-1.2052,FRED JPNPPDMMINMEI 季均->YoY
1995-Q1,-0.4637,FRED JPNPPDMMINMEI 季均->YoY
1995-Q2,-0.4141,FRED JPNPPDMMINMEI 季均->YoY
1995-Q3,-0.6693,FRED JPNPPDMMINMEI 季均->YoY
1995-Q4,-0.8407,FRED JPNPPDMMINMEI 季均->YoY
1996-Q1,-1.6272,FRED JPNPPDMMINMEI 季均->YoY
1996-Q2,-1.9899,FRED JPNPPDMMINMEI 季均->YoY
1996-Q3,-2.209,FRED JPNPPDMMINMEI 季均->YoY
1996-Q4,-2.0665,FRED JPNPPDMMINMEI 季均->YoY
1997-Q1,-1.6541,FRED JPNPPDMMINMEI 季均->YoY
1997-Q2,0.6667,FRED JPNPPDMMINMEI 季均->YoY
1997-Q3,0.8547,FRED JPNPPDMMINMEI 季均->YoY
1997-Q4,0.5199,FRED JPNPPDMMINMEI 季均->YoY
1998-Q1,-0.0306,FRED JPNPPDMMINMEI 季均->YoY
1998-Q2,-2.4082,FRED JPNPPDMMINMEI 季均->YoY
1998-Q3,-2.3305,FRED JPNPPDMMINMEI 季均->YoY
1998-Q4,-2.4034,FRED JPNPPDMMINMEI 季均->YoY
1999-Q1,-2.6308,FRED JPNPPDMMINMEI 季均->YoY
1999-Q2,-2.1592,FRED JPNPPDMMINMEI 季均->YoY
1999-Q3,-1.6424,FRED JPNPPDMMINMEI 季均->YoY
1999-Q4,-0.904,FRED JPNPPDMMINMEI 季均->YoY
2000-Q1,0.0943,FRED JPNPPDMMINMEI 季均->YoY
2000-Q2,-0.0631,FRED JPNPPDMMINMEI 季均->YoY
2000-Q3,-0.5041,FRED JPNPPDMMINMEI 季均->YoY
2000-Q4,-1.0695,FRED JPNPPDMMINMEI 季均->YoY
2001-Q1,-1.9774,FRED JPNPPDMMINMEI 季均->YoY
2001-Q2,-2.2082,FRED JPNPPDMMINMEI 季均->YoY
2001-Q3,-2.7549,FRED JPNPPDMMINMEI 季均->YoY
2001-Q4,-3.275,FRED JPNPPDMMINMEI 季均->YoY
2002-Q1,-3.106,FRED JPNPPDMMINMEI 季均->YoY
2002-Q2,-2.5806,FRED JPNPPDMMINMEI 季均->YoY
