quarter,value,source_note
1984-Q3,119.6154,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1984-Q4,120.4327,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1985-Q1,121.25,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1985-Q2,121.8716,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1985-Q3,122.5,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1985-Q4,123.1731,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1986-Q1,123.8462,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1986-Q2,124.7068,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1986-Q3,125.577,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1986-Q4,127.5001,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1987-Q1,129.4231,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1987-Q2,133.3915,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1987-Q3,137.4039,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1987-Q4,138.7981,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1988-Q1,140.1924,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1988-Q2,141.6347,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1988-Q3,143.077,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1988-Q4,145.4328,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1989-Q1,147.7885,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1989-Q2,151.2787,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1989-Q3,154.8078,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1989-Q4,160.7693,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1990-Q1,166.7308,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1990-Q2,172.516,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1990-Q3,178.3655,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1990-Q4,180.577,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1991-Q1,182.7885,H6-B frozen h6b_q_residential_property_price.csv; country=jp
