quarter,value,source_note
2011-Q1,18.1642,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2019-Q4,11.8154,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2020-Q1,11.9403,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2020-Q2,13.39,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2020-Q3,14.9376,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2020-Q4,15.5574,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2021-Q1,17.1823,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2021-Q2,17.227,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2021-Q3,15.514,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2021-Q4,14.1537,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2022-Q1,12.3736,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2022-Q2,12.1664,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2022-Q3,12.8625,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2022-Q4,14.7302,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2023-Q1,17.6358,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2023-Q2,18.0919,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2023-Q3,17.2438,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2023-Q4,15.9134,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2024-Q1,14.173,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2024-Q2,12.5042,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2024-Q3,11.6266,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2024-Q4,10.158,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2025-Q1,8.9656,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2025-Q2,8.5423,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2025-Q3,7.9899,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2025-Q4,8.0648,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2026-Q1,7.549,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2026-Q2,6.1873,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
