quarter,value,source_note
1970-Q4,0.975714,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1971-Q1,1.153747,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1971-Q2,1.044731,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1971-Q3,1.387275,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1971-Q4,1.31638,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1972-Q1,1.250264,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1972-Q2,1.049272,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1972-Q3,1.090934,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1972-Q4,0.875853,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1973-Q1,0.72075,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1973-Q2,0.635844,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1973-Q3,0.761155,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1973-Q4,0.744674,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1974-Q1,0.873223,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1974-Q2,1.206697,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1974-Q3,1.837232,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1974-Q4,2.97896,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1975-Q1,3.121911,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1975-Q2,2.176004,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1975-Q3,2.572347,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1975-Q4,2.31354,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1976-Q1,1.58789,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1976-Q2,1.305547,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1976-Q3,1.489796,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1976-Q4,1.549153,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1977-Q1,1.433186,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1977-Q2,1.22076,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1977-Q3,1.492023,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1977-Q4,1.25602,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1978-Q1,1.018677,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1978-Q2,0.833384,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1978-Q3,0.983206,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1978-Q4,0.787506,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1979-Q1,0.759665,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1979-Q2,0.588516,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1979-Q3,0.77609,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1979-Q4,0.786049,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1980-Q1,0.80548,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1980-Q2,0.792152,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1980-Q3,1.202996,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1980-Q4,1.070214,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1981-Q1,1.047114,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1981-Q2,0.973884,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1981-Q3,1.287984,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1981-Q4,0.967536,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1982-Q1,0.9639,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1982-Q2,0.995934,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1982-Q3,1.406291,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1982-Q4,1.142886,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1983-Q1,0.996106,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1983-Q2,0.984748,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1983-Q3,1.164227,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1983-Q4,0.897599,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1984-Q1,0.82627,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1984-Q2,0.788659,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1984-Q3,0.985918,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1984-Q4,0.812593,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1985-Q1,0.800226,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1985-Q2,0.745674,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1985-Q3,1.021375,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1985-Q4,0.863077,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1986-Q1,0.914972,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1986-Q2,0.755161,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1986-Q3,0.932827,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1986-Q4,0.775627,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1987-Q1,0.776718,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
