module,mean_delta_m,median_delta_m,n_valid,delta_m_share
INFLATION,0.4419769230769231,0.3576,13,0.2403585905700553
MONEY_CREDIT,0.3726076923076923,0.3751,13,0.20263379168113385
DEMOGRAPHY_LABOR,0.3590307692307692,0.3448,13,0.1952503064250963
GROWTH,0.33338461538461533,0.2716,13,0.18130325835505148
EXTERNAL,0.3318230769230769,0.2319,13,0.18045405296866304
