state,start_year,end_year,length
J90,2013,2014,2
OTHER,2015,2015,1
J90,2016,2016,1
J00,2017,2017,1
J90,2018,2020,3
J00,2021,2021,1
J90,2022,2022,1
J00,2023,2023,1
OTHER,2024,2024,1
J00,2025,2025,1
