year,cpi_yoy,gdp_deflator_yoy
1970,,-0.1046036230839606
1971,2.941677791488241,-0.07385395967234416
1972,2.12088882254503,-0.04024004063085723
1973,5.708996557045873,0.0402400406308573
1974,11.935669125923427,0.18880266192604156
1975,5.911798244975651,0.25070648900312903
1976,4.536415067587581,0.3247291929065214
1977,3.8681842808845834,0.39211001826114245
1978,1.7492820228388588,0.4411765870608193
1979,1.5060489602528389,0.47185358359840895
1980,3.6787629109180155,0.5341461245446061
1981,2.129850673652239,0.5837305117047442
1982,0.9551408558490749,0.6062011636592746
1983,0.49483943409535,0.6287716675733405
1984,0.7003528012131895,0.6631916712685328
1985,0.588852156778555,0.6914798043525614
1986,-0.19527648813402065,0.7153341940674938
1987,-0.4609673973414583,0.716730655114681
1988,-0.16354044764943682,0.7262629887283287
1989,0.7141496801590195,0.7546761360659762
1990,1.1292295482161645,0.787660104719596
1991,1.2494990398328494,0.8267076086289061
1992,0.4154605427013143,0.8527554877606057
1993,0.15792900548268854,0.8621007395560664
1994,-0.15068296756367705,0.8647141609575617
1995,-0.5780250001884777,0.8549397794204587
1996,-0.44742425948889913,0.8329175356543704
1997,0.39469389943422817,0.8369484426626864
1998,-0.15637580298463793,0.8419350229995906
1999,-0.7043403516100004,0.8286874334767462
2000,-0.8852794116061312,0.801145516740941
2001,-0.9087656825211868,-0.6762834354952666
2002,-1.0098458498091054,-0.6772854776406932
2003,-0.6628351996429288,-0.6782922278537377
2004,-0.5313093640022958,-0.6769901461635531
2005,-0.6521337915604697,-0.6769963761541249
2006,-0.4047557506152459,-0.676084369746931
2007,-0.494552379843012,-0.6761414341047335
2008,0.22704705088120825,-0.6760060861405285
2009,-1.2450047890226663,-0.6748463687571176
2010,-0.8998917470826128,-0.6785776779358553
2011,-0.6744907594765952,-0.6777229072777099
2012,-0.5475224127104086,-0.675799942618645
2013,-0.3383773744362082,-0.6741351501960726
2014,0.9739815193926226,-0.6691282716544481
2015,-0.09220691275929443,-0.6683236237217821
2016,-0.5820950687260665,-0.6721699291426023
2017,-0.26469045708043815,-0.673554578881425
2018,0.0,-0.6739681642460654
2019,-0.2528560354510508,-0.6716386783868119
2020,-0.5302273747507855,-0.6704567317846103
2021,-0.6509174418829855,-0.6738195722516301
2022,0.8298630564867543,-0.6719312659708041
2023,1.2369338716732434,-0.661845127774649
2024,0.9600327134487395,-0.6653738301815354
2025,1.2020062739818038,-0.6647219116183746
