year,land_price_yoy,nikkei_return
1970,,-1.0616151471533966
1971,,1.2792738275159898
1972,,3.7738597635136317
1973,,-1.148755090798811
1974,,-0.8605899683662617
1975,-2.2233213923487765,0.2245485082017066
1976,0.19984911391899116,0.3046455032729285
1977,0.47464164555760396,-0.48195683852720905
1978,0.8243775949158384,0.6837461025697975
1979,1.623774050591803,0.05743722890263976
1980,3.1726046834639843,-0.030138636416179542
1981,2.922793291065245,0.025989362835136694
1982,2.0734345569095334,-0.17237843770612754
1983,1.2740381012335684,0.6865794914800912
1984,0.7494341771962169,0.3822961988645171
1985,0.5495850632772257,0.23274979982197938
1986,0.5495850632772257,1.6077958578401175
1987,1.8985665822304159,0.28816447042599086
1988,6.2452848099684735,1.4276998416865483
1989,1.9735099999500376,0.9398963876175269
1990,4.246793670778562,-2.113960425263038
1991,2.6729818986665066,-0.5323122518523057
1992,-1.398943797432938,-1.5570347684477261
1993,-2.1733591138690285,-0.2377374630756298
1994,-1.174113544274073,0.22787357017006124
1995,-0.3996982278379823,-0.335683271121044
1996,-0.6495096202367212,-0.48381493177378787
1997,-0.3996982278379823,-1.3239327157121084
1998,-0.3497359493582345,-0.7872873644945392
1999,-0.9492832911152079,1.2892915843377464
2000,-1.0242267088348296,-1.5944831457332227
2001,-1.0492078480747036,-1.4291886981938566
2002,-1.2990192404734424,-1.2083791322223219
2003,-1.4489060759126857,0.7332760485683822
2004,-1.423924936672812,-0.025989362835136615
2005,-1.1491324050341991,1.4447538377589868
2006,-0.6744907594765952,-0.05707579325967203
2007,0.024981139239873894,-0.8707213744677167
2008,0.3247548101183606,-2.2675050724058883
2009,-0.7993964556759646,0.4893670699535407
2010,-1.0492078480747036,-0.5045427518200555
2011,-0.6744907594765952,-1.15035906887499
2012,-0.5745662025170996,0.6652354163833928
2013,-0.3996982278379823,2.1877165149975153
2014,-0.14988683543924336,-0.048051318109898614
2015,-0.09992455695949558,0.040015082566864486
2016,-0.04996227847974779,-0.34973995395289875
2017,0.0,0.4919966443730551
2018,0.07494341771962168,-0.9133605561826078
2019,0.14988683543924336,0.4513065857894196
2020,0.19984911391899116,0.35280838741872506
2021,-0.09992455695949558,-0.14752529030642944
2022,0.12490569619936946,-0.7910891296140071
2023,0.3497359493582345,0.9041332146629648
2024,0.49962278479747785,0.4972758007177658
2025,0.5246039240373518,0.8112433065313578
